video_id,content_type,emotional_manipulation,commercial_signals,child_role,privacy_concern,clickbait_level,emotional_score,commercial_binary,child_protagonist,privacy_score,clickbait_score
c24MaJcCIac,travel,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
tfUHN2z4gns,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
AlWqGH6VHAI,daily_vlog,mild,none,unclear,none,mild,1.0,0,0,0.0,1.0
ltv1F3Z2T_g,storytime,severe,none,protagonist,high,severe,3.0,0,1,3.0,3.0
sciXF3KQuEU,daily_vlog,none,none,co_star,none,mild,0.0,0,0,0.0,1.0
iwIGcYGqCB0,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
CXr11ZDyGLU,daily_vlog,mild,none,protagonist,none,moderate,1.0,0,1,0.0,2.0
SJmQrR1mD70,challenge,mild,none,co_star,none,moderate,1.0,0,0,0.0,2.0
ZFpfIaXmc6g,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
RRkRVKZg-r4,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
MeuslINUJmQ,travel,mild,none,unclear,none,moderate,1.0,0,0,0.0,2.0
IJEW-nOkb7c,travel,mild,none,unclear,none,moderate,1.0,0,0,0.0,2.0
kb_C6TfqdKE,unboxing,none,brand_mention,unclear,none,moderate,0.0,1,0,0.0,2.0
s_fNgDFI_Zo,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
qEW-_dUfRXY,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
-OPNanFd948,storytime,mild,none,protagonist,none,none,1.0,0,1,0.0,0.0
-za3tuFVA7g,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
d8pN3cXndkw,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
z752vyuPVIM,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
nPEXWiKvv-c,daily_vlog,none,none,co_star,none,none,0.0,0,0,0.0,0.0
Isl5XqjKK9U,storytime,moderate,none,unclear,none,mild,2.0,0,0,0.0,1.0
9SF0H1dDJps,travel,none,none,co_star,none,none,0.0,0,0,0.0,0.0
xB9HaWbZ-9o,daily_vlog,none,none,protagonist,low,mild,0.0,0,1,1.0,1.0
z2Fr0QZT1uM,daily_vlog,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
KOzkhVoDzx8,daily_vlog,mild,none,unclear,low,moderate,1.0,0,0,1.0,2.0
aOdBcPGOQrY,storytime,severe,none,unclear,high,severe,3.0,0,0,3.0,3.0
ikxpGDyN2j4,travel,none,none,protagonist,low,mild,0.0,0,1,1.0,1.0
UKzz53bMzK0,travel,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
mqnwDDf1MgY,daily_vlog,none,none,protagonist,low,mild,0.0,0,1,1.0,1.0
Dq8r5Y12E4Q,daily_vlog,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
wJ6AinYdkTE,travel,none,none,protagonist,low,mild,0.0,0,1,1.0,1.0
ZJ0JOBJPXTc,daily_vlog,none,none,unclear,low,moderate,0.0,0,0,1.0,2.0
9SfbEOAELTw,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
F_bGA2yEtqA,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
qpDRELt8o_k,storytime,moderate,none,unclear,high,moderate,2.0,0,0,3.0,2.0
tmkZrXTsdRQ,storytime,mild,none,protagonist,moderate,severe,1.0,0,1,2.0,3.0
_HMy-M1UaKE,other,none,none,co_star,none,mild,0.0,0,0,0.0,1.0
Bq8jV4libsM,daily_vlog,none,none,protagonist,none,none,0.0,0,1,0.0,0.0
OOPPD31t7lk,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
Xtmu0iRdIJw,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
WyIUPj4ZBKE,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
PI7PRxmsapc,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
ArnxbEmly7I,travel,none,none,protagonist,none,none,0.0,0,1,0.0,0.0
5kEQxYEO5fo,travel,none,none,protagonist,none,none,0.0,0,1,0.0,0.0
jwrOYZHFtL4,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
tf1edF_KCgk,daily_vlog,none,none,protagonist,none,none,0.0,0,1,0.0,0.0
qz_VxbsdMa0,cooking,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
6oFSjq8sdgc,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
u-d37pk3dgY,daily_vlog,none,none,protagonist,none,none,0.0,0,1,0.0,0.0
r3zt7o8tQto,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
gy4FaR9tvIk,daily_vlog,none,none,protagonist,none,none,0.0,0,1,0.0,0.0
7zMhMph6KRY,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
kzS8zowqcOU,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
oZJ5eAQr7EQ,daily_vlog,mild,none,protagonist,none,mild,1.0,0,1,0.0,1.0
9H2JOQ_btM4,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
qbB3TrMjzuU,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
-qOigARs8qw,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
uJva3QRvgww,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
VVFB8UkDOSM,daily_vlog,none,none,protagonist,none,mild,0.0,0,1,0.0,1.0
1IbGgFI0vKU,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
Fjo7GSoDK_E,daily_vlog,mild,none,unclear,none,mild,1.0,0,0,0.0,1.0
ChMUljqjGLg,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
AzL0hfM_q_I,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
HQQieL8GYQY,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
3kemVIrUJcs,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
iOwd8Fz8UQM,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
W2-GRvaPiiM,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
vQUA4QHWgQA,travel,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
gr2UsZj8KN8,travel,none,none,unclear,none,none,0.0,0,0,0.0,0.0
w3XS78iO2yw,travel,none,none,co_star,none,none,0.0,0,0,0.0,0.0
_seb6KT9AAk,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
u2YaJ7zdFDw,daily_vlog,none,none,unclear,none,none,0.0,0,0,0.0,0.0
jRbhReB3DJg,daily_vlog,moderate,none,unclear,moderate,moderate,2.0,0,0,2.0,2.0
gAfghCLC2j8,daily_vlog,moderate,none,unclear,moderate,moderate,2.0,0,0,2.0,2.0
9OuK3FxGge8,daily_vlog,moderate,none,protagonist,moderate,moderate,2.0,0,1,2.0,2.0
pYkQxCf_2XQ,unboxing,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
hntpZCz81WI,daily_vlog,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
2po8-wQN3Co,daily_vlog,none,none,protagonist,none,mild,0.0,0,1,0.0,1.0
_P9qUr0VemA,travel,none,brand_mention,none,none,none,0.0,1,0,0.0,0.0
qXVmhAXWDNc,travel,none,brand_mention,co_star,none,mild,0.0,1,0,0.0,1.0
6h-H88miMCU,travel,none,brand_mention,unclear,none,none,0.0,1,0,0.0,0.0
BHVxe0CsG0Q,travel,none,brand_mention,co_star,none,none,0.0,1,0,0.0,0.0
ABTIJRfl2eI,daily_vlog,mild,none,protagonist,low,none,1.0,0,1,1.0,0.0
6R0J-j_Ht4o,travel,none,none,protagonist,low,none,0.0,0,1,1.0,0.0
yTa_jB9JwYg,daily_vlog,mild,none,protagonist,low,none,1.0,0,1,1.0,0.0
QTmJDxix2uM,other,none,brand_mention,protagonist,low,none,0.0,1,1,1.0,0.0
dDxOzaoCEF4,other,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
COni5jaAI7o,challenge,none,none,unclear,low,none,0.0,0,0,1.0,0.0
b1Ta_dr32s0,challenge,none,none,unclear,low,none,0.0,0,0,1.0,0.0
nvCjj0SzkLM,challenge,none,none,unclear,low,none,0.0,0,0,1.0,0.0
lmLd3-FkJrY,challenge,none,none,unclear,low,none,0.0,0,0,1.0,0.0
TJDxXL5NFko,challenge,none,none,unclear,low,none,0.0,0,0,1.0,0.0
BaN5-T7tenU,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
_E5mrX53ZNo,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
9RRxTeftfwY,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
lo9PTYlRrME,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
5H1KPAns4M0,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
qzJW8J5Xhv8,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
yxlxMCF6luw,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
wDZRCIHfHjc,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
EQRfRcf1GIs,challenge,none,brand_mention,unclear,low,moderate,0.0,1,0,1.0,2.0
fns3nKn8rkA,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
Vf4JhreiU-Y,prank,mild,none,unclear,low,moderate,1.0,0,0,1.0,2.0
-AEMpVVyIpM,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
3Ts3VzW09Vs,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
8exb5OhH5AY,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
payHpwIu3aE,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
cEoyTBUhC90,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
KYuZb-B8rIQ,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
cgrhdh-o2nk,challenge,none,none,unclear,low,mild,0.0,0,0,1.0,1.0
Vhbdtb_lgZg,challenge,none,none,unclear,low,moderate,0.0,0,0,1.0,2.0
pi4_pSdmQBg,challenge,none,none,unclear,low,moderate,0.0,0,0,1.0,2.0
Vi0jYDV6tZU,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
p_zSUQIFDtM,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
hQG3VCxOnSE,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
cOG8WDY3Jyk,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
q4GBk0kPdhQ,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
70l9oazRNv4,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
kFr-lH5eWeA,challenge,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
2oLvYqVeRjQ,other,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
RH8LlcxO4Jw,other,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
GP5RV4DB7vc,challenge,none,none,unclear,none,moderate,0.0,0,0,0.0,2.0
foq_E-cw-0s,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
VrqTlVsR3O8,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
AuVfG2y5vW8,challenge,none,brand_mention,unclear,none,moderate,0.0,1,0,0.0,2.0
Ap2LdDCYAtE,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
_C7w4VL4_pQ,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
D8fzBXXiSHU,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
xRjX30YUeCs,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
Ds_LCblNFYw,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
jUoSOSzLWNQ,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
x3I7gBE9w0Y,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
sgORaJKFItA,other,none,brand_mention,unclear,none,mild,0.0,1,0,0.0,1.0
BS5k6vkoKvw,other,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
5xzBBFn2fC4,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
VHvOXTGkKEw,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
rJ2fm59G6FA,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
9UusDiQtV_A,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
acYRcOg9fOg,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
g6RxEToQgyk,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
MUgwMBx4aPU,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
7cOcREQF4a4,challenge,none,none,co_star,none,mild,0.0,0,0,0.0,1.0
5ciGGpT9rNc,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
lrzTyjVm9so,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
qEgrwSlIF8U,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
WUNEq2Ra2bw,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
cuH_HVHbJko,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
A2PRh1zu-WU,challenge,none,none,protagonist,none,mild,0.0,0,1,0.0,1.0
zy0WnxItV3c,challenge,none,none,protagonist,none,mild,0.0,0,1,0.0,1.0
fyjliaq7HBU,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
ziFZRYREg3g,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
Ki6eqmf57eo,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
Sj33vyf9pq0,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
a-1nMj6jNGQ,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
XAsB8CGL_o0,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
uqh-TvZ-Nkw,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
LMy5vTHepZc,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
oMk3ibSXZl0,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
5kuzFnOfJPo,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
1Qr8gKVitog,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
bA6QRDtm89s,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
IclEAQnACHQ,challenge,none,none,unclear,none,mild,0.0,0,0,0.0,1.0
gtmz5UJR3wk,challenge,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
eB0RVryaOy4,challenge,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
2bM9eVTQbWs,challenge,mild,none,protagonist,low,mild,1.0,0,1,1.0,1.0
N0BTqCZSj4Y,challenge,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
UGRMJFB-WJE,challenge,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
iaE7z5wtcc4,challenge,mild,none,co_star,low,mild,1.0,0,0,1.0,1.0
OzQShzhWihg,challenge,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
6SHjnJPGM7I,challenge,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
ffBCiUn1ZPA,challenge,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
Y7df5OD-OZQ,unboxing,mild,none,unclear,low,mild,1.0,0,0,1.0,1.0
VaTGQfJ-Oio,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
nxhIz1svdZs,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
xP_KS74PaXE,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
VAuvwUz1RlQ,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
NP1TkKKKjsk,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
-EhqsXHnwHg,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
jsVU4rPmLRs,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
uOYmkyNhJo0,challenge,mild,none,protagonist,low,moderate,1.0,0,1,1.0,2.0
