channel_id,title,description,custom_url,handle,country,joined_date,subscribers,total_videos,total_views_x,keywords,has_instagram,has_tiktok,has_twitter,has_facebook,cross_platform_count,badges,n_videos,mean_views,median_views,total_views_y,mean_duration,median_duration,emotional_score_mean,emotional_score_max,commercial_rate,child_protagonist_rate,privacy_score_mean,clickbait_score_mean,caps_ratio_mean,exclamation_mean,sentiment_mean,face_ratio_mean,open_mouth_rate,text_overlay_rate,channel_short,log_subscribers,commercialization_index,est_videos_per_week,labor_intensity_index
UCuAHfJyWROB4XRReS43EWUw,The Bucket List Family,"Hello world! We decided to sell everything and leave home for an adventure around the world. Now, we work full-time as Family Travel Journalists! Thank you for being a part of this amazing journey! 
http://thebucketlistfamily.com

Facebook: The Bucket List Family
Instagram: thebucketlistfamily
",,,United States,2015-07-05,1500000,506,296651441,family|travel|adventure|kids|wildlife|bucket list family,True,True,False,False,2,VERIFIED_CHANNEL,50.0,235085.54,186980.5,11754277.0,1862.8,1791.0,0.54,2.0,0.16,0.44,0.92,1.34,0.6014300499790033,1.36,0.241226,0.032446093749999974,0.44,0.14,nan,6.176091259055681,0.3627682688544733,4.166666666666667,0.5260246300939336
UCyT6APaPTsFEwtEHu-oMqFA,TiffyQuake,"Helping you re-discover your magic through creative play ✨

Hey everyone my name is Tiffy! Here I explore beauty, wellness, creative expression, and family life in hopes of igniting a spark within you. I am here to help you re-discover your fun, flirty and feminine side, while I also embark on the journey.

After a health scare, struggling with my mental health, feeling stuck and transitioning into Motherhood, I felt called to help others finds their light again and level up. Moving forward with",,,United States,2013-02-04,1260000,833,209329507,Cupquake|ihascupquake|tiffyquake|fashion|diy|howto|how|to's|creative|art|artistic,True,False,True,True,3,,50.0,25016.64,18142.0,1250832.0,1085.58,1035.5,0.0,0.0,0.3,0.0,0.2,0.74,0.21731595757062636,0.12,0.143614,0.06713847656249997,0.68,0.08,nan,6.1003705451175625,0.43485865929152284,4.166666666666667,0.2741033226264766
UCpE_yAyidJKIsv8mnX1VYzA,JesssFam,"What’s up, fam! My name is Jess and for the last 16 years I've been sharing my chaotic life with my growing family as a young mommy/lifestyle vlogger.  I started out on YouTube as a teen mom, and now my husband and I have 7 children (ages 9-16) that make up our big, beautiful blended family. I have 4 kids from previous relationships, my husband has 2 kids from a previous marriage, and we have 1 child together. Join our family of 9 for new videos every other day!

CONFUSED? HERE'S OUR STORY: http",,,United States,2009-09-10,2460000,2566,1708374562,GabeandJesss|Parents|Mom|Dad|Young|Mommy|GabeandJess|Jessica|Shafer|Lilia|Esquilin|Vlog|Vlogger|Life|Positive|TV|Happy|Twins|JessFam|of|many|blended|7 kids|24 hours|day in the life|blended family|teen mom|twin mom|blended family|coparenting|lifestyle,True,True,False,True,3,VERIFIED_CHANNEL,50.0,71345.18,63649.0,3567259.0,913.92,890.0,1.6938775510204083,3.0,0.02040816326530612,0.40816326530612246,2.2448979591836733,1.9387755102040816,0.23134614769134593,0.1,0.037214000000000004,0.034677430555555534,0.28,0.02,nan,6.390935107103379,0.35880864340825963,4.166666666666667,0.7491281815508527
UCWw_fOUvuGFonxrA9j29V-Q,Family Vlogs,"Hello guys this is my youtube channel please keep supporting us and give a lot of love and we will also make good vlogs for you just keep giving us love like this ❤️😘

My Instagram is familyvlogs_",,,India,2021-08-24,273000,1179,280891081,Family_vlogs_1|Family|Vlogs|Pranks|Family pranks|Lifestylevlogger|Lifestyle|Vlogging,False,False,False,False,0,,50.0,2786.5,2576.0,139325.0,732.6,700.5,0.8163265306122449,3.0,0.0,0.14285714285714285,1.2244897959183674,1.0816326530612246,0.3280328801254655,0.04,0.456938,0.0198253472222222,0.2,0.3,nan,5.4361626470407565,0.21600916815846388,4.166666666666667,0.46976183445953107
UCspL7qWLI7jfbPrZWm8KLEg,S Family vlogs," Your favt vlogger To Be 

Don""t forget to subscribe my youtube channel. 

 follow me on 

tiktok : itssania_shahid

snapchat : saniaali_44

instagram : sani.aahee_
",,,Pakistan,2015-11-12,7150,891,5325041,sania|wonderland|foods|fun|complete the lyrics challenge.| pani mai mu dalna perha 😕😂 | ft.sonia shahid|food challenges|food vlogs|noodles|challenge|bts|asmr|s family|s family vlogs|sisters vlog|sisters|family vlogger|daily vlogs,True,True,False,False,2,,50.0,801.32,677.5,40066.0,1335.98,1382.0,0.86,2.0,0.02,0.12,1.16,1.14,0.0542055569463301,0.0,-0.09635599999999998,0.04700028211805552,0.8,0.0,nan,3.8543060418010806,0.15569974877578185,4.166666666666667,0.4894027584470759
UCGXMW0suZvGU0zYVaQfnmyw,Hayes Family Vlog,"We are the Hayes Family - Ash, Zach & Malia! We use our fun videos to raise awareness for Malia’s autoimmune condition, Alopecia, while promoting the ideas of staying positive and loving yourself no matter what. 

*Although Malia can’t grow hair, she is a perfectly healthy girl otherwise*

Please visit NAAF.org to learn more about Alopecia

If you’d like to work with us please email us:
hayesfamilyvlog@gmail.com",,,United States,2017-02-01,124000,238,41381869,disneyland vlog|disneyland vloggers|disney vlog|disney vloggers|disney character interactions|disneyland character interactions|disney character meet and greets|disney character interactions|wdw vlog|universal studios vlog|walt disney world|disney video|disneyland video|walt disney world video|disneyland|disney,True,False,False,False,1,VERIFIED_CHANNEL,50.0,81070.36,62327.0,4053518.0,923.88,808.5,0.5918367346938775,2.0,0.20408163265306123,0.061224489795918366,0.7346938775510204,1.0,0.2748449891354044,1.56,0.37348,0.02396148003472219,0.3,0.06,nan,5.093421685162235,0.22579558677095782,4.166666666666667,0.39744028376458335
UCvmLqYHtUnIFQ0mS-VICGpw,Family Channel,"Hello guys !
Here you will find daily vlog at 5 pm ! 
Also some cooking ane challenges ❤️
I hope you will like it 😇
For collaboration please mail on : queenswati881@gmail.com",,,,2022-01-05,329000,1767,149004301,,True,False,False,False,1,,50.0,33281.64,17022.0,1664082.0,776.86,770.5,0.6530612244897959,3.0,0.0,0.2857142857142857,0.32653061224489793,0.7346938775510204,0.21328715436911758,0.0,0.21484999999999999,0.052375954861111074,0.68,0.04,nan,5.517195897949974,0.18991237158233915,4.166666666666667,0.3850499154206241
UC9zvuudYHEptDdXdkD6GAEA,My Family Vlog,"Hi friends 
Thanks for your subscription ,like, share and views 
My family vlog channel created for showing our culture ,livelihood basic ,food habits ,festivals & celebrations  ,surrounding neighbouring places through our videos .
",,,India,2022-11-21,361000,608,175316442,family vlog|village vlog|bengali vlog|my family vlog|vlog channel|my family,True,False,False,True,2,VERIFIED_CHANNEL,50.0,216449.28,193876.0,10822464.0,1172.24,1093.0,0.0,0.0,0.0,0.02,0.0,0.1,0.00707896454326945,0.0,0.057632,0.022294227430555525,0.36,0.7,nan,5.557507201905658,0.49024603560076063,4.166666666666667,0.21517313308302044
UCWwWOFsW68TqXE-HZLC3WIA,The ACE Family,"Welcome to THE ACE FAMILY channel where the kids have officially took over :) Join The ACE Family and SUBSCRIBE! Our videos include vlogs, crazy experiences, challenges, pranks, and fun family times.
SUBSCRIBE HERE: http://bit.ly/THEACEFAMILY

FOLLOW US :)

Elle's Instagram: https://www.instagram.com/elle/
Alaia's Instagram: https://www.instagram.com/alaiamcbroom/
Steel's Instagram: https://www.instagram.com/steelmcbroom/

*Business inquiries: Austinmcbroombusiness@gmail.com
",,,,2016-01-10,18000000,713,4607745444,THEACEFAMILY|ACE|FAMILY|ACEFAMILY|CatherinePaiz|AustinMcBroom|Elle|Challenges|Vlogs|Experiments|ActsOfKindness|Boyfriend|Girlfriend|FamilyVlogs|DailyVlogs|Catherine|Austin|catherinemcbroom|steel|mcbroom,True,False,False,True,2,VERIFIED_CHANNEL,50.0,989937.02,860181.5,49496851.0,968.22,862.5,1.0,3.0,0.04,0.12,1.22,1.58,0.9632692307692308,1.6,0.066672,0.047645269097222186,0.34,0.06,nan,7.2552725051033065,0.3609351021268689,4.166666666666667,0.5303402763227394
UCr3wdq5aVFBXwo84Vnd8NLg,Beast Family Vlogs ,Entertaining Vlogs made by the Beast Family ,,,United States,2020-09-01,1380000,189,161822818,BEAST FAMILY|LAYLA|JUJU,False,False,False,False,0,VERIFIED_CHANNEL,50.0,274607.26,165952.0,13730363.0,1432.1,795.0,1.58,3.0,0.04,0.52,1.04,2.06,0.5369362006825402,0.54,-0.401914,0.06943172743055553,0.64,0.06,nan,6.139879086401237,0.1772929749763352,4.166666666666667,0.6932451954557598
UCCavka0AbNklF4cqfaiwqEA,Forever Family Vlogs,"HELLO , FAMILY FRIENDLY CONTENT EVERYDAY !!!
WATCH OUR VLOG CHANNEL ..

Main channel  :SISTER FOREVER
Alisson's channel : It's me Ali 
Emily's channel : EmilyG

Instagram  :@sisterforever2016 and @alisson.gonzalez07 
Tiktok and Instagram :  @yailenysr 
 
Business email 📧: sisterforever@cesddigital.com
P.O BOX 📦 
20757 BRADENTON FL 34204

FEDEX AND UPS ONLY 📦 
4112 53rd Ave E #20757
Bradenton FL 34203


Please note: This channel is subject to parental supervision and review. All negative, nasty o",,,United States,2017-09-25,868000,2261,371365623,sisterforevervlogs|vlogger|youtube|daily|influencer|life|reality|family channel|friendly vloggers|daily family vlogs|reality|real life,True,False,False,False,1,VERIFIED_CHANNEL,50.0,40544.9,34316.0,2027245.0,1485.46,1374.0,1.28,3.0,0.0,0.4,1.7,1.94,0.4488183398721698,0.24,-0.041934,0.032909266493055526,0.4,0.04,nan,5.938519725176492,0.2120635919799973,4.166666666666667,0.6850277553671104
UCakH8fd1GzGJqJMT0NISHJA,Family blog video,mere Maa papa shivangi shivmangal aarti krish Krishna shivnandani kausilya family vlog ❤️❤️,,,,2018-10-02,1100000,3565,1188594522,,True,False,False,False,1,,50.0,13374.22,7317.5,668711.0,1053.98,1002.5,0.29545454545454547,1.0,0.0,0.13636363636363635,0.9772727272727273,0.3181818181818182,0.06340310333704274,0.0,0.023041999999999997,0.05849219473379627,0.5,0.12,nan,6.041392685158225,0.2460435957666361,4.166666666666667,0.34951016860451506
UCTd7KgjB_wmLd-absFsvOGQ,My family diary telugu,"Home maker || Vlogger || cooking || Decoration & crafts || fashion & Beauty tips || Travelling || lifestyle
Support my YouTube Channel.
",,,India,2021-07-22,63500,1694,37453443,,True,False,False,False,1,,50.0,21311.1,17702.5,1065555.0,1265.16,1244.5,,,,,,,0.01298795386633974,0.0,0.117584,0.017494184027777752,0.18,0.18,nan,4.802773725291976,,4.166666666666667,
UCCbcZxe-8w5obQHhtX8mA6A,"Our Life In ""Holland"" - The Bingham Family","No we do not live in Holland but our message is about how life may not always go as you had imagined but life is beautiful no matter what!  Why do we call our channel Our Life In ""Holland""? https://youtu.be/2y0wK-10Phc

We are Justin and Lindsay Bingham.  This is our family of six.  We have 3 boys (Turin, Ashton, Landon) and a girl (Ava) who are everything to us.  Our son Landon has what is called Cerebral Palsy. We love to have fun and adventure as a family. We strive to find joy in the little ",,,United States,2019-04-18,150000,1126,57418507,Family Fun|Family Vlog|Daily Vlog|Family|Cerebral Palsy|Bingham,True,False,False,True,2,,50.0,29320.0,20227.5,1466000.0,929.92,697.0,0.44,3.0,0.02,0.2,0.4,1.22,1.0,0.16,0.16557,0.0632058159722222,0.6,0.2,nan,5.176091259055681,0.2966215550363622,4.166666666666667,0.3982300255750502
UC0JuFXTfkyDOR-rKBfSsEmA,Our Twin Life Family,"This channel is about being a mom! I have 6 children including twin boys. We are a homeschool family who love to have fun together and I also love to make Disney vlogs! 

We love hearing from YOU ! 
Urgo ATTN Our Twin Life
PO Box 37237
Raleigh, NC 27627-7237",,,United States,2014-01-20,22700,2277,7983616,homeschoolers|tesla model s|social blade|twins|unschool|adoption|adopting|new house|college,False,False,True,True,2,,50.0,1331.64,1050.5,66582.0,965.36,804.0,0.2,2.0,0.1,0.28,0.2,0.48,0.29096605937428693,1.32,0.130246,0.0676159505208333,0.52,0.04,nan,4.3560258571931225,0.21636352546964566,4.166666666666667,0.3161985196270523
UCrl8Xu6EqLSqUyWcEMXjPPg,Thakor Family Challenge,Hello Friends. Amari Thakor Family Challenge Youtube channel ne subscribe karjo ,,,India,2022-08-01,29700,47,5112027,Asmr mukbang|Asmr eating show|Asmr videos|eating Show|Mukbang|Indianmukbang|bigbites|messyeating|with hand|bangali mukbang|girl Indian Mukbanger|mukbanger|MaddyEats|asmr|Eating sounds|love to eat|Challenges|competitions|spicy food|good eating mother|cute girl Eating|‘no taking|less talking fast Eating|Hindi Mukbang|devrani|jethani|devrani jethani mukbang,False,False,False,False,0,,47.0,108773.97872340426,98440.0,5112377.0,508.0,443.0,0.02127659574468085,1.0,0.06382978723404255,0.0,0.5319148936170213,1.0425531914893618,0.5919044738690403,0.06382978723404255,0.27802978723404254,0.021882249187352223,0.5106382978723404,0.23404255319148937,nan,4.472756449317212,0.1577590283101978,3.9166666666666665,0.29412852077478036
UCLWvIB80ANqrEJhzYzfkgGA,Family Games Media,"This channel is committed to providing child-friendly content and avoiding any elements that may affect their health and safety.
Hello everyone, this is [Family Games Media].
We will record the funny daily life of the family
There are various challenges here
We will bring laughter to everyone
Remember to subscribe to us
We will update new videos every day
love you ♥
May the world be filled with happiness
【The content is all interpretation, without any bad guidance, minors are prohibited from imi",,,United States,2023-06-08,19600000,5851,16697965439,Blind Box Challenge|Whipped Cream Challenge|One Line Drawing|Family Game Media|Family Interaction|Parenting Humor|Family Challenges|Family Games Media|challenge|games,False,False,False,False,0,VERIFIED_CHANNEL,50.0,7962.28,7571.5,398114.0,902.86,754.0,0.4166666666666667,1.0,0.0,0.2708333333333333,0.4166666666666667,1.2083333333333333,0.09879669537395282,1.02,0.473576,0.028343250868055527,0.38,0.04,nan,7.292256071356476,0.2207366665292118,4.166666666666667,0.4071936789375192
UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,"Hello everyone,
Welcome to our channel. This is a International Funny Channel and We are always trying to provide the best quality Funny Videos,Prank Videos. We have some funny type friends, they all time make some fun acting as real or fake. some time they are make real fun with public site and take videos outside of there knowledge. please subscribe our channel and like our Videos.

MY FAMILY is about Funny and some funny instances happening around his Friends and actor. 


HEY GUYS FOLLOW MY ",,,India,2019-02-11,19800000,448,7867682295,comedy|cartoon|natok|motu patlu|funny video|tui tui|motu patalu|mowgli|jokes|comedy comedy|hansi majak|chutkule|cartoon cartoon|tiktok|comedy video|कॉमेडी|twitter|shiva cartoon|funny videos|चुटकुला|mogli cartoon|comedi|committee|tui.tui|video|chhotu dada|my family|my family comedy|hansi wala|picture|cartoon video|dj|shiva|comety video|asia funny video|try to not laugh|village comedy|hasir video|natok bangla|sofik bangla natok|laugh video|funny|hasi,False,False,False,False,0,VERIFIED_CHANNEL,50.0,1496897.44,398335.0,74844872.0,536.64,541.0,0.0,0.0,0.0,0.0,0.0,2.0,0.19264346588377204,0.0,0.872808,0.013789756944444422,0.08,0.26,nan,7.296665190261531,0.29953990578476014,4.166666666666667,0.3404621161066718
UCI5lrYVm4ctqxEHG4HgvdRA,Our Family Nest,"We’re a Michigan family of 6 entering a brand-new chapter of life after over 10 years on YouTube Channel Our Family Nest!  What started as a house full of kids has now shifted into our empty-nest-in-the-making era — and we’re embracing every part of it.

Life is now mostly just the two of us, and our 4 dogs, figuring out what this next season looks like. Our four kids are grown adults and our content is evolving right along with them.

On our channel you’ll find us sharing our real life moments,",,,United States,2011-10-29,1100000,3215,505938561,daily vlogs|family channel|family vlogs|teenagers|teen|challenges|funny|comedy|daily videos|daily family vlogs|weight loss|family|daily life|day in the life|trending|popular|older kids|candi|ken|andrew|blake|chase|karli,True,True,False,True,3,VERIFIED_CHANNEL,50.0,11338.62,8338.0,566931.0,1254.38,1210.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666,0.36594868145431825,0.6,0.03937199999999999,0.03793539496527775,0.58,0.16,nan,6.041392685158225,0.3853293100523504,4.166666666666667,0.2917180895850015
UCaCJI3b1oJbjXBKFOfVq2tw,our family,"


DO SUBSCRIBE MY CHANNEL ",,,,2013-10-27,6670,1641,1951414,,False,False,False,False,0,,7.0,145.71428571428572,108.0,1020.0,123.14285714285714,119.0,,,,,,,0.5918367346938774,0.0,0.06554285714285714,0.012872333829365071,0.0,0.0,nan,3.824125833916549,,0.5833333333333334,
UC-z5VCIFLG6tximfWzzlSSQ,Family Channel,"Welcome to Family's official YouTube channel dedicated to making screen time family time. 

Family Channel features all-time favourites, offering something for everyone! 




",,,Canada,2005-10-22,138000,1162,28049061,Family|Channel|TV|Comedy|Action|Show|Teen|Tween|'A.N.T|Farm'|'Aaron|Stone'|'Debra!'|'Good|Luck|Charlie'|'Hannah|Montana'|'I'm|in|the|Band'|Jonas|'Life|with|Derek'|'Lizzie|McGuire'|'Naturally|Sadie'|'Overruled!'|'Phineas|and|Ferb'|'Really|Me'|'Shake|it|Up'|'Sonny|Chance'|'That's|So|Raven'|'The|Suite|Life|of|Zack|Cody'|'Wizards|Waverly|'Wingin'|It'|'What's|Up|'Allstar|Weekend'|'Camp|Rock'|'Selena|Gomez'|'Miley|Cyrus'|'Demi|Lovato'|'Hilary|Duff'|Raven|'Ashley|Tisdale'|FamilyChannel,True,False,False,True,2,VERIFIED_CHANNEL,50.0,4105.44,2093.5,205272.0,1165.94,1267.0,,,,,,,0.37167095796145155,0.34,0.047968000000000004,0.08156612413194443,0.56,0.02,nan,5.139879086401237,,4.166666666666667,
UCgQ9Xsx41bWj9nWcOasCPSg,FAMILY FUN,"જય દ્વારકાધીશ
જય માતાજી મિત્રો,🙏

હું છું ખુશી, અમારી ફેમિલી ફન ચેનલ માં તમારું સ્વાગત છે, અમે અમારા વિડિઓ દ્વારા દરેક ચહેરા પર હાસ્ય😊 લાવવા માંગીયે છીએ જેના માટે અમને તમારા સાથ ની જરૂર છે. તમને અમારા વિડિઓ ગમે તો લાઈક, શેર અને સબસ્ક્રાઇબ કરજો.


For sponsorship & business enquiries
Email us ON :-
familyfunn0009@gmail.com",,,India,2022-04-21,851000,1942,796629233,,False,False,False,False,0,VERIFIED_CHANNEL,50.0,18134.7,15467.5,906735.0,936.68,939.0,,,,,,,0.0741248248404559,0.06,0.407958,0.04201176215277776,1.0,0.18,nan,5.929929560084588,,4.166666666666667,
