video_id,title,channel,youtube_url,snorkel_score,human_performative,human_emotional_bait,human_narrative_conflict,human_challenge_format,human_commercial_content,human_privacy_violation,human_overall_exploitative,human_notes,snorkel_performative,snorkel_emotional_bait,snorkel_narrative_conflict,snorkel_challenge_format,snorkel_commercial_content
79a8sRjEp7M,Fans Pick Our Couple's Halloween Costumes!  2017,rebeccazamolo,https://www.youtube.com/watch?v=79a8sRjEp7M,0.4913762047484452,,,,,,,,,1,0,0,0,0
-yzgMPG5IQw,Adley Crafts with Barbie & Chelsea!! Learn how to make fun DIY sparkle crafts inside The Dream House,aforadley,https://www.youtube.com/watch?v=-yzgMPG5IQw,0.4913762047484452,,,,,,,,,1,0,0,0,0
hR2S9vGksM0,"LOVE Is The Answer! Emotional Story and Music Video, by Sarah Skye",funsquadfamily,https://www.youtube.com/watch?v=hR2S9vGksM0,0.5,,,,,,,,,-1,0,0,0,0
ZUF5XxLWM5c,A special Q&A,thesacconejolys,https://www.youtube.com/watch?v=ZUF5XxLWM5c,0.5775059744170978,,,,,,,,,1,0,0,0,0
jTivyHnwi9k,NAZ'S EXTREME HAIR TRANSFORMATION (Biggy's Driving Test Disaster...& House update revealed),norrisnuts,https://www.youtube.com/watch?v=jTivyHnwi9k,0.6216240487858069,,,,,,,,,0,1,1,0,0
EULgWfGnJFI,THOSE BOYS WERE RUDE | THE LEROYS,theleray,https://www.youtube.com/watch?v=EULgWfGnJFI,0.6281963256333982,,,,,,,,,0,1,1,0,0
ImYUU1nDMzM,🥺Renewing our Wedding Vows after Infidelity | Sam and Nia,samandnia,https://www.youtube.com/watch?v=ImYUU1nDMzM,0.6324045603635233,,,,,,,,,-1,1,1,0,0
E-W4eTawrZU,EVIL NUN 2. (SCARY),jillianandaddie,https://www.youtube.com/watch?v=E-W4eTawrZU,0.6595410931565913,,,,,,,,,1,0,0,0,0
Eo_gRBNrW_8,7 THINGS GIRLS SAY THAT GUYS HATE | Brent Rivera,brentrivera,https://www.youtube.com/watch?v=Eo_gRBNrW_8,0.6595410931565913,,,,,,,,,1,0,0,0,0
VP_ksmR0n0k,I MADE A TERRIBLE MOVIE in ROBLOX :(,ethangamer,https://www.youtube.com/watch?v=VP_ksmR0n0k,0.6595410931565913,,,,,,,,,1,0,0,0,0
fqkkrLaIlnI,The Ultimate Parent Transformation! ✨ (Our First Official Identity Swap!),mccluretwins,https://www.youtube.com/watch?v=fqkkrLaIlnI,0.7157664988486933,,,,,,,,,1,1,0,0,0
92EC5Xfpdb4,Oliver’s Kids Cleaning Company Saves the Day!,kidsdianashow,https://www.youtube.com/watch?v=92EC5Xfpdb4,0.746647673776107,,,,,,,,,1,0,1,0,0
rxdBClx0LjU,😱Get the TREASURE🤑,jhousevlogs,https://www.youtube.com/watch?v=rxdBClx0LjU,0.7808454391906839,,,,,,,,,1,1,0,0,0
pTumtP8OXz0,Nastya and adventures with mysterious houses,likenastya,https://www.youtube.com/watch?v=pTumtP8OXz0,0.809533112112834,,,,,,,,,1,1,1,0,0
vm9vTss3iYA,The Truth: One Of The Kids Isn't His | Family Vlogger Q&A,theweisslife,https://www.youtube.com/watch?v=vm9vTss3iYA,0.8147957074479616,,,,,,,,,-1,1,1,0,0
RTH1oCit03I,SURPRISING MOM WITH MY BILLBOARD🤫,piersonwodzynski,https://www.youtube.com/watch?v=RTH1oCit03I,0.8346994455685973,,,,,,,,,1,1,0,0,0
xwhaFqfDVJg,Throwing a DART at a Map for NEW MAKEOVER! *bad results*,ohanaadventure,https://www.youtube.com/watch?v=xwhaFqfDVJg,0.8655868547775855,,,,,,,,,1,1,0,0,0
85dQzj-4Xys,The Official Twin Identity Reveal! 👯‍♀️ (The Truth About Our Life),mccluretwins,https://www.youtube.com/watch?v=85dQzj-4Xys,0.8848180332873733,,,,,,,,,1,1,1,0,0
2oK_EXQZd4k,*NEW* Fun Summer Lunches + We Rode DISNEY World’s NEWEST RIDE! (Tiana’s Bayou Adventure),familyfudge,https://www.youtube.com/watch?v=2oK_EXQZd4k,0.9080483906914076,,,,,,,,,1,0,0,0,1
2ReiG0mVnrM,HIDE AND SEEK Sav Labrant HIDES EVERLEIGH IN MANSION 5 Surprise,everleighrose,https://www.youtube.com/watch?v=2ReiG0mVnrM,0.9433986778418558,,,,,,,,,1,0,1,0,1
PISf6H5EP6Y,Soda Pop DANCERS Turned DEMON! Hunting Demon Hunters!,tannerites,https://www.youtube.com/watch?v=PISf6H5EP6Y,0.9515610866291804,,,,,,,,,1,1,1,0,0
NtBZHPEbyas,an ACCIDENT at my daughter's HIGH SCHOOL!!! (caught on camera),jesssfam,https://www.youtube.com/watch?v=NtBZHPEbyas,0.9768834603512768,,,,,,,,,0,1,1,0,0
XUA0x4L-hfA,The Smoothie Challenge,rebeccazamolo,https://www.youtube.com/watch?v=XUA0x4L-hfA,0.9985243087176456,,,,,,,,,-1,0,0,0,0
KW9z1fdxr-k,Prank Calling Fans And Opening Fan Mail **TRUTH REVEALED** 📱💌 | Gavin Magnus,gavinmagnus,https://www.youtube.com/watch?v=KW9z1fdxr-k,0.9994387225242868,,,,,,,,,1,1,0,0,0
Y4G41bodDGs,Diana and Roma in the Magic Wheel Quest - New Outdoor games for kids!,kidsdianashow,https://www.youtube.com/watch?v=Y4G41bodDGs,0.9996974069408257,,,,,,,,,1,0,0,1,0
48rQgH4WITs,Her First Balance Bike is ELECTRIC! It’s the TWINS BIRTHDAY!,samandnia,https://www.youtube.com/watch?v=48rQgH4WITs,0.9998497047926906,,,,,,,,,1,1,0,0,0
9kFnqF3s6to,Can you draw a Perfect Circle!?😱,brentrivera,https://www.youtube.com/watch?v=9kFnqF3s6to,0.9998838922222087,,,,,,,,,1,1,0,1,0
iKfE4LSZvBY,MOM LETS KIDS WEAR THIS TO SCHOOL! 😬Sisters Become TWINS for 24 Hours,johnsonsfam,https://www.youtube.com/watch?v=iKfE4LSZvBY,0.9999503500006072,,,,,,,,,1,1,0,0,0
zHGIxjPO27E,HiDiNG from the DOLL!,shotofyeagers,https://www.youtube.com/watch?v=zHGIxjPO27E,0.99998511464839,,,,,,,,,1,1,1,1,0
CTNMyZFp1SU,Kesley's Senior Trip plans | Last Dance Competition | The LeRoys,theleray,https://www.youtube.com/watch?v=CTNMyZFp1SU,0.9999988427222244,,,,,,,,,0,0,0,1,0
C5g0RZNg54E,We Couldn’t Believe What We Found in the Forest! 24 Hours In Ålesund Norway. ,inghamfamily,https://www.youtube.com/watch?v=C5g0RZNg54E,0.9999997608941148,,,,,,,,,-1,0,0,1,0
qtwcz5F6n7E,DIY Halloween Costume CHALLENGE | Onyx Family | Onyx Flix,onyxfamily,https://www.youtube.com/watch?v=qtwcz5F6n7E,0.9999999315959802,,,,,,,,,1,0,0,1,0
