id,title,channel_short_name,viewCount,performative_labor_llm,emotional_bait_llm,narrative_conflict_llm,challenge_format_llm,commercial_content_llm,privacy_violation_llm,video_id,performative_labor_vision,emotional_bait_vision,narrative_conflict_vision,challenge_format_vision,commercial_content_vision,privacy_violation_vision,overall_exploitative
lKs1gc1zvow,YOU WON'T BELIEVE WHAT HAPPENED TO AUSTIN...,acefamily,4649297,0,1,0,0,0,0,,,,,,,,
GoTK7rrL5lk,ELLE MEETS THE GIRAFFE...AND SHE FREAKS OUT!!! (SORRY ELLE),acefamily,5043771,0,1,0,0,0,0,,,,,,,,
fzVUrWC3cyY,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,acefamily,12878498,0,0,0,0,0,0,,,,,,,,
TtSVsRHHWj0,Recreating VIRAL TikTok challenge...,acefamily,3836502,1,0,0,1,0,0,,,,,,,,
qQUQuDGZs90,ELLE GETS STUCK IN 1 MILLION MARSHMALLOWS!!! (INSANE MARSHMALLOW POOL),acefamily,6984826,1,0,0,0,0,0,,,,,,,,
KRkBFhPMC14,GOING BACK TO THE OLD ACE FAMILY HOUSE!!!,acefamily,8118931,0,0,0,0,0,0,,,,,,,,
4kCvdON9XjQ,TERRIFYING REAL TARANTULA PRANK ON GIRLFRIEND!!!,acefamily,17756345,1,1,1,0,0,0,,,,,,,,
0fa1kA5bnW4,OUR NEW FAMILY BUSINESS...,acefamily,4353807,0,0,0,0,0,0,,,,,,,,
pTmr8CzlT6k,THE TRUTH BEHIND OUR NEW BABY'S NAME!!!,acefamily,7148578,0,1,0,0,0,0,,,,,,,,
CelXHX7CG0I,ELLE REACTING TO HER BIRTH VIDEO!!! (THIS BABY IS HILARIOUS),acefamily,9457802,0,1,0,0,0,1,,,,,,,,
buDUHXHTvrM,ELLE TRANSFORMS INTO WEDNESDAY **VIRAL NETFLIX SHOW**,acefamily,489756,1,0,0,0,0,0,,,,,,,,
SXGVQiFFdQ4,10 MILLION ACE FAMILY MEMBERS!!! **SECRET SURPRISE**,acefamily,4860193,0,0,0,0,0,0,,,,,,,,
6E0z3HfPNug,"GIVING 1,000 DOLLARS TO WORKERS!!! (THEY WERE IN SHOCK)",acefamily,1871112,0,1,0,0,0,0,,,,,,,,
tL5n51oCBqs,PREPARING FOR A HOME WATER BIRTH!!!,acefamily,24737450,0,0,0,0,0,1,,,,,,,,
NAdcqajcvtU,MEET THE NEW ACE FAMILY'S CHEF!!!,acefamily,6601854,0,0,0,0,0,0,,,,,,,,
6HmJHQ2Y9Gc,ELLE FOUND THE DIAMOND PLAY BUTTON!!! **OMG IT'S REAL**,acefamily,5256868,0,1,0,0,0,0,,,,,,,,
f16wIBp_uFc,1 YEAR OLD BABY SURPRISES MOMMY WITH A GIFT!!!,acefamily,4496218,0,1,0,0,0,0,,,,,,,,
J7QOYgODhOw,HILARIOUS DANCE CLASS WITH 1 YEAR OLD BABY!!!,acefamily,10215750,1,0,0,0,0,0,,,,,,,,
UYf70kCpRRE,HOUSE HUNTING!!!,acefamily,2243158,0,0,0,0,0,0,,,,,,,,
Qc9yiDQmTsI,I DROPPED THE BABY... *SORRY CATHERINE*,acefamily,5083635,0,1,0,0,0,0,,,,,,,,
v_9jZ8R9VRA,LAST DAY AT THE ACE FAMILY HOUSE! **BYE FOREVER**,acefamily,3156669,0,0,0,0,0,0,,,,,,,,
1c5i-pVP94c,TELLING MY BOYFRIEND IM GETTING DEPORTED PRANK!!!,acefamily,8413892,1,1,1,0,0,0,,,,,,,,
LMv0GBijapg,PO BOX MAIL OPENING,acefamily,2865434,0,0,0,0,0,0,,,,,,,,
SGZWVGSTyS8,WE ARE SORRY!!!,acefamily,1165702,0,0,0,0,0,0,,,,,,,,
XwlkBYxJFNI,SURPRISING CATHERINE WITH A NEW CAR!!! **EMOTIONAL**,acefamily,10447996,0,1,0,0,0,0,,,,,,,,
f5wnRAnZv_4,THEY DID NOT EXPECT THE REAL EASTERN BUNNY TO SHOW UP...,acefamily,2208086,0,1,0,0,0,0,,,,,,,,
kZay_dYns9s,🌷 DADDY DAUGHTER DATE 🌷  Adley & Navey Spa Day with Dad! Niko Bear and Mom play games at the Arcade,aforadley,25290191,0,0,0,0,0,0,,,,,,,,
6TZ2wKrbfvs,ADLEY the PET DOCTOR!!  Animal Neighborhood with Niko & Dad! neighbor won't wake up morning routine,aforadley,46649282,0,0,0,0,0,0,,,,,,,,
eSapRl5DueE,"MOM and NiKO crazy ARCADE DATE!!  Laser Tag, Riding a Race Kart, giggle icecream, new family cartoon",aforadley,1036456,0,0,0,0,0,0,,,,,,,,
IR_FwCnqd9Q,SORRY DAD!!  Surprise HAIRCUT from Adley and Mom! Spa inside our House & Manicure Makeover✂️💅🏻,aforadley,34439468,0,0,0,0,0,0,,,,,,,,
gLXo0ioDhU0,SNAKE in the HOUSE!!  a Temporary Family Pet we Learned from then Niko Released at PiRATE iSLAND,aforadley,1003726,0,0,0,0,0,0,,,,,,,,
lP5d1OmuJNg,"6,000,000 FRiENDS Neighborhood Party!! Adley Finds a crazy Navey Baby! Dad Won't Wakeup! Niko & Bugs",aforadley,5761735,0,0,0,0,0,0,,,,,,,,
0j-AsHW38XE,MAGiC FASHiON SHOW!!  Adley designs Barbie clothes with Mom for the new Fashion Planet runway!,aforadley,5557431,1,0,0,0,0,0,,,,,,,,
aJmE9jUarF0,RAiNBOW SLiME CHALLENGE with NAVEY!!  Crazy Colors on Surprise Spin Wheel! crazy glitter & ghosts,aforadley,531878,1,0,0,1,0,0,,,,,,,,
54k4ET6ZynA,SKATE TRiCKS with Adley & Niko!! we made Skateboards for YOU!  shred sesh in the backyard skate park,aforadley,8944759,1,0,0,0,0,0,,,,,,,,
LVVZJ8kbbC0,ADLEY is a UNiCORN and NiKO is a BEAR!! Kids Face Paint Makeover at Disney World Animal Kingdom Park,aforadley,27530329,0,0,0,0,0,0,,,,,,,,
Hbv5X9z6xn4,HOW to PAiNT a BiRD HOUSE!! Adley finds Hidden Baby Robin Eggs in the Backyard! Crafts with Niko!,aforadley,25680335,0,0,0,0,0,0,,,,,,,,
2hMr0vlc9Hk,LEGO FORTNiTE with Adley & Niko!!  DAY 1 of Family Survival - Finding Secrets we Learn how to Build,aforadley,4894169,0,0,0,0,0,0,,,,,,,,
9bKMcR0m77g,🌋 DADDY DAUGHTER DATE 🌋 Lava Monster with Adley and Navey playing at the Duck Park then icecream,aforadley,6517052,0,0,0,0,0,0,,,,,,,,
WbVxvSnTHq4,"MAKiNG PUPPET FRiENDS!!  Family Craft Puppets with Adley Niko and Navey how to diy, crafts, & gaming",aforadley,477465,0,0,0,0,0,0,,,,,,,,
AKp_u0N8wf4,ADLEY helps BARBiE plan a Dream House Party using CARTOON MAGiC!! Learning to surprise new friends!,aforadley,7467787,0,0,0,0,0,0,,,,,,,,
YNeKQhPIpt8,KiDS Leprechaun TRAP!!  Adley & Niko make a St Patrick’s Day hidden gold slide box! family DIY craft,aforadley,16137839,0,0,0,0,0,0,,,,,,,,
71Wzf1apBn8,ESCAPE with ADLEY & CLAiR!!  Trapped in a Magic Room with friends to solve spooky puzzles and games,aforadley,2220569,1,0,0,1,0,0,,,,,,,,
kg9l6V4yses,"NiKO’S 7th BiRTHDAY!! catching WiLD ANiMALS on pirate island with Adley, Navey, Pirates and Friends",aforadley,5389554,0,0,0,0,0,0,,,,,,,,
bz8Su-pnz38,TRiCK or TREAT inside our HOUSE!!  Halloween Routine safe DIY neighborhood with Mom & Dad costumes!,aforadley,94120625,0,0,0,0,0,0,,,,,,,,
LTwIkqAYSdo,FAMiLY CHECKUP from Doctor Adley!!  Playing our favorite games in REAL LiFE or ROBLOX! Niko sick day,aforadley,4366324,0,0,0,0,0,1,,,,,,,,
6tACm1GkRp8,Made by: ADLEY    MY FiRST ViDEO EDiT!! Funny Barbie Story and my Vidsummit Fun with Nastya & Payton,aforadley,5016378,0,0,0,0,0,0,,,,,,,,
nyS-o1sXsiQ,Adley & Navey vs BOWSER DAD!!  Mini game battle for stars at Clair's Real Life Mario Party Birthday!,aforadley,8880713,1,0,1,1,0,0,,,,,,,,
dv8RyAJzQdA,Adley is NOT the Boss!! Navey's mini MEGA Mall!  Chef Mom & Monkey Niko visit our play pretend store,aforadley,2985667,0,0,1,0,0,0,,,,,,,,
uDKMJKCvUCg,A for Adley THE MOViE!!  Daddy Daughter Date!  Dinosaur Park visit!  Cops vs Robbers prison escape!,aforadley,43112347,1,0,1,0,0,0,,,,,,,,
g7Jyc5vWNxM,"MYSTERY CAFE of LOVE!!  Romantic Date for Mom and Dad, Chef Adley Niko & Navey valentines surprise!💗",aforadley,994129,0,0,0,0,0,0,,,,,,,,
FF5hRg3pJLo,Adley’s HAiR SALON and SPA 🛁  Dad gets a Makeover!! Niko’s new Spider Man haircut from cartoon Mom!,aforadley,23086700,0,0,0,0,0,0,,,,,,,,
gSlns6N7D5A,BARBiE CAMPiNG inside our HOUSE!!  Summer Road Trip in the Dream Camper! It Takes Two camp friends,aforadley,12811963,0,0,0,0,0,0,,,,,,,,
cLOOgMUG0Xs,RAiNBOW GHOSTS!! Adley & Niko escape the Portal House! Blue Pink Green Purple color keys Hide n Seek,aforadley,35945206,1,0,0,1,0,0,,,,,,,,
PwKX2ZkD2dA,SPY KiD and SPY DAD the STORY!!  Saving the City from Mr. Sunflower! Magic Library Stories by Adley,aforadley,7779569,0,0,0,0,0,0,,,,,,,,
bv0cxKaf98Q,i made an ADLEY ViDEO!! Teaching my friend Alli how to make homemade SLiME and it got a little messy,aforadley,12204135,0,0,0,0,0,0,,,,,,,,
n1oeDgF7kF4,Family Game Morning!  Play & Review new games with Mom & Dad! Adley sleep darts parents won’t wakeup,aforadley,26651171,0,0,0,0,0,0,,,,,,,,
Bs1sjEPnxoo,NAVEY’s First Trick or Treat!! Adley & Niko run their Bluey Costumes across the neighborhood 4 candy,aforadley,23326332,0,0,0,0,0,0,,,,,,,,
u21ZCqEG3Qs,CRYSTAL HiDE n SEEK!!  Playing Games with Adley Niko & Navey! some Fun Active Learning as a Family,aforadley,226066,1,0,0,0,0,0,,,,,,,,
2WMOOA2ZM0w,"FEEDiNG ZOO ANiMALS!!  Adley & Niko feed a Giraffe, a Rhino, and do a vet morning check up routine!",aforadley,6826050,0,0,0,0,0,0,,,,,,,,
-F0l9-8eFAA,ADLEY is the CONSTRUCTiON BOSS!!  Niko helps build a Giant Castle at his pretend job with Mom & Dad,aforadley,7923574,1,0,0,0,0,0,,,,,,,,
_RgvqkbFuoQ,BABY OTTER FAMiLY 🦦  Adley & Niko are little otters learning to swim and pretend play in the pool,aforadley,12369565,0,0,0,0,0,0,,,,,,,,
eAPcJycHuow,TRAPPED INSiDE the iPAD?!  Adley & Dad play a new family game! and beach visit! my town app review,aforadley,50141823,1,0,0,0,0,0,,,,,,,,
_HdXV13t3x8,"A for Adley TRAVEL MOViE part 1!!  Get Ready, Pack Bags, Fly an Airplane, Hotel, Swim, & Pizza Party",aforadley,1540327,0,0,0,0,0,0,,,,,,,,
1iCeNAXCwvw,RAiNBOW BiRTHDAY for MOM!! Adley & Niko plan a Surprise Party for Jenny! Cake Decorating & New Games,aforadley,12557706,0,0,0,0,0,0,,,,,,,,
vdIfzT8GVnE,TURKEY DANCE family song!! Adley & Niko visit Doctor Dad for STiCKER POX and TURKEY FEET Music Video,aforadley,24918267,0,0,0,0,0,0,,,,,,,,
V1xDC_GkG5c,7:00am Adley’s Morning Routine 💤  Dad Won’t Wakeup! baby Navey rescue! get Niko ready! Mom Asleep!,aforadley,28173031,0,0,0,0,0,1,,,,,,,,
oRinq5HesJc,PiRATE YOGA with PARROTS!!  Family exercise morning routine with Adley & Niko! ultimate new game,aforadley,5882755,0,0,0,0,0,0,,,,,,,,
zs_zOqoQwGo,BARBiE RUNWAY SHOW inside our HOUSE!! Adley does a pretend play magic makeover and new toy reveal!,aforadley,7418867,0,0,0,0,1,0,,,,,,,,
SnoBDI0AAv8,"Chef Adley's MYSTERY CAFE Love Story!!  Adley is the Boss, Niko makes Food, a new Family 3D Cartoon",aforadley,21371177,0,0,0,0,0,0,,,,,,,,
eKwKIKnZutk,"CHRiSTMAS CRAFTS with Adley and Dad!! How to make Paper Snowflakes, Tree Decorations, & Snowman DIY",aforadley,4870948,0,0,0,0,0,0,,,,,,,,
9WUT-W0UAl4,BACK to SCHOOL - TiME CAPSULE!!  Buried a treasure for future Adley & Niko! family DIY kids crafts,aforadley,6038712,0,0,0,0,0,0,,,,,,,,
N3b24Gj3FMQ,"NiKO, you shrunk the ADLEY and NAVEY!! a Tiny Surprise on Turkey Day! Family Shrinks on Thanksgiving",aforadley,1873799,0,0,0,0,0,0,,,,,,,,
axvkoseCHVk,Magic BARBIE MAKEOVER!!  Metallic Spa Day inside a pretend swimming pool! Color Reveal slumber party,aforadley,17238438,0,0,0,0,0,0,,,,,,,,
EItJK-phBHE,VOLCANO ESCAPE!!  Driving Niko for a rescue mission because the Floor is Lava at pirate island! 🌋,aforadley,12954017,1,0,0,1,0,0,,,,,,,,
ntoYjEMsLz8,ZOMBiE GAMES at the PARK!! and HiDE n SEEK Sardines! Fun from fall break with Adley Niko & Friends,aforadley,9850954,0,0,0,0,0,0,,,,,,,,
2JNYBUqD5Os,"BURiED by BABY UNiCORNS!! Adley has 1,000 Pet Bunnies and Mystery Eggs for YOU! new Spring BFF merch",aforadley,14517298,0,0,0,0,1,0,,,,,,,,
T8Vyael6hjQ,Adley & Niko BABY ANiMAL SAFARi 🦒  Pet Neighborhood & Vet Check Up! G for Gaming Minecraft Movie,aforadley,29731338,0,0,0,0,0,0,,,,,,,,
rv7oKGcUxsY,LAST to LEAVE part 3 - Baby Mermaid Eggs on SURViVOR PiRATE iSLAND!! Beach Daycare Challenge w Adley,aforadley,552777,1,0,0,1,0,0,,,,,,,,
-FFFIZ0APdM,"FAMiLY SKATE SESH!!  Adley skateboard routine, backyard skate park play, Niko learns new tricks 🛹",aforadley,7496479,0,0,0,0,0,0,,,,,,,,
vo2yUF_rzbM,LAVA BALL 🔥 NEW CHALLENGE!!  don’t let the snowball touch the floor! Adley game inside our house!,aforadley,5639035,1,0,0,1,0,0,,,,,,,,
jIyj_yEkYZY,BALL PiT PARK!!  Ultimate obstacle course challenge with Adley & Niko! playing Hide N Seek inside,aforadley,22458156,1,0,0,1,0,0,,,,,,,,
CsYJxgpeXt0,SNEAKiNG in a DiSGUiSE 🥸 not Adley Niko & Navey sneak into a play park Hide n Seek with friends!!,aforadley,1681834,1,0,0,0,0,0,,,,,,,,
C_3vLFQ1ejs,TRiCK or TREAT candy CHALLENGES!!  Adley Niko & Navey escape Dracula Dad's Haunted Halloween House,aforadley,4193343,1,0,0,1,0,0,,,,,,,,
RIzjAuynGe4,PiRATE Present Day!!  Dad Surprises Adley & Mom with Gold Gifts! Beach Party Fun for Fairy Friends,aforadley,15319491,0,0,0,0,0,0,,,,,,,,
nAjC87fSYEE,LOVE FORTUNE with Adley who is Saedie's Secret Crush and what is her Future! Ask Adley part 2,aforadley,1707874,0,0,0,0,0,0,,,,,,,,
uaEr1IxJizI,Back to school shopping + what's in my backpack,annierose,237694,0,0,0,0,0,0,,,,,,,,
ZwG05Vrp9Tw,My Productive Routine VLOG!! Let's Talk About Everything,annierose,193398,0,0,0,0,0,0,,,,,,,,
yUMWDSH6zOE,10 hacks to make your life organized this summer!,annierose,108988,0,0,0,0,0,0,,,,,,,,
HZ3KXhlvICU,"School Room and Kitchen Makeover TOUR ✏️ Being an Interior Designer for a week, Part 6!",annierose,209895,0,0,0,0,0,0,,,,,,,,
fVK-WQEyeMc,My tiny house cleaning routine!,annierose,5253,0,0,0,0,0,0,,,,,,,,
H393sWBLF40,FALL shopping & haul,annierose,141843,0,0,0,0,1,0,,,,,,,,
nGfHck2dJ6w,Reacting to getting half a MILLION subs and Fan Mail Art,annierose,91202,0,0,0,0,0,0,,,,,,,,
a26bcDi5mlI,we got back together,annierose,15512,0,0,0,0,0,0,,,,,,,,
tva7BSaHfr4,HAIR + MAKEUP + FASHION! Glam up GRWM,annierose,128439,0,0,0,0,0,0,,,,,,,,
WLFxQPQMF2A,"Everyday Get Ready With Me, Natural Make Up, Hair, Outfit",annierose,468321,0,0,0,0,0,0,,,,,,,,
zvPQWq0CwHY,iPhone XS MAX shopping AND unboxing,annierose,2770273,0,0,0,0,1,0,,,,,,,,
T_ujsiAbZPk,my insecurities | It gets real ep: 7,annierose,97715,0,0,0,0,0,0,,,,,,,,
K83XvpEYrms,Shopping Brandy Melville Style Online at home | TRY ON HAUL,annierose,118493,0,0,0,0,1,0,,,,,,,,
MfZZGSGYMrE,CHRISTMAS ROOM SHOPPING | ANNIE ROSE,annierose,107398,0,0,0,0,1,0,,,,,,,,
C3CpXyTYXC8,Plane Trip + FULL Playlist live vlog!!,annierose,142731,0,0,0,0,0,0,,,,,,,,
NVYodXL-1e0,ORGANIZING MY MAKEUP & MOVING FURNITURE!!,annierose,277485,0,0,0,0,0,0,,,,,,,,
aYRA54qQtK0,10 minute TARGET school shopping challenge!,annierose,88713,0,0,0,1,1,0,,,,,,,,
h8kgxtNHAO8,first week of homeschool *PRODUCTIVE*,annierose,101516,0,0,0,0,0,0,,,,,,,,
QXKzkxXN4mc,FLYING TO ✈️ & SHOPPING IN 🛍LA FOR MY TEEN CHOICE AWARDS OUTFIT!,annierose,316147,0,0,0,0,1,0,,,,,,,,
XkDDbRfHTQE,How to deal with CYBER BULLIES vs real life bullies it gets real EP: 11,annierose,50232,0,0,1,0,0,0,,,,,,,,
TEgeZAgpP-o,iPhone case and popsocket collection HAUL!,annierose,101827,0,0,0,0,1,0,,,,,,,,
pPG7Wl-4lwU,School Day Routine and online school tips!,annierose,166976,0,0,0,0,0,0,,,,,,,,
7YYJR3H3nBY,SUMMER unboxing MUST HAVES!! Fabfitfun unboxing,annierose,104906,0,0,0,0,1,0,,,,,,,,
CuYMeiugu_A,PACKING FOR NEW YORK ✈️,annierose,240089,0,0,0,0,0,0,,,,,,,,
U-783jC0ch8,I grew out of everything. So I redid my entire closet...,annierose,7758,0,0,0,0,0,0,,,,,,,,
UWwOk4fk2UM,NAILS AND PACKING FOR PLAYLIST LIVE vlog | ANNIE ROSE,annierose,217270,0,0,0,0,0,0,,,,,,,,
aDIjREa_mQk,READING ASSUMPTIONS ABOUT ME *TEA*,annierose,152796,0,0,0,0,0,0,,,,,,,,
jJceLWyuggM,Back to School Prep - what I eat on a school day! what's in my lunch box,annierose,203279,0,0,0,0,0,0,,,,,,,,
aXDEXY_n2is,All Day Routine | WINTER Edition | ANNIE ROSE filmed by Hope Marie,annierose,120893,0,0,0,0,0,0,,,,,,,,
Y_6vfLjrw_Y,GRWM & Traveling to LA for Streamys 2018,annierose,186833,0,0,0,0,0,0,,,,,,,,
YPLNOmwHwvs,Instagram Followers Control My Summer Morning Routine,annierose,632579,0,0,0,0,0,0,,,,,,,,
skHl34YKi6M,Single vs Taken Valentine's Day MORNING ROUTINE,annierose,208344,0,0,0,0,0,0,,,,,,,,
gKYlcTeYhck,Redoing my entire closet (after growing out of everything),annierose,23777,0,0,0,0,0,0,,,,,,,,
5NCSLIRxO7o,NIGHT ROUTINE BEFORE TRAVELING ON AN INTERNATIONAL FLIGHT!!,annierose,185015,0,0,0,0,0,0,,,,,,,,
056CpT4k2yU,REAL LIFE ROUTINE | Sister Life | Annie Rose Ft. Lily Kate,annierose,164305,0,0,0,0,0,0,,,,,,,,
THLi9ceLbek,my secret is finally out - 13 year old AUTHOR!!,annierose,162359,0,0,0,0,0,0,,,,,,,,
YFWPYYMuzJw,what I got for my 13th birthday haul! + fashion try on,annierose,443380,0,0,0,0,1,0,,,,,,,,
QBtON-DtSeM,a real day in my life at 19 (not in college & living at home),annierose,12460,0,0,0,0,0,0,,,,,,,,
pFrZnZ-4C_k,Shopping for the 100th time lol,annierose,169046,0,0,0,0,0,0,,,,,,,,
J2KNQaI-85w,LAST DAY OF SCHOOL VLOG!! Hello Summer (almost),annierose,208417,0,0,0,0,0,0,,,,,,,,
w7dHBEuFobs,BLACK FRIDAY SHOPPING 2018! Ft. Hope Marie,annierose,621027,0,0,0,0,1,0,,,,,,,,
LRHC-IQ4yY4,UNPACKING AFTER LA!! GRWM to go to target & bts filming!! My afternoon routine,annierose,150681,0,0,0,0,0,0,,,,,,,,
RRe9g0mmu3U,After Christmas Winter Room Makeover 2017-18!,annierose,165884,0,0,0,0,0,0,,,,,,,,
m4dYNUyqYjM,room decor shopping at target vlog!!,annierose,208836,0,0,0,0,0,0,,,,,,,,
5pvwGOrVeUw,I tried contact lenses for A WEEK!! VLOG,annierose,87424,0,0,0,0,0,0,,,,,,,,
97A85t4cXt8,DAY IN MY LIFE : editing at a coffee shop (NO PARENTS) + hanging out with my bffs,annierose,133783,0,0,0,0,0,0,,,,,,,,
FwGcXwC61mY,"Fall Weekend routine! packing, voice lessons, FINALLY FALL WEATHER",annierose,91444,0,0,0,0,0,0,,,,,,,,
e437I-djuOs,Get Ready With Me 💄 for MY FIRST TIME at the Teen Choice Awards! Part 3,annierose,213661,0,0,0,0,0,0,,,,,,,,
2m0K7iDoBFY,CHRISTMAS ROOM SHOPPING!!!,annierose,178665,0,0,0,0,1,0,,,,,,,,
gfi8MC-9dIg,REAL black friday shopping & haul 2019! ANNIE ROSE ft. Hope Marie,annierose,153271,0,0,0,0,1,0,,,,,,,,
AKBbLCIpR4c,James Charles x Morphe Palette SOLD OUT Shopping! Driving Across Town to ULTA,annierose,154108,0,0,0,0,1,0,,,,,,,,
H4gszWG-FLQ,teen's productive weekday morning routine,annierose,255099,0,0,0,0,0,0,,,,,,,,
c52sf_h0TQs,A week in my life as a 19 year old,annierose,8092,0,0,0,0,0,0,,,,,,,,
1Nw3DUk2AzY,Back to School Struggles ✏️,annierose,157668,0,0,0,0,0,0,,,,,,,,
sF89ZC3LX_o,"Top 3 New Year's Resolutions Exercise, diet and living well, 2018 Girl Talk Season 1 Ep.9",annierose,38294,0,0,0,0,0,0,,,,,,,,
r1g9Elz0bZA,Try on Haul Fashion Nova,annierose,237580,0,0,0,0,1,0,,,,,,,,
3E9iSKpmCnA,TRANSFORMING MY CLOSET into a HOME music studio | Annie Rose,annierose,80183,0,0,0,0,0,0,,,,,,,,
O8Ikb4NJI74,How to become a singer songwriter (sneak peak of my first song),annierose,83287,0,0,0,0,0,0,,,,,,,,
Pwc1wl0KzjM,SCHOOL MORNING ROUTINE 2018 ☕️✏️ | School Routines Part 1,annierose,821315,0,0,0,0,0,0,,,,,,,,
