id,title,publishedAt,channelId,channelTitle,viewCount,channel_short_name,log_views
axvkoseCHVk,Magic BARBIE MAKEOVER!!  Metallic Spa Day inside a pretend swimming pool! Color Reveal slumber party,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,17238438,aforadley,7.236497911215274
EItJK-phBHE,VOLCANO ESCAPE!!  Driving Niko for a rescue mission because the Floor is Lava at pirate island! 🌋,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,12954017,aforadley,7.112404462657765
ntoYjEMsLz8,ZOMBiE GAMES at the PARK!! and HiDE n SEEK Sardines! Fun from fall break with Adley Niko & Friends,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,9850954,aforadley,6.993478291093871
2JNYBUqD5Os,"BURiED by BABY UNiCORNS!! Adley has 1,000 Pet Bunnies and Mystery Eggs for YOU! new Spring BFF merch",4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,14517298,aforadley,7.161885791785046
T8Vyael6hjQ,Adley & Niko BABY ANiMAL SAFARi 🦒  Pet Neighborhood & Vet Check Up! G for Gaming Minecraft Movie,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,29731338,aforadley,7.473214454208008
rv7oKGcUxsY,LAST to LEAVE part 3 - Baby Mermaid Eggs on SURViVOR PiRATE iSLAND!! Beach Daycare Challenge w Adley,4 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,,552777,aforadley,5.742549964574377
-FFFIZ0APdM,"FAMiLY SKATE SESH!!  Adley skateboard routine, backyard skate park play, Niko learns new tricks 🛹",5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,7496479,aforadley,6.874857328734921
vo2yUF_rzbM,LAVA BALL 🔥 NEW CHALLENGE!!  don’t let the snowball touch the floor! Adley game inside our house!,6 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,5639035,aforadley,6.751204790147796
jIyj_yEkYZY,BALL PiT PARK!!  Ultimate obstacle course challenge with Adley & Niko! playing Hide N Seek inside,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,22458156,aforadley,7.351374094227244
CsYJxgpeXt0,SNEAKiNG in a DiSGUiSE 🥸 not Adley Niko & Navey sneak into a play park Hide n Seek with friends!!,1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,,1681834,aforadley,6.225783127941248
C_3vLFQ1ejs,TRiCK or TREAT candy CHALLENGES!!  Adley Niko & Navey escape Dracula Dad's Haunted Halloween House,1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,,4193343,aforadley,6.622560387544235
RIzjAuynGe4,PiRATE Present Day!!  Dad Surprises Adley & Mom with Gold Gifts! Beach Party Fun for Fairy Friends,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,,15319491,aforadley,7.185244335821154
nAjC87fSYEE,LOVE FORTUNE with Adley who is Saedie's Secret Crush and what is her Future! Ask Adley part 2,4 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,,1707874,aforadley,6.232455827053677
k9cYM5MjmR8,Family Easter Game Ideas! 💕🐣💕,2 years ago,UCsi7f6y5dH5uuye3MeCfojA,,1684723,ballingerfamily,6.226528504933947
veIATFyymPE,Luke's Birthday Special - Three Years Old!,3 years ago,UCsi7f6y5dH5uuye3MeCfojA,,167024,ballingerfamily,5.222778880241442
GBsR4JDQHtE,One Thing Every Parent Deserves,2 years ago,UCsi7f6y5dH5uuye3MeCfojA,,33908,ballingerfamily,4.530302174485271
4YCoxnsB-DI,Trying Mexican Candy!,5 years ago,UCsi7f6y5dH5uuye3MeCfojA,,468715,ballingerfamily,5.670908852203779
0mNKkEbPZPA,Black Friday in Spain + Big Visa Milestone! 🇪🇸✨ | Vlogmas Day 3,5 months ago,UCsi7f6y5dH5uuye3MeCfojA,,31907,ballingerfamily,4.503885972332198
wN8fLpWKwqA,"Hollywood, Here I Come!",2 years ago,UCsi7f6y5dH5uuye3MeCfojA,,75269,ballingerfamily,4.876616146174212
q_TN9TCI2yg,Parker's FIRST TIME on the Big Ropes Course! Ballinger Family Camp 2023 (day 2),2 years ago,UCsi7f6y5dH5uuye3MeCfojA,,43035,ballingerfamily,4.63382180730168
