video_id,content_type,emotional_manipulation,commercial_signals,child_role,privacy_concern,clickbait_level
6h-H88miMCU,travel,none,brand_mention,unclear,none,none
BHVxe0CsG0Q,travel,none,brand_mention,co_star,none,none
ABTIJRfl2eI,daily_vlog,mild,none,protagonist,low,none
6R0J-j_Ht4o,travel,none,none,protagonist,low,none
yTa_jB9JwYg,daily_vlog,mild,none,protagonist,low,none
QTmJDxix2uM,other,none,brand_mention,protagonist,low,none
dDxOzaoCEF4,other,none,none,unclear,none,moderate
COni5jaAI7o,challenge,none,none,unclear,low,none
b1Ta_dr32s0,challenge,none,none,unclear,low,none
nvCjj0SzkLM,challenge,none,none,unclear,low,none
lmLd3-FkJrY,challenge,none,none,unclear,low,none
TJDxXL5NFko,challenge,none,none,unclear,low,none
BaN5-T7tenU,challenge,none,none,unclear,low,mild
_E5mrX53ZNo,challenge,none,none,unclear,low,mild
9RRxTeftfwY,challenge,none,none,unclear,low,mild
lo9PTYlRrME,challenge,none,none,unclear,low,mild
5H1KPAns4M0,challenge,none,none,unclear,low,mild
qzJW8J5Xhv8,challenge,none,none,unclear,low,mild
yxlxMCF6luw,challenge,none,none,unclear,low,mild
wDZRCIHfHjc,challenge,none,none,unclear,low,mild
EQRfRcf1GIs,challenge,none,brand_mention,unclear,low,moderate
fns3nKn8rkA,challenge,none,none,unclear,low,mild
Vf4JhreiU-Y,prank,mild,none,unclear,low,moderate
-AEMpVVyIpM,challenge,none,none,unclear,low,mild
3Ts3VzW09Vs,challenge,none,none,unclear,low,mild
8exb5OhH5AY,challenge,none,none,unclear,low,mild
payHpwIu3aE,challenge,none,none,unclear,low,mild
cEoyTBUhC90,challenge,none,none,unclear,low,mild
KYuZb-B8rIQ,challenge,none,none,unclear,low,mild
cgrhdh-o2nk,challenge,none,none,unclear,low,mild
Vhbdtb_lgZg,challenge,none,none,unclear,low,moderate
pi4_pSdmQBg,challenge,none,none,unclear,low,moderate
Vi0jYDV6tZU,challenge,none,none,unclear,none,mild
p_zSUQIFDtM,challenge,none,none,unclear,none,mild
hQG3VCxOnSE,challenge,none,none,unclear,none,mild
cOG8WDY3Jyk,challenge,none,none,unclear,none,mild
q4GBk0kPdhQ,challenge,none,none,unclear,none,mild
70l9oazRNv4,challenge,none,none,unclear,none,mild
kFr-lH5eWeA,challenge,none,none,unclear,none,moderate
2oLvYqVeRjQ,other,none,none,unclear,none,mild
RH8LlcxO4Jw,other,none,none,unclear,none,mild
GP5RV4DB7vc,challenge,none,none,unclear,none,moderate
foq_E-cw-0s,challenge,none,none,unclear,none,mild
VrqTlVsR3O8,challenge,none,none,unclear,none,mild
AuVfG2y5vW8,challenge,none,brand_mention,unclear,none,moderate
Ap2LdDCYAtE,challenge,none,none,unclear,none,mild
_C7w4VL4_pQ,challenge,none,none,unclear,none,mild
D8fzBXXiSHU,challenge,none,none,unclear,none,mild
xRjX30YUeCs,challenge,none,none,unclear,none,mild
Ds_LCblNFYw,challenge,none,none,unclear,none,mild
jUoSOSzLWNQ,challenge,none,none,unclear,none,mild
x3I7gBE9w0Y,challenge,none,none,unclear,none,mild
sgORaJKFItA,other,none,brand_mention,unclear,none,mild
BS5k6vkoKvw,other,none,none,unclear,none,mild
5xzBBFn2fC4,challenge,none,none,unclear,none,mild
VHvOXTGkKEw,challenge,none,none,unclear,none,mild
rJ2fm59G6FA,challenge,none,none,unclear,none,mild
9UusDiQtV_A,challenge,none,none,unclear,none,mild
acYRcOg9fOg,challenge,none,none,unclear,none,mild
g6RxEToQgyk,challenge,none,none,unclear,none,mild
MUgwMBx4aPU,challenge,none,none,unclear,none,mild
7cOcREQF4a4,challenge,none,none,co_star,none,mild
5ciGGpT9rNc,challenge,none,none,unclear,none,mild
lrzTyjVm9so,challenge,none,none,unclear,none,mild
qEgrwSlIF8U,challenge,none,none,unclear,none,mild
WUNEq2Ra2bw,challenge,none,none,unclear,none,mild
cuH_HVHbJko,challenge,none,none,unclear,none,mild
A2PRh1zu-WU,challenge,none,none,protagonist,none,mild
zy0WnxItV3c,challenge,none,none,protagonist,none,mild
fyjliaq7HBU,challenge,none,none,unclear,none,mild
ziFZRYREg3g,challenge,none,none,unclear,none,mild
Ki6eqmf57eo,challenge,none,none,unclear,none,mild
Sj33vyf9pq0,challenge,none,none,unclear,none,mild
a-1nMj6jNGQ,challenge,none,none,unclear,none,mild
XAsB8CGL_o0,challenge,none,none,unclear,none,mild
uqh-TvZ-Nkw,challenge,none,none,unclear,none,mild
LMy5vTHepZc,challenge,none,none,unclear,none,mild
oMk3ibSXZl0,challenge,none,none,unclear,none,mild
5kuzFnOfJPo,challenge,none,none,unclear,none,mild
1Qr8gKVitog,challenge,none,none,unclear,none,mild
bA6QRDtm89s,challenge,none,none,unclear,none,mild
IclEAQnACHQ,challenge,none,none,unclear,none,mild
gtmz5UJR3wk,challenge,mild,none,co_star,low,mild
eB0RVryaOy4,challenge,mild,none,co_star,low,mild
2bM9eVTQbWs,challenge,mild,none,protagonist,low,mild
N0BTqCZSj4Y,challenge,mild,none,co_star,low,mild
UGRMJFB-WJE,challenge,mild,none,co_star,low,mild
iaE7z5wtcc4,challenge,mild,none,co_star,low,mild
OzQShzhWihg,challenge,mild,none,unclear,low,mild
6SHjnJPGM7I,challenge,mild,none,unclear,low,mild
ffBCiUn1ZPA,challenge,mild,none,unclear,low,mild
Y7df5OD-OZQ,unboxing,mild,none,unclear,low,mild
VaTGQfJ-Oio,challenge,mild,none,protagonist,low,moderate
nxhIz1svdZs,challenge,mild,none,protagonist,low,moderate
xP_KS74PaXE,challenge,mild,none,protagonist,low,moderate
VAuvwUz1RlQ,challenge,mild,none,protagonist,low,moderate
NP1TkKKKjsk,challenge,mild,none,protagonist,low,moderate
-EhqsXHnwHg,challenge,mild,none,protagonist,low,moderate
jsVU4rPmLRs,challenge,mild,none,protagonist,low,moderate
uOYmkyNhJo0,challenge,mild,none,protagonist,low,moderate
wqR8xRAROfg,challenge,mild,none,protagonist,low,moderate
i2kwvgVij8Y,challenge,mild,none,protagonist,low,moderate
08xsMU1LcqY,other,none,none,unclear,none,moderate
zO3nIIbO1nI,other,none,none,unclear,none,moderate
42uIelukEog,challenge,none,none,unclear,none,moderate
XpWVXIHdjeY,other,none,none,unclear,none,moderate
HJiUzGX58N8,other,none,none,unclear,none,moderate
a_0qGPc4PHk,other,none,none,unclear,none,moderate
Lf22Z3OoCDE,other,none,none,unclear,none,moderate
EKNHMhbZQsU,routine,none,none,unclear,none,none
NX5dc4SEaAI,storytime,mild,none,unclear,none,moderate
URPnzeD8BFk,daily_vlog,none,none,unclear,none,none
2Ua785n_piE,error,error,error,error,error,error
4aTyJay2T0w,error,error,error,error,error,error
aPxnfOJNq4Q,error,error,error,error,error,error
9Mww7ZSXMUA,error,error,error,error,error,error
YgnyjPuB64o,error,error,error,error,error,error
JkeV6IZ2Q8U,error,error,error,error,error,error
K0UFhPzEV-g,error,error,error,error,error,error
BtXaVfSPvEs,error,error,error,error,error,error
i0hqRZRpRC8,error,error,error,error,error,error
2wKcbRKv5jE,error,error,error,error,error,error
eSDJ9iF1fkc,error,error,error,error,error,error
S9lsShlQYkE,error,error,error,error,error,error
5QvG1HdVpjY,error,error,error,error,error,error
-kSFMTk84n8,error,error,error,error,error,error
cPOtaX-vA0w,error,error,error,error,error,error
OJpCrFkt_v0,error,error,error,error,error,error
e5XdQXuwP_A,error,error,error,error,error,error
aFDmYzXl9_s,error,error,error,error,error,error
14LwXx0TM5g,error,error,error,error,error,error
w3VaENEckPE,error,error,error,error,error,error
vGnR2nsDetA,error,error,error,error,error,error
_REhxAA-YF4,error,error,error,error,error,error
bfjW3NopGjQ,error,error,error,error,error,error
OmA5vrswDD8,error,error,error,error,error,error
FIZOLe13td8,error,error,error,error,error,error
h8H7OM34hVE,error,error,error,error,error,error
ckU2AGkV5II,error,error,error,error,error,error
SOgxVEeNPnU,error,error,error,error,error,error
QR5-71b73L0,error,error,error,error,error,error
DsLQD229OiA,error,error,error,error,error,error
afdV8VBadoc,error,error,error,error,error,error
zjUYBLa94oo,error,error,error,error,error,error
Zg8dzJJlaBw,error,error,error,error,error,error
9ngv_2k9PvI,error,error,error,error,error,error
_dmuh9JILPs,error,error,error,error,error,error
D7n_FIJ_SKs,error,error,error,error,error,error
J4VJhPE5r7g,error,error,error,error,error,error
UIWyj6XTzmM,error,error,error,error,error,error
XJyAXfUQyZM,error,error,error,error,error,error
GquDP3TNNaE,error,error,error,error,error,error
7gs4E1EoA7g,error,error,error,error,error,error
r0sajVl8FHE,error,error,error,error,error,error
q5QO7SMkiDI,error,error,error,error,error,error
Zb0FqY5kD08,error,error,error,error,error,error
noOxBMvukgE,error,error,error,error,error,error
HPgBapXEv0c,error,error,error,error,error,error
F4nhJDvGLKM,error,error,error,error,error,error
m__-r6Gi3P0,error,error,error,error,error,error
QIsHTOfT38M,error,error,error,error,error,error
O2x2DhyvFrI,error,error,error,error,error,error
E1Qvf9erWZg,error,error,error,error,error,error
ykoy1lvpFWI,error,error,error,error,error,error
rC2rOCv823A,error,error,error,error,error,error
DY24oUryOQQ,error,error,error,error,error,error
YArLJT5nNMw,error,error,error,error,error,error
NYHV5GWadS8,error,error,error,error,error,error
4Re18ngs2gc,error,error,error,error,error,error
QGjpW54P6os,error,error,error,error,error,error
RpEU0c8-Ldw,error,error,error,error,error,error
r27eBcg0LK0,error,error,error,error,error,error
9G8GMsh_aj0,error,error,error,error,error,error
8T1rgxzgUyE,error,error,error,error,error,error
4XBAZ5Ivtgc,error,error,error,error,error,error
JfDOMyj0b_Q,error,error,error,error,error,error
FsBrCqozAFw,error,error,error,error,error,error
sP3BZUQBUZE,error,error,error,error,error,error
WClYPufq5ec,error,error,error,error,error,error
CHmv2qMLvgI,error,error,error,error,error,error
Th1N7aTROP8,error,error,error,error,error,error
nfQ7rTt_CXY,error,error,error,error,error,error
d0MN8pWL1s4,error,error,error,error,error,error
rsfwcuWi5ng,error,error,error,error,error,error
CvklePWnVMA,error,error,error,error,error,error
lfYgrishSwE,error,error,error,error,error,error
ro6sGkCNFC0,error,error,error,error,error,error
e_x1pICJZK0,error,error,error,error,error,error
wxqWqjc2F0E,error,error,error,error,error,error
SetuGVtO9xA,error,error,error,error,error,error
juNF1njjnuc,error,error,error,error,error,error
H53LhmxJho8,error,error,error,error,error,error
ncbzV6OWPss,error,error,error,error,error,error
nl_u4aZrh2I,error,error,error,error,error,error
5ktI-HVyN4Q,error,error,error,error,error,error
fxzuIQEFtY8,error,error,error,error,error,error
WvXHH7Jhg_Y,error,error,error,error,error,error
mO6jXJ-uebw,error,error,error,error,error,error
i4brxlyjUzM,error,error,error,error,error,error
z8_Ry6SsiC8,error,error,error,error,error,error
R_BJF5VVYuo,error,error,error,error,error,error
oIiWmnVvZLA,error,error,error,error,error,error
TuB7XKKe81c,error,error,error,error,error,error
8df6i1G9G0M,error,error,error,error,error,error
jax6yZsvAXQ,error,error,error,error,error,error
Zc_vqWE4Etc,error,error,error,error,error,error
SgPEwVYHsmE,error,error,error,error,error,error
DqGf5T7NAK4,error,error,error,error,error,error
f1Xxc-1PECE,error,error,error,error,error,error
aIJ0UTI9d9M,error,error,error,error,error,error
1xrlZgNlJU8,error,error,error,error,error,error
sfjSAEBhTIA,error,error,error,error,error,error
iJn-vvr271c,error,error,error,error,error,error
cwzUdpzGUtU,error,error,error,error,error,error
oN1e9_dXylc,error,error,error,error,error,error
JR2yw0dHX34,error,error,error,error,error,error
egLK1xGpqKk,error,error,error,error,error,error
gQoCw4PIsQ4,error,error,error,error,error,error
YQxSAOwOvoY,error,error,error,error,error,error
p_jqJe3fegk,error,error,error,error,error,error
JiihLNyQw3E,error,error,error,error,error,error
9YzY4Q_UPiU,error,error,error,error,error,error
-FSoN8IwdA4,error,error,error,error,error,error
qB7-Pe4cL0o,error,error,error,error,error,error
0ky2H9bA_y0,error,error,error,error,error,error
bEdWFRKYhGw,error,error,error,error,error,error
tMfvZcaZUOQ,error,error,error,error,error,error
t22eQdPJDtk,error,error,error,error,error,error
MmyUFnHw-Fk,error,error,error,error,error,error
YEi_Tg-181M,error,error,error,error,error,error
4ou19hOxKH8,error,error,error,error,error,error
682yLhEdrvA,error,error,error,error,error,error
26EDjKE2jTw,error,error,error,error,error,error
WZfQKU9xCMY,error,error,error,error,error,error
F8yyPrKB474,error,error,error,error,error,error
oV0C6LChBro,error,error,error,error,error,error
s_ObDnS9g5Y,error,error,error,error,error,error
_BaF9u7FPYM,error,error,error,error,error,error
n2dzwJtZHa8,error,error,error,error,error,error
HmswOS79AO4,error,error,error,error,error,error
FWKeiftK87U,error,error,error,error,error,error
-WvuL7DDGrc,error,error,error,error,error,error
2h0g2_QrfMk,error,error,error,error,error,error
-eVvhVQm5Co,error,error,error,error,error,error
O4Xa8mjxsm8,error,error,error,error,error,error
hJuzWiaZ41E,error,error,error,error,error,error
DifnsyFoygA,error,error,error,error,error,error
py1AJxbb9P8,error,error,error,error,error,error
Leh6o_Rc118,error,error,error,error,error,error
heWKRdZ2fKY,error,error,error,error,error,error
YIJn5HVT68E,error,error,error,error,error,error
e7KCMp8jUvU,error,error,error,error,error,error
ZjGxZeyfGI4,error,error,error,error,error,error
IJmD4sb-gF4,error,error,error,error,error,error
OumYlc4PUek,error,error,error,error,error,error
OUM1QIMWEfY,error,error,error,error,error,error
BZRtk8h2JFk,error,error,error,error,error,error
Z9T-XiddbBc,error,error,error,error,error,error
nfgYqAX604k,error,error,error,error,error,error
2UYtF0Yk750,error,error,error,error,error,error
v9F4RA7jmqA,error,error,error,error,error,error
QL4VvatAYUA,error,error,error,error,error,error
xYSZwLrfh7o,error,error,error,error,error,error
0pCTZV314N4,error,error,error,error,error,error
akgeTgmu_xk,error,error,error,error,error,error
6ifpGyPFs7o,error,error,error,error,error,error
pjLNSGGaJHU,error,error,error,error,error,error
oUkHQWorvGI,error,error,error,error,error,error
v9foUJheUIY,error,error,error,error,error,error
Sn-2VBBEmSo,error,error,error,error,error,error
69sKmuOpgzc,error,error,error,error,error,error
jh27HkvTsjo,error,error,error,error,error,error
ZtlR4ZRoJIo,error,error,error,error,error,error
GdUxMWJn9xw,error,error,error,error,error,error
hVl1mjd_e2s,error,error,error,error,error,error
FP_r_iWhkxU,error,error,error,error,error,error
eVYTqvjypbo,error,error,error,error,error,error
yVM32QBIjT8,error,error,error,error,error,error
1iwWrnO2tj4,error,error,error,error,error,error
XXx4TWEVNAs,error,error,error,error,error,error
6GD7s2hQTVI,error,error,error,error,error,error
20i9lV8Tl6Y,error,error,error,error,error,error
IgmhMQOBbv4,error,error,error,error,error,error
P8grJSGZ4z4,error,error,error,error,error,error
v11WX0cr4OM,error,error,error,error,error,error
LzxhCXOzqhY,error,error,error,error,error,error
Tcf2sNoZFBw,error,error,error,error,error,error
-XppN4OV4U0,error,error,error,error,error,error
VA_orzSqIeg,error,error,error,error,error,error
7vDYVr9bmQg,error,error,error,error,error,error
4jFSYj4sn9E,error,error,error,error,error,error
8a5BxPVOkec,error,error,error,error,error,error
iU8ugUzTmmQ,error,error,error,error,error,error
YMRq2Ux1u7U,error,error,error,error,error,error
bomHIQAD7lI,error,error,error,error,error,error
-NFKHKZtV9o,error,error,error,error,error,error
BmNuNWI3a1E,error,error,error,error,error,error
WlIhSoNUlBI,error,error,error,error,error,error
NC2I3_d7yqw,error,error,error,error,error,error
yYJtYh1L0K0,error,error,error,error,error,error
YvK5fuzb8V8,error,error,error,error,error,error
2VZUIqsYCac,error,error,error,error,error,error
