video_id,title,channel,youtube_url,view_count,model_exploitation_score,model_performative,model_emotional_bait,model_narrative_conflict,model_challenge_format,model_commercial_content,model_privacy_violation,annotator_performative_labor,annotator_emotional_bait,annotator_narrative_conflict,annotator_challenge_format,annotator_commercial_content,annotator_privacy_violation,annotator_overall_exploitative,annotator_notes
uDKMJKCvUCg,A for Adley THE MOViE!!  Daddy Daughter Date!  Dinosaur Park visit!  Cops vs Robbers prison escape!,aforadley,https://www.youtube.com/watch?v=uDKMJKCvUCg,43112347,1.0,1,0,1,0,0,0,,,,,,,,
5NCSLIRxO7o,NIGHT ROUTINE BEFORE TRAVELING ON AN INTERNATIONAL FLIGHT!!,annierose,https://www.youtube.com/watch?v=5NCSLIRxO7o,185015,0.325,0,0,0,0,0,0,,,,,,,,
_3HmV2xtgiU,Kidsongs: Country Sing Along,kidssongs,https://www.youtube.com/watch?v=_3HmV2xtgiU,590881,0.352,0,0,0,0,0,0,,,,,,,,
-emarHZ0GBY,"COPS COME TO FAMILY HOUSE, Instantly REGRET It | FamousTubeFamily",famoustubefamily,https://www.youtube.com/watch?v=-emarHZ0GBY,1941603,0.58,0,0,1,0,0,0,,,,,,,,
oUBEYfw62qI,Animal Rescue Adventure: Bear 🐻 Hippo 🦛 Peacock 🦚 Giraffe 🦒 | BabyBus Gameplay,babybus,https://www.youtube.com/watch?v=oUBEYfw62qI,13198,0.352,0,0,0,0,0,0,,,,,,,,
XhZpzNlN2uA,I MOVED OUT But My Parents DIDN'T WANT ME TO! | Txunamy,txunamy,https://www.youtube.com/watch?v=XhZpzNlN2uA,78533,0.58,0,0,1,0,0,0,,,,,,,,
xlQgJSC6H6s,unexpected DOCTORS visit...,brockandboston,https://www.youtube.com/watch?v=xlQgJSC6H6s,91509,0.203,0,0,0,0,0,1,,,,,,,,
KszjX8cshuk,🎄 Can Blippi Help Santa Deliver Presents at the Zoo?,blippi,https://www.youtube.com/watch?v=KszjX8cshuk,645753,0.352,0,0,0,0,0,0,,,,,,,,
KuSBysw7394,They cheated! Who knows her best!,meetthemillers,https://www.youtube.com/watch?v=KuSBysw7394,7048,0.58,0,0,1,0,0,0,,,,,,,,
xHdO5fkAYaE,Homeschooling Tips & Tricks (from a mom of 6!),ballingerfamily,https://www.youtube.com/watch?v=xHdO5fkAYaE,10342,0.995,0,0,0,0,0,0,,,,,,,,
mukGoZK7Eo8,Amanda the Adventurer IN OUR HOUSE After Midnight (ON A SCHOOL NIGHT!) (FGTeeV Gameplay),fgteev,https://www.youtube.com/watch?v=mukGoZK7Eo8,34891797,0.352,0,0,0,0,0,0,,,,,,,,
onjhTdnrgZE,Tinfoil Makeup Challenge! Girls Do Boys Makeup!,theadventurers,https://www.youtube.com/watch?v=onjhTdnrgZE,29555,1.0,1,0,0,1,0,0,,,,,,,,
TgEX-XG-G5c,Pregnancy Problems...LONGEST VLOG EVER!,smellybellytv,https://www.youtube.com/watch?v=TgEX-XG-G5c,967833,0.352,0,0,0,0,0,0,,,,,,,,
F34TdfRibLE,New Middle School Locker and School supplies!! Are they ready?!,meetthemillers,https://www.youtube.com/watch?v=F34TdfRibLE,13566,0.403,0,0,0,0,0,0,,,,,,,,
sS89FnQWwvA,Candle Blowing Challenge! Family Game Night!,thatyoutub3family,https://www.youtube.com/watch?v=sS89FnQWwvA,61677,1.0,1,0,0,1,0,0,,,,,,,,
JnJAxE7Fjoo,The Truth About Our Break Up...| Gavin Magnus,gavinmagnus,https://www.youtube.com/watch?v=JnJAxE7Fjoo,3146299,0.58,0,0,1,0,0,0,,,,,,,,
UauBCAPV-Hs,"24 HOUR CHALLENGE IN A MALL ft/Dance Moms Lilly, Maesi & Abby Lee",jordanmatter,https://www.youtube.com/watch?v=UauBCAPV-Hs,25690862,1.0,1,0,0,1,0,0,,,,,,,,
Ko-HTsEWROs,Toy Doctor Comes to the Super Duper Cool Carnival,tictactoy,https://www.youtube.com/watch?v=Ko-HTsEWROs,9158444,0.352,0,0,0,0,0,0,,,,,,,,
SsXbFbGZo4o,Gummy Pizza and Giant Gummy Bear | Candy Review,karinakurzawa,https://www.youtube.com/watch?v=SsXbFbGZo4o,294933,0.298,0,0,0,0,1,0,,,,,,,,
IOfJN7BsWXY,TIKTOK in a Mexican Household,crazygorilla,https://www.youtube.com/watch?v=IOfJN7BsWXY,5644085,0.352,0,0,0,0,0,0,,,,,,,,
CzQXdL1OH_I,in depth makeup tutorial !!,hayleyleblanc,https://www.youtube.com/watch?v=CzQXdL1OH_I,45204,0.352,0,0,0,0,0,0,,,,,,,,
CrrVeRKPeJo,Getting Killed on Fortnite (WK 404.3) | Bratayley,bratayley,https://www.youtube.com/watch?v=CrrVeRKPeJo,334134,0.352,0,0,0,0,0,0,,,,,,,,
FPJp4SphhGs,OUR KITCHEN CAUGHT ON FIRE (caught on camera),jesssfam,https://www.youtube.com/watch?v=FPJp4SphhGs,105164,0.255,0,0,0,0,0,0,,,,,,,,
akaggJjabBk,Venturing Into the Snow... The Unexpected Results Will Shock You!,meetthemillers,https://www.youtube.com/watch?v=akaggJjabBk,7730,0.352,0,0,0,0,0,0,,,,,,,,
tDNlDr2YEZo,Twinkle Twinkle Little Star,kidssongs,https://www.youtube.com/watch?v=tDNlDr2YEZo,8193,0.352,0,0,0,0,0,0,,,,,,,,
D-lxMr5YAz4,FIXING THIS SLYME WITH ONLY 3 INGREDIENTS | We Are The Davises,wearethedavises,https://www.youtube.com/watch?v=D-lxMr5YAz4,3167052,0.325,0,0,0,0,0,0,,,,,,,,
gO6zCoFk_o8,BEST FRIEND TELEPATHY CHALLENGE #shorts,jordanmatter,https://www.youtube.com/watch?v=gO6zCoFk_o8,145725675,1.0,1,0,0,1,0,0,,,,,,,,
aOyjz1rW2a4,TRAPPED in a CLAW MACHINE!,shotofyeagers,https://www.youtube.com/watch?v=aOyjz1rW2a4,950052,1.0,1,0,0,1,0,0,,,,,,,,
DDozykpZqck,ROBLOX's SPIDER PIGGY the GOOD GUY?  Draw a Stickman EPIC 3 Part 1 (FGTeeV Gaming),fgteev,https://www.youtube.com/watch?v=DDozykpZqck,6934493,0.406,0,0,0,0,0,0,,,,,,,,
bShgFoIwUrE,My Daughters Got KICKED Out Of School Today!,yawivlogs,https://www.youtube.com/watch?v=bShgFoIwUrE,52460,0.166,0,1,0,0,0,0,,,,,,,,
tJJ-r6UdScU,"Sardines, Hide And Seek, Infection Tag! @Shot of The Yeagers",theadventurers,https://www.youtube.com/watch?v=tJJ-r6UdScU,53036,1.0,1,0,0,0,0,0,,,,,,,,
LIjtCREBAUk,Among Us IRL In Our Box Fort Movie!,thatyoutub3family,https://www.youtube.com/watch?v=LIjtCREBAUk,855275,1.0,1,0,0,0,0,0,,,,,,,,
nDUlindEqDA,We Rescued a Family of Puppies & Kitties from Abandoned Storm Drain!!! Game Master Caught on Camera!,trinityandbeyond,https://www.youtube.com/watch?v=nDUlindEqDA,10071540,0.299,0,0,0,0,0,0,,,,,,,,
Sf8u062xdbw,Nastya learns to sleep alone,likenastya,https://www.youtube.com/watch?v=Sf8u062xdbw,227582955,0.352,0,0,0,0,0,0,,,,,,,,
YBk4FgzLnzY,My Daughter Survives EVERY JOB at SCHOOL,jordanmatter,https://www.youtube.com/watch?v=YBk4FgzLnzY,24577469,0.352,0,0,0,0,0,0,,,,,,,,
OfA0YMHPW7E,20 Confessions You Didn't Know About Shae & Wyatt!,ohanaboys,https://www.youtube.com/watch?v=OfA0YMHPW7E,65489,0.203,0,0,0,0,0,1,,,,,,,,
lf04MAsuFtY,FALLING DOWN THE STAIRS PRANK ON BOYFRIEND **CUTE REACTION**🤕💕 |Piper Rockelle,piperrockelle,https://www.youtube.com/watch?v=lf04MAsuFtY,4557403,1.0,1,1,1,0,0,0,,,,,,,,
r5K-UVvj5mM,Chris learns how to recycle and develops creativity,vladandniki,https://www.youtube.com/watch?v=r5K-UVvj5mM,634085462,0.352,0,0,0,0,0,0,,,,,,,,
t3JNnVE6c7I,"Pharrell ""Happy"" PARODY Crapping ~ Rucka Rucka Ali",itsrucka,https://www.youtube.com/watch?v=t3JNnVE6c7I,4905481,0.352,0,0,0,0,0,0,,,,,,,,
TVc_h8gOs88,Strange Happenings at the Toy Cafe,tictactoy,https://www.youtube.com/watch?v=TVc_h8gOs88,11881604,0.352,0,0,0,0,0,0,,,,,,,,
gGFPGiOUsg8,CLICK TO SMILE! 😃 😁,meetthemillers,https://www.youtube.com/watch?v=gGFPGiOUsg8,7177,0.325,0,0,0,0,0,0,,,,,,,,
PwX3y3iboNk,PARENTING MISTAKE! (9.25.13 - Day 243),dailybumps,https://www.youtube.com/watch?v=PwX3y3iboNk,127444,0.352,0,0,0,0,0,0,,,,,,,,
3iBSD78ioVQ,BABY CHECK UP!! SHOWING MY KIDS OUR FIRST ULTRASOUND!!,smellybellytv,https://www.youtube.com/watch?v=3iBSD78ioVQ,151657,0.219,0,0,0,0,0,1,,,,,,,,
dJeOOD0Q4GU,WHAT IF YOU GOT A SECRET HOLIDAY SLIME KIT?!🎁🎄 | We Are The Davises,wearethedavises,https://www.youtube.com/watch?v=dJeOOD0Q4GU,313960,0.352,0,0,0,0,0,0,,,,,,,,
zdpywzLxQ-4,Trying Krispy Kreme Scooby Doo Mystery Doughnuts,jacyandkacy,https://www.youtube.com/watch?v=zdpywzLxQ-4,140073,0.332,0,0,0,0,0,0,,,,,,,,
jyjx4TzAtaM,Mom Plays FIVE NIGHTS AT FREDDYS VR!! *Bad Idea*,ehbee,https://www.youtube.com/watch?v=jyjx4TzAtaM,993968,0.352,0,0,0,0,0,0,,,,,,,,
pfk3fNKZUBs,Testing VIRAL TikTok SUMMER Life Hacks CHALLENGE **SHOCKING RESULTS** 💯👙| Sawyer Sharbino,sawyersharbino,https://www.youtube.com/watch?v=pfk3fNKZUBs,824884,1.0,1,1,0,1,0,0,,,,,,,,
WgZPVssy-8k,"""DON'T TOUCH IT"" CHALLENGE *do they cheat?* | Family Fizz",familyfizz,https://www.youtube.com/watch?v=WgZPVssy-8k,1199795,1.0,1,0,1,1,0,0,,,,,,,,
OgwQuu0Bgw8,NASTY TO NICE CHALLENGE | We Are The Davises,wearethedavises,https://www.youtube.com/watch?v=OgwQuu0Bgw8,3092007,1.0,1,0,0,1,0,0,,,,,,,,
UcGrnLDfs4E,Annie Annie Over Game,thatyoutub3family,https://www.youtube.com/watch?v=UcGrnLDfs4E,119245,0.352,0,0,0,0,0,0,,,,,,,,
OG4Zr1ydtmo,2024 Summer Drink Competition!,theadventurers,https://www.youtube.com/watch?v=OG4Zr1ydtmo,37164,1.0,1,0,0,1,0,0,,,,,,,,
uxJs7N51BmQ,EMOTIONAL PHOTOSHOOT FOR DANCER WITH CANCER,jordanmatter,https://www.youtube.com/watch?v=uxJs7N51BmQ,7895277,0.218,0,1,0,0,0,0,,,,,,,,
FF5hRg3pJLo,Adley’s HAiR SALON and SPA 🛁  Dad gets a Makeover!! Niko’s new Spider Man haircut from cartoon Mom!,aforadley,https://www.youtube.com/watch?v=FF5hRg3pJLo,23086700,0.403,0,0,0,0,0,0,,,,,,,,
JNIRrXAGHpA,Mom teaches Diana how to become a Superstar,kidsdianashow,https://www.youtube.com/watch?v=JNIRrXAGHpA,8036802,0.352,0,0,0,0,0,0,,,,,,,,
WPM695Or5Cs,Pirates VS Dinosaurs! Dino Island!,ninjakidztv,https://www.youtube.com/watch?v=WPM695Or5Cs,12382723,1.0,0,0,0,0,0,0,,,,,,,,
SwXA_w11wxM,What Makes Hot Air Balloons Rise? 🎈 Blippi Explores Science! | Educational Videos for Kids,blippi,https://www.youtube.com/watch?v=SwXA_w11wxM,569923,0.352,0,0,0,0,0,0,,,,,,,,
pD4PSSCKCOw,Surprising Random Fans With a SHOPPING SPREE!,royaltyfamily,https://www.youtube.com/watch?v=pD4PSSCKCOw,2078573,0.298,0,0,0,0,1,0,,,,,,,,
JBcG75_yClI,"ABC, Shapes & Numbers! Fun Learning Challenges for Kids",kidsdianashow,https://www.youtube.com/watch?v=JBcG75_yClI,2190183,1.0,0,0,0,0,0,0,,,,,,,,
8Jlj9M3LMCE,Making a Make Up Room - Day 88,thesacconejolys,https://www.youtube.com/watch?v=8Jlj9M3LMCE,19322,0.352,0,0,0,0,0,0,,,,,,,,
99mSInuVLAA,What's the TRUTH? Why Isn't My Dad In My Life? - Episode 7,thebramfam,https://www.youtube.com/watch?v=99mSInuVLAA,542225,0.352,0,0,0,0,0,0,,,,,,,,
GBkQqU65bj8,End Of Summer *MYSTERY* LUNCH TAKEOVER & NO BUDGET CHALLENGE!,familyfudge,https://www.youtube.com/watch?v=GBkQqU65bj8,2287868,1.0,1,0,0,1,0,0,,,,,,,,
2jD_WuTQPEU,Don't Open the Wrong Present! (Creepy Christmas Finale!),theskorys,https://www.youtube.com/watch?v=2jD_WuTQPEU,475588,0.352,0,0,0,0,0,0,,,,,,,,
Eizm06OaGds,"Gavin Magnus, Mackenzie Sol - ""I Say Love"" (Official Music Video)",gavinmagnus,https://www.youtube.com/watch?v=Eizm06OaGds,2075958,0.352,0,0,0,0,0,0,,,,,,,,
_RH60m8drc0,World's Biggest Box Fort,familyfunpack,https://www.youtube.com/watch?v=_RH60m8drc0,15024202,0.406,0,0,0,0,0,0,,,,,,,,
U-uPkr6y9oE,Having my Girlfriend HIT ON ME To See How My BOYFRIEND REACTS **Awkward Prank**🌈🔥| Piper Rockelle,piperrockellesquad,https://www.youtube.com/watch?v=U-uPkr6y9oE,2600120,1.0,1,0,1,0,0,0,,,,,,,,
lnuOwCiYT00,Funny Things You Learn in School | Brent Rivera,brentrivera,https://www.youtube.com/watch?v=lnuOwCiYT00,4448199,0.352,0,0,0,0,0,0,,,,,,,,
d8oXtsI9ofc,👩‍🍳World Cup Baking Challenge🏆,jhousevlogs,https://www.youtube.com/watch?v=d8oXtsI9ofc,233549,1.0,1,0,0,1,0,0,,,,,,,,
6HmJHQ2Y9Gc,ELLE FOUND THE DIAMOND PLAY BUTTON!!! **OMG IT'S REAL**,acefamily,https://www.youtube.com/watch?v=6HmJHQ2Y9Gc,5256868,0.257,0,1,0,0,0,0,,,,,,,,
Fa_gMnuZYSg,Forgetting My Best Friends Birthday then SURPRISING Her With This **SHE CRIED**💔| Piper Rockelle,piperrockelle,https://www.youtube.com/watch?v=Fa_gMnuZYSg,5923122,0.086,0,1,0,0,0,0,,,,,,,,
sQfnCLIgzew,We built a SECRET trampoline park!!,brentrivera,https://www.youtube.com/watch?v=sQfnCLIgzew,3098566,0.352,0,0,0,0,0,0,,,,,,,,
pwcZRuA3Dqw,JOLLY RANCHER BRACES!!,tannerites,https://www.youtube.com/watch?v=pwcZRuA3Dqw,1146928,0.325,0,0,0,0,0,0,,,,,,,,
84T_HgwjgIQ,Jason and Alex Play Detective in Story about Gold Safe,jasonvlogs,https://www.youtube.com/watch?v=84T_HgwjgIQ,8913588,1.0,1,0,0,0,0,0,,,,,,,,
fLBK8ul3rpo,Happy Birthday!,jhousevlogs,https://www.youtube.com/watch?v=fLBK8ul3rpo,284215,0.219,0,0,0,0,0,0,,,,,,,,
0puB-kC3yBo,Blippi and David Chang's Pizza Challenge! 🍕,blippi,https://www.youtube.com/watch?v=0puB-kC3yBo,256924,1.0,1,0,0,1,0,0,,,,,,,,
1B_lsgIGURk,My BOYFRIENDS Do My Back To School SHOPPING Challenge **WINNER GETS A KISS**💋 | Piper Rockelle,piperrockelle,https://www.youtube.com/watch?v=1B_lsgIGURk,1724681,1.0,1,0,0,1,1,0,,,,,,,,
uSA_veTETpw,Her first street act made her cry… | Family Fizz,familyfizz,https://www.youtube.com/watch?v=uSA_veTETpw,486657,0.239,0,1,0,0,0,0,,,,,,,,
Z487Ix9ClKs,Kids Win BIG at the Super Cool Toy Carnival,tictactoy,https://www.youtube.com/watch?v=Z487Ix9ClKs,10159236,0.352,0,0,0,0,0,0,,,,,,,,
mPLtQ_23YbM,THE NEIGHBOR STOLE OUR FAN MAIL! | HELLO NEIGHBOR REAL LIFE | We Are The Davises,wearethedavises,https://www.youtube.com/watch?v=mPLtQ_23YbM,909765,0.759,0,0,1,0,0,0,,,,,,,,
94VwL6OS3C4,He wrecked the trailer,meetthemillers,https://www.youtube.com/watch?v=94VwL6OS3C4,7050,0.58,0,0,1,0,0,0,,,,,,,,
rT0RDUIXxJA,SAYING GOODBYE IS HARD | THE LEROYS,theleray,https://www.youtube.com/watch?v=rT0RDUIXxJA,206881,0.218,0,1,0,0,0,0,,,,,,,,
hD2_yS7PJj8,BACK to SCHOOL MAKEOVERS!,shotofyeagers,https://www.youtube.com/watch?v=hD2_yS7PJj8,94387,0.325,0,0,0,0,0,0,,,,,,,,
Q2hSLkr3Xdo,UNBREAKABLE DUCT TAPE FORT!! (100 LAYERS),itsyeboi,https://www.youtube.com/watch?v=Q2hSLkr3Xdo,1131997,1.0,1,0,0,0,0,0,,,,,,,,
norrDMAcHbg,Try To Squeeze In Challenge!,theadventurers,https://www.youtube.com/watch?v=norrDMAcHbg,41933,1.0,1,0,0,1,0,0,,,,,,,,
HCP2UpwIdw0,Manila Meet & Greet 2024! - @itsJudysLife,itsjudyslife,https://www.youtube.com/watch?v=HCP2UpwIdw0,144370,0.352,0,0,0,0,0,0,,,,,,,,
YSkH5LuqFmI,STRONGEST sibling! Bro vs SISTERS  *SHOCKING*,ohanaboys,https://www.youtube.com/watch?v=YSkH5LuqFmI,34159,1.0,1,1,1,0,0,0,,,,,,,,
hxXoo_xnDno,Surviving the World's Strictest Brother!,theskorys,https://www.youtube.com/watch?v=hxXoo_xnDno,37236,0.58,0,0,1,0,0,0,,,,,,,,
iXpJ2PVe0B4,SAYING GOODBYE TO MY BEST FRIEND | THE LEROYS,theleray,https://www.youtube.com/watch?v=iXpJ2PVe0B4,252504,0.218,0,1,0,0,0,0,,,,,,,,
I_rV3nUEp58,WE BROKE THE WORLD RECORD!,thesacconejolys,https://www.youtube.com/watch?v=I_rV3nUEp58,388932,0.233,0,0,0,0,0,0,,,,,,,,
Sv63JTlvFYs,I may have a problem #shorts,theleray,https://www.youtube.com/watch?v=Sv63JTlvFYs,198583,0.352,0,0,0,0,0,0,,,,,,,,
GwLLA6bWh6s,"Animal Rescue Mission: Heal, Feed & Create Cozy Homes for Little Friends! 🐒🐘 | BabyBus Game",babybus,https://www.youtube.com/watch?v=GwLLA6bWh6s,21178,0.298,0,0,0,0,1,0,,,,,,,,
AwQKWpYxWWk,Jordyn Jones NUVO Freestyle Battle.avi,jordynjones,https://www.youtube.com/watch?v=AwQKWpYxWWk,19307,1.0,1,0,0,0,0,0,,,,,,,,
rpqoMuC3jTY,Playing SQUID GAME in REAL LIFE (Part 2),famoustubefamily,https://www.youtube.com/watch?v=rpqoMuC3jTY,1491690,1.0,1,0,0,1,0,0,,,,,,,,
vSJNPnq7jWU,"Life Update Q&A - College Life, Starting A Small Business, Relationships, Friendships",jacyandkacy,https://www.youtube.com/watch?v=vSJNPnq7jWU,36102,0.352,0,0,0,0,0,0,,,,,,,,
_D7eXiDHzaY,REACTING TO NOSTALGIC ONYX KIDS VIDEOS!,onyxfamily,https://www.youtube.com/watch?v=_D7eXiDHzaY,17674,0.306,0,0,0,0,0,0,,,,,,,,
Nc8m8DZM05w,Fortnite Battle Bus CRASHES at Birthday Party! 💥,dailybumps,https://www.youtube.com/watch?v=Nc8m8DZM05w,1207245,0.219,0,0,0,0,0,0,,,,,,,,
vKzRjWGx9Jk,OLLIE’S FIRST SINGING LESSON! 🎶,dailybumps,https://www.youtube.com/watch?v=vKzRjWGx9Jk,149719,1.0,1,0,0,0,0,0,,,,,,,,
S_p7QdtvpOA,The Mashin' MAX game for kids with Egg Surprise Toys,ryansworld,https://www.youtube.com/watch?v=S_p7QdtvpOA,32305664,0.298,0,0,0,0,1,0,,,,,,,,
Bd6BtBe5qpg,IT'S A MESS!,kkandbabyj,https://www.youtube.com/watch?v=Bd6BtBe5qpg,263706,0.325,0,0,0,0,0,0,,,,,,,,
fqi7bYBFjUY,BOY CUTS SISTER'S HAIR OFF!! ✂,tannerites,https://www.youtube.com/watch?v=fqi7bYBFjUY,1193230,0.415,0,1,1,0,0,0,,,,,,,,
i9Dww1O6ci4,THE ORB | Mexican Survival Guide,crazygorilla,https://www.youtube.com/watch?v=i9Dww1O6ci4,5784844,0.352,0,0,0,0,0,0,,,,,,,,
HfEMHGeUSIQ,LAST TO LEAVE THE WATERPARK wins $1000 w/Norris Nuts,norrisnuts,https://www.youtube.com/watch?v=HfEMHGeUSIQ,3980441,1.0,1,0,0,1,0,0,,,,,,,,
bi0YIRWRyxM,PRANKING YOUTUBERS BY DROPPING FAKE BABY!! Playlist 2017,rebeccazamolo,https://www.youtube.com/watch?v=bi0YIRWRyxM,1413523,1.0,1,0,0,0,0,0,,,,,,,,
wWPE1JPqn5M,What’s Going On With Piper & Lev Cameron?!,gavinmagnus,https://www.youtube.com/watch?v=wWPE1JPqn5M,267027,0.239,0,1,0,0,0,0,,,,,,,,
Yb6gXRfjv5o,Teaching our mom to do a Back Flip! She Can’t say NO!,ninjakidztv,https://www.youtube.com/watch?v=Yb6gXRfjv5o,21787241,1.0,1,0,0,0,0,0,,,,,,,,
Unv5GV833QY,HUNTING Leprechaun’s To STEAL GOLD! 🌈💰 Extreme Tag!,funsquadfamily,https://www.youtube.com/watch?v=Unv5GV833QY,268324,1.0,1,0,0,1,0,0,,,,,,,,
L_--Q-jJX4I,Trav and Cor OFFICIAL NEW HOUSE TOUR!!,tydustalbott,https://www.youtube.com/watch?v=L_--Q-jJX4I,9307150,0.352,0,0,0,0,0,0,,,,,,,,
5awqB6_5YMQ,🏝🎁LUAU Birthday PARTY🎂🏝,jhousevlogs,https://www.youtube.com/watch?v=5awqB6_5YMQ,1208905,0.219,0,0,0,0,0,0,,,,,,,,
EaELY74mfXg,I WENT TO THE EMERGENCY ROOM🚑🚨,piersonwodzynski,https://www.youtube.com/watch?v=EaELY74mfXg,15433515,0.125,0,0,0,0,0,1,,,,,,,,
e5NJc1ue-zQ,"Bad Elf on a Shelf filled our room with presents Christmas Prank! Opening up 1,000 Mystery Boxes!",theskorys,https://www.youtube.com/watch?v=e5NJc1ue-zQ,771092,1.0,1,0,0,0,0,0,,,,,,,,
znX2qx1cj74,Betting On Mystery Food Boxes! Food Challenge!,thatyoutub3family,https://www.youtube.com/watch?v=znX2qx1cj74,230883,1.0,1,0,0,1,0,0,,,,,,,,
x9tnUNrTJM0,ADDING TOO MUCH INGREDIENTS INTO SLIME!,lifewithbrothers,https://www.youtube.com/watch?v=x9tnUNrTJM0,104090,0.325,0,0,0,0,0,0,,,,,,,,
M4mYQfIO_yc,Help Us Choose Our Birthday Dress! 👗(We Can't Decide!),mccluretwins,https://www.youtube.com/watch?v=M4mYQfIO_yc,356056,0.235,0,0,0,0,0,0,,,,,,,,
ranDPWu6g7M,Level 2 Gymnast | Meet 3 | elleoNyaH,hayleyleblanc,https://www.youtube.com/watch?v=ranDPWu6g7M,435539,0.352,0,0,0,0,0,0,,,,,,,,
kB9bZ3Ng0LU,Kids vs Pirates! Search for Treasure X!,ninjakidztv,https://www.youtube.com/watch?v=kB9bZ3Ng0LU,66916414,1.0,1,0,1,0,0,0,,,,,,,,
7YOrJJgY5PE,California Snow Day in World's Biggest Igloo!!!,trinityandbeyond,https://www.youtube.com/watch?v=7YOrJJgY5PE,1229037,0.305,0,0,0,0,0,0,,,,,,,,
THcrjkmSrtc,"Help Me, You Dummy! (WK 193) | Bratayley",bratayley,https://www.youtube.com/watch?v=THcrjkmSrtc,416095,0.58,0,0,1,0,0,0,,,,,,,,
On4RqY-tHjE,Rudolph The Red-Nosed Reindeer | Kids Christmas Songs | Kidsongs,kidssongs,https://www.youtube.com/watch?v=On4RqY-tHjE,267964,0.352,0,0,0,0,0,0,,,,,,,,
jDVezjlI6NM,"HUGE SPRING TRY ON CLOTHING HAUL- Amazon, Walmart, TJMaxx, & Thrifting Haul",jacyandkacy,https://www.youtube.com/watch?v=jDVezjlI6NM,52003,0.298,0,0,0,0,1,0,,,,,,,,
