id,title,publishedAt,channelId,viewCount,channel_short_name
mI6ysZt8xOg,BABY VS LEMON,2017-02-24T19:52:05Z,UCWwWOFsW68TqXE-HZLC3WIA,9999265,acefamily
wg2WRKEkI7w,SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,2020-12-22T00:00:43Z,UCWwWOFsW68TqXE-HZLC3WIA,3427462,acefamily
nRbuVaOlUhE,ELLE IS NOW MODELING!!!,2017-03-22T02:00:53Z,UCWwWOFsW68TqXE-HZLC3WIA,3813596,acefamily
oSQfrreuXRg,ELLE'S 4TH BIRTHDAY PARTY SPECIAL!,2020-05-29T00:17:25Z,UCWwWOFsW68TqXE-HZLC3WIA,9464160,acefamily
YhboA2oo8pw,TRANSFORMING MY SON INTO ME FOR THE DAY!!! **HILARIOUS FAMILY REACTION**,2021-04-17T19:06:52Z,UCWwWOFsW68TqXE-HZLC3WIA,3802273,acefamily
ey_yThwa9zs,THE ACE FAMILY CHRISTMAS SPECIAL 2022!!! **GOING TO DUBAI**,2022-12-28T02:59:18Z,UCWwWOFsW68TqXE-HZLC3WIA,995334,acefamily
kLCfnBuNS3w,THE ACE FAMILY BABY MOMMA DANCE! (TRYING TO GO INTO LABOR),2020-06-10T23:42:50Z,UCWwWOFsW68TqXE-HZLC3WIA,6764522,acefamily
uhZOUY3Magw,WHAT REALLY HAPPENED IN DUBAI...,2023-01-21T19:25:08Z,UCWwWOFsW68TqXE-HZLC3WIA,787279,acefamily
JQZLV4qJ0yo,HE'S FINALLY HERE...EVERYONE MEET OUR BABY BOY!!!,2020-06-25T23:05:06Z,UCWwWOFsW68TqXE-HZLC3WIA,11390776,acefamily
8W_Nn_qP5uQ,FAINTING IN FRONT OF MY KIDS TO SEE WHAT THEY DO...,2022-12-10T04:30:15Z,UCWwWOFsW68TqXE-HZLC3WIA,730165,acefamily
v3xtQ0nbY2w,SHHH DON'T TELL AUSTIN I DID THIS...I CUT MY HAIR!!!,2018-05-12T18:29:07Z,UCWwWOFsW68TqXE-HZLC3WIA,8819742,acefamily
6YY0JpSzYAk,BUYING GIRLFRIEND HER DREAM WEDDING RING!!!,2017-08-24T22:41:48Z,UCWwWOFsW68TqXE-HZLC3WIA,3981080,acefamily
G9gjDYJg-nQ,WE WILL NEVER FORGET THIS DAY!!! **CAUGHT ON CAMERA**,2019-09-24T01:59:09Z,UCWwWOFsW68TqXE-HZLC3WIA,9026010,acefamily
zlmULk44Dts,THIS IS WHY WE DON'T POST EVERYDAY...,2017-11-30T23:42:07Z,UCWwWOFsW68TqXE-HZLC3WIA,5586089,acefamily
dveXcjyVU2Q,INTRODUCING POTTY TRAINING!!!,2017-05-11T23:50:01Z,UCWwWOFsW68TqXE-HZLC3WIA,6583079,acefamily
Z42Gp7B_jRg,AUSTIN AND ELLE RATE MY HALLOWEEN COSTUMES!!!,2019-10-26T19:26:24Z,UCWwWOFsW68TqXE-HZLC3WIA,8197824,acefamily
W-QON2P6Rcs,NURSING IN THE POOL!!!,2017-06-17T22:55:25Z,UCWwWOFsW68TqXE-HZLC3WIA,13435518,acefamily
kcjWmj5sriM,"THAT'S IT, IM LEAVING...",2022-06-14T00:22:55Z,UCWwWOFsW68TqXE-HZLC3WIA,1581169,acefamily
GBnDOueMKJ0,TELLING MY DAD I'M PREGNANT WITH BABY #4!!!,2021-04-29T02:03:31Z,UCWwWOFsW68TqXE-HZLC3WIA,4404146,acefamily
lKs1gc1zvow,YOU WON'T BELIEVE WHAT HAPPENED TO AUSTIN...,2017-12-30T03:42:01Z,UCWwWOFsW68TqXE-HZLC3WIA,4649297,acefamily
GoTK7rrL5lk,ELLE MEETS THE GIRAFFE...AND SHE FREAKS OUT!!! (SORRY ELLE),2018-06-08T02:00:03Z,UCWwWOFsW68TqXE-HZLC3WIA,5043771,acefamily
fzVUrWC3cyY,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,2018-07-03T02:00:05Z,UCWwWOFsW68TqXE-HZLC3WIA,12878498,acefamily
TtSVsRHHWj0,Recreating VIRAL TikTok challenge...,2020-07-25T21:00:52Z,UCWwWOFsW68TqXE-HZLC3WIA,3836502,acefamily
qQUQuDGZs90,ELLE GETS STUCK IN 1 MILLION MARSHMALLOWS!!! (INSANE MARSHMALLOW POOL),2018-04-06T22:02:24Z,UCWwWOFsW68TqXE-HZLC3WIA,6984826,acefamily
KRkBFhPMC14,GOING BACK TO THE OLD ACE FAMILY HOUSE!!!,2018-09-14T04:45:33Z,UCWwWOFsW68TqXE-HZLC3WIA,8118931,acefamily
4kCvdON9XjQ,TERRIFYING REAL TARANTULA PRANK ON GIRLFRIEND!!!,2017-04-30T20:47:46Z,UCWwWOFsW68TqXE-HZLC3WIA,17756345,acefamily
0fa1kA5bnW4,OUR NEW FAMILY BUSINESS...,2020-08-01T19:43:30Z,UCWwWOFsW68TqXE-HZLC3WIA,4353807,acefamily
pTmr8CzlT6k,THE TRUTH BEHIND OUR NEW BABY'S NAME!!!,2018-08-11T23:00:06Z,UCWwWOFsW68TqXE-HZLC3WIA,7148578,acefamily
CelXHX7CG0I,ELLE REACTING TO HER BIRTH VIDEO!!! (THIS BABY IS HILARIOUS),2017-12-15T00:10:26Z,UCWwWOFsW68TqXE-HZLC3WIA,9457802,acefamily
buDUHXHTvrM,ELLE TRANSFORMS INTO WEDNESDAY **VIRAL NETFLIX SHOW**,2022-12-15T04:21:56Z,UCWwWOFsW68TqXE-HZLC3WIA,489756,acefamily
SXGVQiFFdQ4,10 MILLION ACE FAMILY MEMBERS!!! **SECRET SURPRISE**,2018-07-24T02:00:01Z,UCWwWOFsW68TqXE-HZLC3WIA,4860193,acefamily
6E0z3HfPNug,"GIVING 1,000 DOLLARS TO WORKERS!!! (THEY WERE IN SHOCK)",2017-03-01T03:47:46Z,UCWwWOFsW68TqXE-HZLC3WIA,1871112,acefamily
tL5n51oCBqs,PREPARING FOR A HOME WATER BIRTH!!!,2018-09-15T22:29:55Z,UCWwWOFsW68TqXE-HZLC3WIA,24737450,acefamily
NAdcqajcvtU,MEET THE NEW ACE FAMILY'S CHEF!!!,2019-04-04T02:00:04Z,UCWwWOFsW68TqXE-HZLC3WIA,6601854,acefamily
6HmJHQ2Y9Gc,ELLE FOUND THE DIAMOND PLAY BUTTON!!! **OMG IT'S REAL**,2018-08-10T02:00:01Z,UCWwWOFsW68TqXE-HZLC3WIA,5256868,acefamily
f16wIBp_uFc,1 YEAR OLD BABY SURPRISES MOMMY WITH A GIFT!!!,2017-07-22T20:15:05Z,UCWwWOFsW68TqXE-HZLC3WIA,4496218,acefamily
J7QOYgODhOw,HILARIOUS DANCE CLASS WITH 1 YEAR OLD BABY!!!,2017-11-02T23:49:02Z,UCWwWOFsW68TqXE-HZLC3WIA,10215750,acefamily
UYf70kCpRRE,HOUSE HUNTING!!!,2017-06-29T21:27:14Z,UCWwWOFsW68TqXE-HZLC3WIA,2243158,acefamily
Qc9yiDQmTsI,I DROPPED THE BABY... *SORRY CATHERINE*,2020-10-31T19:51:44Z,UCWwWOFsW68TqXE-HZLC3WIA,5083635,acefamily
v_9jZ8R9VRA,LAST DAY AT THE ACE FAMILY HOUSE! **BYE FOREVER**,2021-12-02T02:51:41Z,UCWwWOFsW68TqXE-HZLC3WIA,3156669,acefamily
1c5i-pVP94c,TELLING MY BOYFRIEND IM GETTING DEPORTED PRANK!!!,2017-06-12T00:43:43Z,UCWwWOFsW68TqXE-HZLC3WIA,8413892,acefamily
LMv0GBijapg,PO BOX MAIL OPENING,2017-03-17T00:17:22Z,UCWwWOFsW68TqXE-HZLC3WIA,2865434,acefamily
SGZWVGSTyS8,WE ARE SORRY!!!,2017-01-03T23:33:20Z,UCWwWOFsW68TqXE-HZLC3WIA,1165702,acefamily
XwlkBYxJFNI,SURPRISING CATHERINE WITH A NEW CAR!!! **EMOTIONAL**,2018-08-31T02:00:05Z,UCWwWOFsW68TqXE-HZLC3WIA,10447996,acefamily
f5wnRAnZv_4,THEY DID NOT EXPECT THE REAL EASTERN BUNNY TO SHOW UP...,2021-04-07T22:58:06Z,UCWwWOFsW68TqXE-HZLC3WIA,2208086,acefamily
kZay_dYns9s,🌷 DADDY DAUGHTER DATE 🌷  Adley & Navey Spa Day with Dad! Niko Bear and Mom play games at the Arcade,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,25290191,aforadley
6TZ2wKrbfvs,ADLEY the PET DOCTOR!!  Animal Neighborhood with Niko & Dad! neighbor won't wake up morning routine,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,46649282,aforadley
eSapRl5DueE,"MOM and NiKO crazy ARCADE DATE!!  Laser Tag, Riding a Race Kart, giggle icecream, new family cartoon",2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,1036456,aforadley
IR_FwCnqd9Q,SORRY DAD!!  Surprise HAIRCUT from Adley and Mom! Spa inside our House & Manicure Makeover✂️💅🏻,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,34439468,aforadley
gLXo0ioDhU0,SNAKE in the HOUSE!!  a Temporary Family Pet we Learned from then Niko Released at PiRATE iSLAND,5 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,1003726,aforadley
lP5d1OmuJNg,"6,000,000 FRiENDS Neighborhood Party!! Adley Finds a crazy Navey Baby! Dad Won't Wakeup! Niko & Bugs",2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,5761735,aforadley
0j-AsHW38XE,MAGiC FASHiON SHOW!!  Adley designs Barbie clothes with Mom for the new Fashion Planet runway!,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,5557431,aforadley
aJmE9jUarF0,RAiNBOW SLiME CHALLENGE with NAVEY!!  Crazy Colors on Surprise Spin Wheel! crazy glitter & ghosts,3 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,531878,aforadley
54k4ET6ZynA,SKATE TRiCKS with Adley & Niko!! we made Skateboards for YOU!  shred sesh in the backyard skate park,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,8944759,aforadley
LVVZJ8kbbC0,ADLEY is a UNiCORN and NiKO is a BEAR!! Kids Face Paint Makeover at Disney World Animal Kingdom Park,6 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,27530329,aforadley
Hbv5X9z6xn4,HOW to PAiNT a BiRD HOUSE!! Adley finds Hidden Baby Robin Eggs in the Backyard! Crafts with Niko!,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,25680335,aforadley
2hMr0vlc9Hk,LEGO FORTNiTE with Adley & Niko!!  DAY 1 of Family Survival - Finding Secrets we Learn how to Build,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,4894169,aforadley
9bKMcR0m77g,🌋 DADDY DAUGHTER DATE 🌋 Lava Monster with Adley and Navey playing at the Duck Park then icecream,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,6517052,aforadley
WbVxvSnTHq4,"MAKiNG PUPPET FRiENDS!!  Family Craft Puppets with Adley Niko and Navey how to diy, crafts, & gaming",1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,477465,aforadley
AKp_u0N8wf4,ADLEY helps BARBiE plan a Dream House Party using CARTOON MAGiC!! Learning to surprise new friends!,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,7467787,aforadley
YNeKQhPIpt8,KiDS Leprechaun TRAP!!  Adley & Niko make a St Patrick’s Day hidden gold slide box! family DIY craft,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,16137839,aforadley
71Wzf1apBn8,ESCAPE with ADLEY & CLAiR!!  Trapped in a Magic Room with friends to solve spooky puzzles and games,11 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,2220569,aforadley
kg9l6V4yses,"NiKO’S 7th BiRTHDAY!! catching WiLD ANiMALS on pirate island with Adley, Navey, Pirates and Friends",10 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,5389554,aforadley
bz8Su-pnz38,TRiCK or TREAT inside our HOUSE!!  Halloween Routine safe DIY neighborhood with Mom & Dad costumes!,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,94120625,aforadley
LTwIkqAYSdo,FAMiLY CHECKUP from Doctor Adley!!  Playing our favorite games in REAL LiFE or ROBLOX! Niko sick day,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,4366324,aforadley
6tACm1GkRp8,Made by: ADLEY    MY FiRST ViDEO EDiT!! Funny Barbie Story and my Vidsummit Fun with Nastya & Payton,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,5016378,aforadley
nyS-o1sXsiQ,Adley & Navey vs BOWSER DAD!!  Mini game battle for stars at Clair's Real Life Mario Party Birthday!,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,8880713,aforadley
dv8RyAJzQdA,Adley is NOT the Boss!! Navey's mini MEGA Mall!  Chef Mom & Monkey Niko visit our play pretend store,1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,2985667,aforadley
uDKMJKCvUCg,A for Adley THE MOViE!!  Daddy Daughter Date!  Dinosaur Park visit!  Cops vs Robbers prison escape!,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,43112347,aforadley
g7Jyc5vWNxM,"MYSTERY CAFE of LOVE!!  Romantic Date for Mom and Dad, Chef Adley Niko & Navey valentines surprise!💗",3 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,994129,aforadley
FF5hRg3pJLo,Adley’s HAiR SALON and SPA 🛁  Dad gets a Makeover!! Niko’s new Spider Man haircut from cartoon Mom!,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,23086700,aforadley
gSlns6N7D5A,BARBiE CAMPiNG inside our HOUSE!!  Summer Road Trip in the Dream Camper! It Takes Two camp friends,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,12811963,aforadley
cLOOgMUG0Xs,RAiNBOW GHOSTS!! Adley & Niko escape the Portal House! Blue Pink Green Purple color keys Hide n Seek,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,35945206,aforadley
PwKX2ZkD2dA,SPY KiD and SPY DAD the STORY!!  Saving the City from Mr. Sunflower! Magic Library Stories by Adley,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,7779569,aforadley
bv0cxKaf98Q,i made an ADLEY ViDEO!! Teaching my friend Alli how to make homemade SLiME and it got a little messy,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,12204135,aforadley
n1oeDgF7kF4,Family Game Morning!  Play & Review new games with Mom & Dad! Adley sleep darts parents won’t wakeup,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,26651171,aforadley
Bs1sjEPnxoo,NAVEY’s First Trick or Treat!! Adley & Niko run their Bluey Costumes across the neighborhood 4 candy,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,23326332,aforadley
u21ZCqEG3Qs,CRYSTAL HiDE n SEEK!!  Playing Games with Adley Niko & Navey! some Fun Active Learning as a Family,6 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,226066,aforadley
2WMOOA2ZM0w,"FEEDiNG ZOO ANiMALS!!  Adley & Niko feed a Giraffe, a Rhino, and do a vet morning check up routine!",4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,6826050,aforadley
-F0l9-8eFAA,ADLEY is the CONSTRUCTiON BOSS!!  Niko helps build a Giant Castle at his pretend job with Mom & Dad,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,7923574,aforadley
_RgvqkbFuoQ,BABY OTTER FAMiLY 🦦  Adley & Niko are little otters learning to swim and pretend play in the pool,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,12369565,aforadley
eAPcJycHuow,TRAPPED INSiDE the iPAD?!  Adley & Dad play a new family game! and beach visit! my town app review,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,50141823,aforadley
_HdXV13t3x8,"A for Adley TRAVEL MOViE part 1!!  Get Ready, Pack Bags, Fly an Airplane, Hotel, Swim, & Pizza Party",8 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,1540327,aforadley
1iCeNAXCwvw,RAiNBOW BiRTHDAY for MOM!! Adley & Niko plan a Surprise Party for Jenny! Cake Decorating & New Games,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,12557706,aforadley
vdIfzT8GVnE,TURKEY DANCE family song!! Adley & Niko visit Doctor Dad for STiCKER POX and TURKEY FEET Music Video,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,24918267,aforadley
V1xDC_GkG5c,7:00am Adley’s Morning Routine 💤  Dad Won’t Wakeup! baby Navey rescue! get Niko ready! Mom Asleep!,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,28173031,aforadley
oRinq5HesJc,PiRATE YOGA with PARROTS!!  Family exercise morning routine with Adley & Niko! ultimate new game,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,5882755,aforadley
zs_zOqoQwGo,BARBiE RUNWAY SHOW inside our HOUSE!! Adley does a pretend play magic makeover and new toy reveal!,6 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,7418867,aforadley
SnoBDI0AAv8,"Chef Adley's MYSTERY CAFE Love Story!!  Adley is the Boss, Niko makes Food, a new Family 3D Cartoon",3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,21371177,aforadley
eKwKIKnZutk,"CHRiSTMAS CRAFTS with Adley and Dad!! How to make Paper Snowflakes, Tree Decorations, & Snowman DIY",2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,4870948,aforadley
9WUT-W0UAl4,BACK to SCHOOL - TiME CAPSULE!!  Buried a treasure for future Adley & Niko! family DIY kids crafts,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,6038712,aforadley
N3b24Gj3FMQ,"NiKO, you shrunk the ADLEY and NAVEY!! a Tiny Surprise on Turkey Day! Family Shrinks on Thanksgiving",1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,1873799,aforadley
axvkoseCHVk,Magic BARBIE MAKEOVER!!  Metallic Spa Day inside a pretend swimming pool! Color Reveal slumber party,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,17238438,aforadley
EItJK-phBHE,VOLCANO ESCAPE!!  Driving Niko for a rescue mission because the Floor is Lava at pirate island! 🌋,4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,12954017,aforadley
ntoYjEMsLz8,ZOMBiE GAMES at the PARK!! and HiDE n SEEK Sardines! Fun from fall break with Adley Niko & Friends,2 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,9850954,aforadley
2JNYBUqD5Os,"BURiED by BABY UNiCORNS!! Adley has 1,000 Pet Bunnies and Mystery Eggs for YOU! new Spring BFF merch",4 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,14517298,aforadley
T8Vyael6hjQ,Adley & Niko BABY ANiMAL SAFARi 🦒  Pet Neighborhood & Vet Check Up! G for Gaming Minecraft Movie,3 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,29731338,aforadley
rv7oKGcUxsY,LAST to LEAVE part 3 - Baby Mermaid Eggs on SURViVOR PiRATE iSLAND!! Beach Daycare Challenge w Adley,4 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,552777,aforadley
-FFFIZ0APdM,"FAMiLY SKATE SESH!!  Adley skateboard routine, backyard skate park play, Niko learns new tricks 🛹",5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,7496479,aforadley
vo2yUF_rzbM,LAVA BALL 🔥 NEW CHALLENGE!!  don’t let the snowball touch the floor! Adley game inside our house!,6 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,5639035,aforadley
jIyj_yEkYZY,BALL PiT PARK!!  Ultimate obstacle course challenge with Adley & Niko! playing Hide N Seek inside,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,22458156,aforadley
CsYJxgpeXt0,SNEAKiNG in a DiSGUiSE 🥸 not Adley Niko & Navey sneak into a play park Hide n Seek with friends!!,1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,1681834,aforadley
C_3vLFQ1ejs,TRiCK or TREAT candy CHALLENGES!!  Adley Niko & Navey escape Dracula Dad's Haunted Halloween House,1 year ago,UCBJuxfqZuiibvcwSc8ViGsQ,4193343,aforadley
RIzjAuynGe4,PiRATE Present Day!!  Dad Surprises Adley & Mom with Gold Gifts! Beach Party Fun for Fairy Friends,5 years ago,UCBJuxfqZuiibvcwSc8ViGsQ,15319491,aforadley
nAjC87fSYEE,LOVE FORTUNE with Adley who is Saedie's Secret Crush and what is her Future! Ask Adley part 2,4 months ago,UCBJuxfqZuiibvcwSc8ViGsQ,1707874,aforadley
uaEr1IxJizI,Back to school shopping + what's in my backpack,6 years ago,UCHVSseA5eTTguk_o5InXu9w,237694,annierose
ZwG05Vrp9Tw,My Productive Routine VLOG!! Let's Talk About Everything,7 years ago,UCHVSseA5eTTguk_o5InXu9w,193398,annierose
yUMWDSH6zOE,10 hacks to make your life organized this summer!,6 years ago,UCHVSseA5eTTguk_o5InXu9w,108988,annierose
HZ3KXhlvICU,"School Room and Kitchen Makeover TOUR ✏️ Being an Interior Designer for a week, Part 6!",7 years ago,UCHVSseA5eTTguk_o5InXu9w,209895,annierose
fVK-WQEyeMc,My tiny house cleaning routine!,9 months ago,UCHVSseA5eTTguk_o5InXu9w,5253,annierose
H393sWBLF40,FALL shopping & haul,6 years ago,UCHVSseA5eTTguk_o5InXu9w,141843,annierose
nGfHck2dJ6w,Reacting to getting half a MILLION subs and Fan Mail Art,7 years ago,UCHVSseA5eTTguk_o5InXu9w,91202,annierose
a26bcDi5mlI,we got back together,6 months ago,UCHVSseA5eTTguk_o5InXu9w,15512,annierose
tva7BSaHfr4,HAIR + MAKEUP + FASHION! Glam up GRWM,7 years ago,UCHVSseA5eTTguk_o5InXu9w,128439,annierose
WLFxQPQMF2A,"Everyday Get Ready With Me, Natural Make Up, Hair, Outfit",8 years ago,UCHVSseA5eTTguk_o5InXu9w,468321,annierose
zvPQWq0CwHY,iPhone XS MAX shopping AND unboxing,7 years ago,UCHVSseA5eTTguk_o5InXu9w,2770273,annierose
T_ujsiAbZPk,my insecurities | It gets real ep: 7,7 years ago,UCHVSseA5eTTguk_o5InXu9w,97715,annierose
K83XvpEYrms,Shopping Brandy Melville Style Online at home | TRY ON HAUL,6 years ago,UCHVSseA5eTTguk_o5InXu9w,118493,annierose
MfZZGSGYMrE,CHRISTMAS ROOM SHOPPING | ANNIE ROSE,6 years ago,UCHVSseA5eTTguk_o5InXu9w,107398,annierose
C3CpXyTYXC8,Plane Trip + FULL Playlist live vlog!!,7 years ago,UCHVSseA5eTTguk_o5InXu9w,142731,annierose
NVYodXL-1e0,ORGANIZING MY MAKEUP & MOVING FURNITURE!!,7 years ago,UCHVSseA5eTTguk_o5InXu9w,277485,annierose
aYRA54qQtK0,10 minute TARGET school shopping challenge!,6 years ago,UCHVSseA5eTTguk_o5InXu9w,88713,annierose
h8kgxtNHAO8,first week of homeschool *PRODUCTIVE*,5 years ago,UCHVSseA5eTTguk_o5InXu9w,101516,annierose
QXKzkxXN4mc,FLYING TO ✈️ & SHOPPING IN 🛍LA FOR MY TEEN CHOICE AWARDS OUTFIT!,7 years ago,UCHVSseA5eTTguk_o5InXu9w,316147,annierose
XkDDbRfHTQE,How to deal with CYBER BULLIES vs real life bullies it gets real EP: 11,6 years ago,UCHVSseA5eTTguk_o5InXu9w,50232,annierose
TEgeZAgpP-o,iPhone case and popsocket collection HAUL!,6 years ago,UCHVSseA5eTTguk_o5InXu9w,101827,annierose
pPG7Wl-4lwU,School Day Routine and online school tips!,6 years ago,UCHVSseA5eTTguk_o5InXu9w,166976,annierose
7YYJR3H3nBY,SUMMER unboxing MUST HAVES!! Fabfitfun unboxing,6 years ago,UCHVSseA5eTTguk_o5InXu9w,104906,annierose
CuYMeiugu_A,PACKING FOR NEW YORK ✈️,7 years ago,UCHVSseA5eTTguk_o5InXu9w,240089,annierose
U-783jC0ch8,I grew out of everything. So I redid my entire closet...,6 months ago,UCHVSseA5eTTguk_o5InXu9w,7758,annierose
UWwOk4fk2UM,NAILS AND PACKING FOR PLAYLIST LIVE vlog | ANNIE ROSE,7 years ago,UCHVSseA5eTTguk_o5InXu9w,217270,annierose
aDIjREa_mQk,READING ASSUMPTIONS ABOUT ME *TEA*,7 years ago,UCHVSseA5eTTguk_o5InXu9w,152796,annierose
jJceLWyuggM,Back to School Prep - what I eat on a school day! what's in my lunch box,6 years ago,UCHVSseA5eTTguk_o5InXu9w,203279,annierose
aXDEXY_n2is,All Day Routine | WINTER Edition | ANNIE ROSE filmed by Hope Marie,6 years ago,UCHVSseA5eTTguk_o5InXu9w,120893,annierose
Y_6vfLjrw_Y,GRWM & Traveling to LA for Streamys 2018,7 years ago,UCHVSseA5eTTguk_o5InXu9w,186833,annierose
YPLNOmwHwvs,Instagram Followers Control My Summer Morning Routine,7 years ago,UCHVSseA5eTTguk_o5InXu9w,632579,annierose
