video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,,HUMAN_performative_labor,HUMAN_emotional_bait,HUMAN_narrative_conflict,HUMAN_challenge_format,HUMAN_commercial_content,HUMAN_privacy_violation,HUMAN_overall_exploitative,HUMAN_notes
zXXIJ-kYpVY,https://www.youtube.com/watch?v=zXXIJ-kYpVY,"Can You Catch A Football Dropped from A Helicopter 1,000  Feet In The Air?? **WORLD RECORD ATTEMPT**",itsyeboi,103380,random,0.998,YES,0.707,YES,0.5,ABSTAIN,1.0,YES,0.5,ABSTAIN,0.374,NO,0.68,EXPLOITATIVE,0.443,3,,,,,,,,,
eDQy1Y3N97c,https://www.youtube.com/watch?v=eDQy1Y3N97c,He did it!,meetthemillers,9508,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.296,CLEAN,0.407,0,,,,,,,,,
V0mHz29qPAE,https://www.youtube.com/watch?v=V0mHz29qPAE,My HEART STOPPED For A Second + Bryleigh’s Feeling Off 😔 | Family 5 Vlogs,family5vlogs,10572,high_conf_exploit,0.0,NO,1.0,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.999,YES,0.516,EXPLOITATIVE,0.633,2,,,,,,,,,
WeJxbGOUJIY,https://www.youtube.com/watch?v=WeJxbGOUJIY,DON'T DROP THE KIDS CHALLENGE!!,ehbee,746892,high_conf_exploit,1.0,YES,0.887,YES,0.868,YES,1.0,YES,1.0,YES,0.374,NO,0.855,EXPLOITATIVE,0.793,5,,,,,,,,,
ZtlR4ZRoJIo,https://www.youtube.com/watch?v=ZtlR4ZRoJIo,HE DOESN'T WANT TO VLOG... HERE'S WHY! | Family 5 Vlogs,family5vlogs,8630,random,0.0,NO,0.765,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.373,CLEAN,0.431,1,,,,,,,,,
k20pewwadmU,https://www.youtube.com/watch?v=k20pewwadmU,Hiking Out Of Here! Winter Survival Challenge,thatyoutub3family,21874,low_confidence,0.998,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.431,2,,,,,,,,,
wWPE1JPqn5M,https://www.youtube.com/watch?v=wWPE1JPqn5M,What’s Going On With Piper & Lev Cameron?!,gavinmagnus,267027,high_conf_exploit,0.953,YES,1.0,YES,0.868,YES,0.268,NO,0.5,ABSTAIN,0.999,YES,0.765,EXPLOITATIVE,0.684,4,,,,,,,,,
45gBmcScFJc,https://www.youtube.com/watch?v=45gBmcScFJc,IS MOM OUT OF CONTROL?!?! | We Are The Davises,wearethedavises,484969,random,0.981,YES,1.0,YES,1.0,YES,0.268,NO,0.331,NO,0.374,NO,0.659,EXPLOITATIVE,0.669,3,,,,,,,,,
uZLBYAEEMmw,https://www.youtube.com/watch?v=uZLBYAEEMmw,FAMILY FUN PLAYING AT CHUCK E CHEESE AND HUGE SURPRISE PRIZE HAUL!,theweisslife,2799687,high_conf_clean,0.094,NO,0.887,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.488,CLEAN,0.615,2,,,,,,,,,
kCN6ZIeU05Y,https://www.youtube.com/watch?v=kCN6ZIeU05Y,My Korean SKINCARE ROUTINE Showcase!,onyxfamily,2120,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.67,YES,0.374,NO,0.309,CLEAN,0.495,1,,,,,,,,,
AGsgQ6ACYEw,https://www.youtube.com/watch?v=AGsgQ6ACYEw,Swimming Pool Challenges!,thatyoutub3family,49077,random,1.0,YES,0.5,ABSTAIN,0.305,NO,1.0,YES,0.331,NO,0.374,NO,0.585,EXPLOITATIVE,0.497,2,,,,,,,,,
GOGHlrfNzwE,https://www.youtube.com/watch?v=GOGHlrfNzwE,Roblox Doors: Blasters Update! (FGTeeV),fgteev,1667652,low_confidence,0.218,NO,0.707,YES,0.5,ABSTAIN,0.268,NO,0.894,YES,0.374,NO,0.493,CLEAN,0.413,2,,,,,,,,,
sOz6NfnyNds,https://www.youtube.com/watch?v=sOz6NfnyNds,BABY'S FIRST THUNDERSTORM!,thesacconejolys,560565,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,,,,,,,,
ncRUxrh8w1E,https://www.youtube.com/watch?v=ncRUxrh8w1E,Ugly Babies Everywhere (FGTeeV),fgteev,1165617,random,0.953,YES,0.707,YES,0.868,YES,0.268,NO,0.5,ABSTAIN,0.374,NO,0.612,EXPLOITATIVE,0.462,3,,,,,,,,,
0NXvJ2rLmbo,https://www.youtube.com/watch?v=0NXvJ2rLmbo,BUSTING 100 MYTHS IN 24 HOURS!,jordanmatter,31613796,high_conf_exploit,0.998,YES,0.887,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.743,EXPLOITATIVE,0.683,4,,,,,,,,,
9WUT-W0UAl4,https://www.youtube.com/watch?v=9WUT-W0UAl4,BACK to SCHOOL - TiME CAPSULE!!  Buried a treasure for future Adley & Niko! family DIY kids crafts,aforadley,6038712,low_confidence,0.398,NO,0.78,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.602,EXPLOITATIVE,0.272,2,,,,,,,,,
w6RHvFFaf0s,https://www.youtube.com/watch?v=w6RHvFFaf0s,Our FIRST taste of HOMESCHOOL away from home… without my daughter 🥲 (let me explain),jesssfam,67640,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
MwF5LTQwg0w,https://www.youtube.com/watch?v=MwF5LTQwg0w,SISTERS MEET BABY BROTHER FOR FIRST TIME! (EMOTIONAL),johnsonsfam,2486357,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,,,,,,,,
TYeM5OEW45o,https://www.youtube.com/watch?v=TYeM5OEW45o,I'm having my breast implants removed… *explant surgery* | Family Fizz,familyfizz,224621,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,1.0,YES,0.468,CLEAN,0.73,2,,,,,,,,,
vJQw91STaiM,https://www.youtube.com/watch?v=vJQw91STaiM,Birthday Surprise Goes too far!,samandnia,9680,random,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.945,YES,0.374,NO,0.482,CLEAN,0.666,2,,,,,,,,,
1WYkGuGXSfM,https://www.youtube.com/watch?v=1WYkGuGXSfM,Oliver and Adam visited BOO BOO LAAND,kidsdianashow,6564152,low_confidence,0.953,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.268,NO,0.875,YES,0.374,NO,0.578,EXPLOITATIVE,0.395,2,,,,,,,,,
I1LRhgEiDvo,https://www.youtube.com/watch?v=I1LRhgEiDvo,BABY'S FIRST STEPS | DOUBLE EAR INFECTION | Family 5 Vlogs,family5vlogs,14089,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,,,,,,,,
ncEYHiiYvk4,https://www.youtube.com/watch?v=ncEYHiiYvk4,WHY 2019 WAS THE BEST YEAR OF OUR LIVES,everleighrose,519934,low_confidence,0.0,NO,0.504,YES,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.297,CLEAN,0.409,1,,,,,,,,,
Grw9V5W18eE,https://www.youtube.com/watch?v=Grw9V5W18eE,Her PRESENTS Got LOST!,shotofyeagers,2703046,random,0.981,YES,1.0,YES,0.868,YES,0.268,NO,0.331,NO,0.5,ABSTAIN,0.658,EXPLOITATIVE,0.583,3,,,,,,,,,
y83rIBZiDnY,https://www.youtube.com/watch?v=y83rIBZiDnY,7 VERY EASY Halloween Breakfast Ideas to Scare Your Family and Friends,familyfudge,221495,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,,,,,,,,
3Guc9M8buQ8,https://www.youtube.com/watch?v=3Guc9M8buQ8,Suprising My Brother,brockandboston,65707,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
j4tm-_eIDlI,https://www.youtube.com/watch?v=j4tm-_eIDlI,Recreate This Slime! Ty's Slime!,thatyoutub3family,54922,low_confidence,0.981,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.46,CLEAN,0.401,1,,,,,,,,,
Cao_pVqPoog,https://www.youtube.com/watch?v=Cao_pVqPoog,SOCKIE GOT BRACES & NOW SHE FEELS...,norrisnuts,5094745,high_conf_exploit,0.002,NO,1.0,YES,0.305,NO,0.999,YES,0.331,NO,0.999,YES,0.606,EXPLOITATIVE,0.787,3,,,,,,,,,
-Zh8JYkJVTk,https://www.youtube.com/watch?v=-Zh8JYkJVTk,Four Square Volleyball! Battle For Prizes And Punishments!,thatyoutub3family,129375,random,1.0,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.331,NO,0.374,NO,0.701,EXPLOITATIVE,0.598,3,,,,,,,,,
EQDGeAl9o68,https://www.youtube.com/watch?v=EQDGeAl9o68,Baby Panda Kids Math Adventure : 📚 Comparing Size and Num 📚 | BabyBus Games for Kids,babybus,2689,low_confidence,0.856,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.632,EXPLOITATIVE,0.264,2,,,,,,,,,
yfrEbkR8hUM,https://www.youtube.com/watch?v=yfrEbkR8hUM,I WENT ON 20 DATES IN 20 COUNTRIES!,brentrivera,19197558,high_conf_exploit,0.994,YES,0.887,YES,0.305,NO,1.0,YES,0.331,NO,0.999,YES,0.753,EXPLOITATIVE,0.748,4,,,,,,,,,
EI6rU9ayylw,https://www.youtube.com/watch?v=EI6rU9ayylw,Most Tickets From The Arcade Wins! Family Activity Wars!,thatyoutub3family,35749,high_conf_exploit,0.985,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.789,EXPLOITATIVE,0.662,4,,,,,,,,,
3vWfryHhjVc,https://www.youtube.com/watch?v=3vWfryHhjVc,Back to School Shopping at Target 2021! New School Supplies,lifewithbrothers,116528,random,0.218,NO,0.707,YES,0.305,NO,0.268,NO,0.945,YES,0.374,NO,0.469,CLEAN,0.496,2,,,,,,,,,
CSG8lkXvJ6A,https://www.youtube.com/watch?v=CSG8lkXvJ6A,Stuff Happens! Ranking Painful Events! Family Game Night!,theadventurers,37703,high_conf_exploit,0.998,YES,0.895,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.744,EXPLOITATIVE,0.685,4,,,,,,,,,
-tM5FN1XUvw,https://www.youtube.com/watch?v=-tM5FN1XUvw,3 Sisters Dance Competition day!,meetthemillers,23738,low_confidence,0.996,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.43,2,,,,,,,,,
z9-rMRLUOYY,https://www.youtube.com/watch?v=z9-rMRLUOYY,Kidsongs:  Yankee Doodle Dandy,kidssongs,429714,random,0.953,YES,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.412,CLEAN,0.479,1,,,,,,,,,
Jn2Xil9H7Ms,https://www.youtube.com/watch?v=Jn2Xil9H7Ms,"WEEKEND FULL OF FUN! Wedding, Movies & More!",ourfamilynest,10288,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
SBgP71u7pqY,https://www.youtube.com/watch?v=SBgP71u7pqY,4 year old is so proud of himself! What did he do? 😂,meetthemillers,8063,random,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.894,YES,0.374,NO,0.39,CLEAN,0.482,1,,,,,,,,,
geLPiDz39CU,https://www.youtube.com/watch?v=geLPiDz39CU,Eat Lick Sniff Leave! Game Of Chance!,theadventurers,50648,low_confidence,1.0,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.432,2,,,,,,,,,
QhuaVZJpW6o,https://www.youtube.com/watch?v=QhuaVZJpW6o,RICH Parents Vs. BROKE Parents,piperrockelle,5937016,high_conf_exploit,0.995,YES,0.707,YES,1.0,YES,0.997,YES,0.945,YES,0.5,ABSTAIN,0.857,EXPLOITATIVE,0.714,5,,,,,,,,,
Jb1k5mlBhqg,https://www.youtube.com/watch?v=Jb1k5mlBhqg,Time for a Rant..,inghamfamily,29851,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,,,,,,,,
5EEE9QLtJvs,https://www.youtube.com/watch?v=5EEE9QLtJvs,Recreating Hersheys Milkshakes and Smores At Home,thatyoutub3family,56203,random,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.325,CLEAN,0.351,0,,,,,,,,,
DvAuCuw3hT0,https://www.youtube.com/watch?v=DvAuCuw3hT0,Duncan's Birthday Special! 🥳 SIX YEARS OLD! 🥳,ballingerfamily,119166,random,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.67,YES,0.5,ABSTAIN,0.511,EXPLOITATIVE,0.091,1,,,,,,,,,
znX2qx1cj74,https://www.youtube.com/watch?v=znX2qx1cj74,Betting On Mystery Food Boxes! Food Challenge!,theadventurers,230888,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.67,YES,0.374,NO,0.77,EXPLOITATIVE,0.624,5,,,,,,,,,
KvL68T6YUJ8,https://www.youtube.com/watch?v=KvL68T6YUJ8,Nastya and the Barbie's escape rooms,likenastya,6951952,random,0.998,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.894,YES,0.374,NO,0.711,EXPLOITATIVE,0.506,3,,,,,,,,,
Kou_5aEGolU,https://www.youtube.com/watch?v=Kou_5aEGolU,THIS NEEDS TO BE FIXED!,kkandbabyj,217612,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,,,,,,,,
1zZoucu47Y4,https://www.youtube.com/watch?v=1zZoucu47Y4,Getting Crafty at Home!,familyfunpack,582210,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
LCqtP67dT_k,https://www.youtube.com/watch?v=LCqtP67dT_k,Benji's Daddy Duties 🥹  - @itsJudysLife,itsjudyslife,41793,high_conf_clean,0.0,NO,0.999,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.491,CLEAN,0.684,2,,,,,,,,,
cFrqC6RLQYM,https://www.youtube.com/watch?v=cFrqC6RLQYM,1: why I got pulled over *storytime* Jordyn Jones Podcast,jordynjones,5571,low_confidence,0.953,YES,0.5,ABSTAIN,0.868,YES,0.268,NO,0.501,YES,0.374,NO,0.577,EXPLOITATIVE,0.393,3,,,,,,,,,
Q-jvDi8wPeU,https://www.youtube.com/watch?v=Q-jvDi8wPeU,OUR VALENTINE PLANS TOOK A TURN... | | Family 5 Vlogs,family5vlogs,13307,low_confidence,0.0,NO,0.238,NO,0.5,ABSTAIN,0.268,NO,0.331,NO,0.5,ABSTAIN,0.306,CLEAN,0.388,0,,,,,,,,,
Bd6BtBe5qpg,https://www.youtube.com/watch?v=Bd6BtBe5qpg,IT'S A MESS!,kkandbabyj,263706,low_confidence,0.0,NO,0.765,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.373,CLEAN,0.431,1,,,,,,,,,
jeMLnF1sP-0,https://www.youtube.com/watch?v=jeMLnF1sP-0,Best Girl Power DANCE BATTLE collab EVER!!!,everleighrose,462469,high_conf_exploit,0.999,YES,0.78,YES,1.0,YES,1.0,YES,1.0,YES,0.374,NO,0.859,EXPLOITATIVE,0.802,5,,,,,,,,,
m6VFtgeOmpY,https://www.youtube.com/watch?v=m6VFtgeOmpY,HOUSE DIVIDED | GUESS WHO'S SICK NOW? | Family 5 Vlogs,family5vlogs,10494,random,0.0,NO,1.0,YES,1.0,YES,0.268,NO,0.331,NO,0.999,YES,0.6,EXPLOITATIVE,0.8,3,,,,,,,,,
kyNpENHb6po,https://www.youtube.com/watch?v=kyNpENHb6po,COME CLEAN OUR HOUSE WITH US! (PUTTING THE KIDS TO WORK TOO),thebramfam,194257,random,0.001,NO,0.504,YES,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.325,CLEAN,0.352,1,,,,,,,,,
wg3nMF52nL0,https://www.youtube.com/watch?v=wg3nMF52nL0,Road Trip To Babysit My Niece! | Touring Million Dollar Homes...,brockandboston,56860,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,,,,,,,,
B9gAXOQrNhA,https://www.youtube.com/watch?v=B9gAXOQrNhA,I Finally Got Payback,rebeccazamolo,6509908,high_conf_exploit,0.953,YES,0.707,YES,1.0,YES,0.268,NO,1.0,YES,0.374,NO,0.717,EXPLOITATIVE,0.673,4,,,,,,,,,
iRqjT5uRI5E,https://www.youtube.com/watch?v=iRqjT5uRI5E,BEST VALENTINE'S DAY FINDS AT FIVE BELOW! | We Are The Davises,wearethedavises,184032,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,,,,,,,,
BAPDDZh1bjI,https://www.youtube.com/watch?v=BAPDDZh1bjI,EVERLEIGH AND AVA CLONE THEMSELVES AND THEIR LOTTA LOOKS DOLL!!!,everleighrose,541635,high_conf_exploit,0.953,YES,0.965,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.644,EXPLOITATIVE,0.657,3,,,,,,,,,
znX2qx1cj74,https://www.youtube.com/watch?v=znX2qx1cj74,Betting On Mystery Food Boxes! Food Challenge!,theadventurers,230888,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.67,YES,0.374,NO,0.77,EXPLOITATIVE,0.624,5,,,,,,,,,
lTqI_ZYjbZA,https://www.youtube.com/watch?v=lTqI_ZYjbZA,Barbie House VS Spiderman House,kidsdianashow,72205536,random,0.998,YES,0.5,ABSTAIN,0.999,YES,0.999,YES,0.5,ABSTAIN,0.374,NO,0.728,EXPLOITATIVE,0.541,3,,,,,,,,,
2PEpd-WdRBY,https://www.youtube.com/watch?v=2PEpd-WdRBY,"4 Month Newborn Update, Room Tour, and New House Sneak Peek!",thedashleys,44090,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.999,YES,0.468,CLEAN,0.729,2,,,,,,,,,
ShhtZTxfFQQ,https://www.youtube.com/watch?v=ShhtZTxfFQQ,EVERYTHING STRAWBERRY SWITCH UP CHALLENGE | We Are The Davises,wearethedavises,495666,random,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.5,ABSTAIN,0.374,NO,0.741,EXPLOITATIVE,0.567,4,,,,,,,,,
BofGcO5xyTo,https://www.youtube.com/watch?v=BofGcO5xyTo,She Got The MAIN ANNIE ACTING ROLE At School and It DID’NT Go As Expected… 🫢,johnsonsfam,1086193,high_conf_exploit,0.953,YES,1.0,YES,0.868,YES,0.268,NO,0.331,NO,0.374,NO,0.632,EXPLOITATIVE,0.616,3,,,,,,,,,
VntI-HfKRsw,https://www.youtube.com/watch?v=VntI-HfKRsw,Last To Leave The Mystery Box Challenge Wins!,theadventurers,38726,random,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.776,YES,0.374,NO,0.787,EXPLOITATIVE,0.659,5,,,,,,,,,
Lcpo3gCTmIU,https://www.youtube.com/watch?v=Lcpo3gCTmIU,She Died! Paying Our Respects To The Queen!,ohanaadventure,427665,random,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.408,CLEAN,0.518,1,,,,,,,,,
kiFGuSUybdU,https://www.youtube.com/watch?v=kiFGuSUybdU,Blippi's Epic Adventure in the Blippi Mobile! | Blippi Roblox | Educational Videos for Kids,blippi,888675,low_confidence,0.623,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.875,YES,0.5,ABSTAIN,0.583,EXPLOITATIVE,0.166,2,,,,,,,,,
zZb5XE0Tquo,https://www.youtube.com/watch?v=zZb5XE0Tquo,Homesick 😭,theleray,48419,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.484,CLEAN,0.698,2,,,,,,,,,
gEmnClPFcQE,https://www.youtube.com/watch?v=gEmnClPFcQE,BOYS vs GIRLS battle to the death!,theskorys,24871,high_conf_exploit,0.999,YES,0.707,YES,1.0,YES,1.0,YES,0.894,YES,0.374,NO,0.829,EXPLOITATIVE,0.742,5,,,,,,,,,
AOxvTzx_zQM,https://www.youtube.com/watch?v=AOxvTzx_zQM,Giant VAMPIRE Ceremony at Hacker Mansion - Spending 24 Hours Facing Biggest Fears Vs Rebecca Zamolo,rebeccazamolo,14772007,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,1.0,YES,0.501,YES,0.374,NO,0.764,EXPLOITATIVE,0.611,5,,,,,,,,,
Ggs1UbJyDD4,https://www.youtube.com/watch?v=Ggs1UbJyDD4,HUGE AUTUMN CLOTHES SHOPPING HAUL | Family Fizz,familyfizz,449667,random,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,,,,,,,,
lp3koA5qUXU,https://www.youtube.com/watch?v=lp3koA5qUXU,EMPTY HOUSE TOUR 2022 (We got the keys to our dream home!!),thedashleys,87859,low_confidence,0.0,NO,0.5,ABSTAIN,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.324,CLEAN,0.351,0,,,,,,,,,
fndUDDbcSyk,https://www.youtube.com/watch?v=fndUDDbcSyk,BIG SISTER vs LITTLE SISTER!!😅💕 #shorts,theweisslife,44815,high_conf_exploit,0.995,YES,0.765,YES,1.0,YES,1.0,YES,0.331,NO,0.374,NO,0.744,EXPLOITATIVE,0.685,4,,,,,,,,,
nGNKu-AiteA,https://www.youtube.com/watch?v=nGNKu-AiteA,Escape the Witch Babysitter! Turbo Bot Team-up with Ninja Kidz Twins!,ninjakidztv,39993541,high_conf_exploit,0.999,YES,0.707,YES,0.868,YES,0.268,NO,1.0,YES,0.374,NO,0.703,EXPLOITATIVE,0.644,4,,,,,,,,,
