video_id,youtube_link,title,channel,views,sample_group,MODEL_performative_labor_prob,MODEL_performative_labor_pred,MODEL_emotional_bait_prob,MODEL_emotional_bait_pred,MODEL_narrative_conflict_prob,MODEL_narrative_conflict_pred,MODEL_challenge_format_prob,MODEL_challenge_format_pred,MODEL_commercial_content_prob,MODEL_commercial_content_pred,MODEL_privacy_violation_prob,MODEL_privacy_violation_pred,MODEL_exploitation_score,MODEL_overall_prediction,MODEL_confidence,MODEL_n_dims_flagged,Human Labeled,Note
0fa1kA5bnW4,https://www.youtube.com/watch?v=0fa1kA5bnW4,OUR NEW FAMILY BUSINESS...,acefamily,4353807,low_confidence,0.623,YES,0.765,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.565,EXPLOITATIVE,0.129,2,,
9s5Oo7Owwj4,https://www.youtube.com/watch?v=9s5Oo7Owwj4,LYING & DOING THE OPPOSITE OF WHAT PARENTS TELL ME! | Txunamy,txunamy,18849,high_conf_exploit,0.953,YES,0.887,YES,1.0,YES,0.268,NO,0.945,YES,0.5,ABSTAIN,0.759,EXPLOITATIVE,0.672,4,,
3GSn2zoIHrc,https://www.youtube.com/watch?v=3GSn2zoIHrc,TWIN TELEPATHY CLAIRE'S CHALLENGE!,everleighrose,1200398,high_conf_exploit,0.999,YES,0.887,YES,0.305,NO,1.0,YES,0.331,NO,0.374,NO,0.649,EXPLOITATIVE,0.625,3,,
BRfFd-6U2T4,https://www.youtube.com/watch?v=BRfFd-6U2T4,Who Has The BEST Night Time Routine?,thatyoutub3family,63310,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
9F-HAcmVIyQ,https://www.youtube.com/watch?v=9F-HAcmVIyQ,Ninja Kidz team up with Robin to Save Batman from The Joker!,ninjakidztv,121866168,high_conf_exploit,0.998,YES,0.707,YES,1.0,YES,0.268,NO,0.894,YES,0.374,NO,0.707,EXPLOITATIVE,0.652,4,,
fVK-WQEyeMc,https://www.youtube.com/watch?v=fVK-WQEyeMc,My tiny house cleaning routine!,annierose,5253,low_confidence,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.483,CLEAN,0.034,0,,
zFfkKsbTgCA,https://www.youtube.com/watch?v=zFfkKsbTgCA,Luke's First Day of Gymnastics!,ballingerfamily,118321,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.253,CLEAN,0.495,0,,
am49v4wU-kg,https://www.youtube.com/watch?v=am49v4wU-kg,How to Play Disney's Jungle Cruise Adventure Board Game,familyfuneveryday,3687,high_conf_clean,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
p9T0anpnSok,https://www.youtube.com/watch?v=p9T0anpnSok,"First To Find the M&M in Skittles Pool Wins $10,000 Challenge **IMPOSSIBLE**🌈 | Piper Rockelle",piperrockellesquad,6219985,random,0.999,YES,0.707,YES,0.868,YES,1.0,YES,0.894,YES,0.374,NO,0.807,EXPLOITATIVE,0.698,5,,
PKnKRbybgRg,https://www.youtube.com/watch?v=PKnKRbybgRg,Family Game Night! Wordsmithery!,theadventurers,24394,low_confidence,0.998,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.5,ABSTAIN,0.374,NO,0.645,EXPLOITATIVE,0.375,2,,
JBvyT3icNBw,https://www.youtube.com/watch?v=JBvyT3icNBw,The DollMakers Apprentices Vs Abigail! The DollMaker Season 5 Episode 6,thatyoutub3family,104950,high_conf_exploit,1.0,YES,0.707,YES,1.0,YES,1.0,YES,0.331,NO,0.374,NO,0.735,EXPLOITATIVE,0.667,4,,
84w3d8sJJ-E,https://www.youtube.com/watch?v=84w3d8sJJ-E,Snow BURIED Over Night! (Rescue & Van Tour) 🥶,inghamfamily,21968,low_confidence,0.0,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.268,NO,0.331,NO,0.374,NO,0.329,CLEAN,0.342,0,,
RElUn9WRxbY,https://www.youtube.com/watch?v=RElUn9WRxbY,BUYING ANYTHING In Your COLOR FOR 30 MINUTES CHALLENGE!,lifewithbrothers,68794,random,1.0,YES,0.887,YES,0.868,YES,1.0,YES,0.894,YES,0.374,NO,0.837,EXPLOITATIVE,0.758,5,,
YEWneQ38LUA,https://www.youtube.com/watch?v=YEWneQ38LUA,Pull&Bear online shopping,karinakurzawa,608641,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.364,CLEAN,0.605,1,,
u5OQMhUmXtE,https://www.youtube.com/watch?v=u5OQMhUmXtE,Ordering Haunted Happy Meals GONE WRONG!,theskorys,74709,high_conf_exploit,0.953,YES,0.707,YES,1.0,YES,1.0,YES,0.894,YES,0.374,NO,0.821,EXPLOITATIVE,0.726,5,,
z4P30Lg7JJM,https://www.youtube.com/watch?v=z4P30Lg7JJM,We Bought A Goat And Two Chickens While Looking At Christmas Lights!,thatyoutub3family,59404,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.253,CLEAN,0.495,0,,
DsLilQvA62o,https://www.youtube.com/watch?v=DsLilQvA62o,OUR NEW HOUSE TOUR *explaining everything*,theweisslife,97163,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.452,CLEAN,0.606,2,,
Ggs1UbJyDD4,https://www.youtube.com/watch?v=Ggs1UbJyDD4,HUGE AUTUMN CLOTHES SHOPPING HAUL | Family Fizz,familyfizz,449667,high_conf_clean,0.0,NO,0.765,YES,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.452,CLEAN,0.606,2,,
yTH7IpGLJ6Y,https://www.youtube.com/watch?v=yTH7IpGLJ6Y,I can't believe they took this away..,kkandbabyj,71934,high_conf_clean,0.0,NO,0.999,YES,0.347,NO,0.268,NO,1.0,YES,0.374,NO,0.498,CLEAN,0.67,2,,
oklhaSpP_QU,https://www.youtube.com/watch?v=oklhaSpP_QU,"Red, White, and Blue—Times Two! A Fourth of July printable game",familyfuneveryday,202,low_confidence,0.0,NO,0.238,NO,0.305,NO,0.5,ABSTAIN,0.331,NO,0.374,NO,0.291,CLEAN,0.417,0,,
9cIq0U47Ruw,https://www.youtube.com/watch?v=9cIq0U47Ruw,Tik Tok BREAKFAST HACKS YOU NEED to Try (These Actually Work),familyfudge,142530,low_confidence,0.953,YES,0.707,YES,0.305,NO,0.5,ABSTAIN,0.331,NO,0.374,NO,0.528,EXPLOITATIVE,0.383,2,,
7AFGRJYKI9s,https://www.youtube.com/watch?v=7AFGRJYKI9s,I BOUGHT A FARM 🐷🚜,piperrockellesquad,150333,low_confidence,0.953,YES,0.707,YES,0.305,NO,0.268,NO,0.5,ABSTAIN,0.374,NO,0.518,EXPLOITATIVE,0.404,2,,
PpETtTVYsRQ,https://www.youtube.com/watch?v=PpETtTVYsRQ,EXPOSING the Rock Squad's BIGGEST SECRETS!,funsquadfamily,1564390,high_conf_exploit,0.953,YES,0.707,YES,1.0,YES,0.268,NO,0.876,YES,0.999,YES,0.8,EXPLOITATIVE,0.756,5,,
lT2mbQSp6M4,https://www.youtube.com/watch?v=lT2mbQSp6M4,Mystery Wheel Trivia! Winter Survival Challenge,theadventurers,38263,random,1.0,YES,0.5,ABSTAIN,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.617,EXPLOITATIVE,0.432,2,,
KpKxhwy3pDg,https://www.youtube.com/watch?v=KpKxhwy3pDg,Disney Whisper Challenge,ohanaboys,38708,random,1.0,YES,0.238,NO,0.5,ABSTAIN,1.0,YES,0.331,NO,0.374,NO,0.574,EXPLOITATIVE,0.519,2,,
Gjm_omGsHWE,https://www.youtube.com/watch?v=Gjm_omGsHWE,WON'T BELIEVE How CLOSE The TIGER Was To Our BABY THEO... (!st Zoo Trip For Baby),johnsonsfam,46623,high_conf_clean,0.0,NO,1.0,YES,0.868,YES,0.268,NO,0.331,NO,0.374,NO,0.474,CLEAN,0.632,2,,
g_IZPVXKyZ4,https://www.youtube.com/watch?v=g_IZPVXKyZ4,Sneak Attack Squad Ninja Training,ninjakidztv,35514589,high_conf_exploit,0.999,YES,0.707,YES,0.5,ABSTAIN,1.0,YES,0.992,YES,0.374,NO,0.762,EXPLOITATIVE,0.608,4,,
NvJ2YFESUt4,https://www.youtube.com/watch?v=NvJ2YFESUt4,Coming Home After 2 Years... I Got Surprised,brockandboston,119764,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.999,YES,0.374,NO,0.491,CLEAN,0.684,2,,
-NndVU3Dh54,https://www.youtube.com/watch?v=-NndVU3Dh54,Top That! Challenge,theadventurers,42586,high_conf_exploit,1.0,YES,0.707,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.713,EXPLOITATIVE,0.623,4,,
K109wO4Ggdc,https://www.youtube.com/watch?v=K109wO4Ggdc,TOO BUSY For Her OWN BIRTHDAY!,shotofyeagers,1210848,high_conf_exploit,0.981,YES,1.0,YES,0.868,YES,0.268,NO,1.0,YES,0.374,NO,0.748,EXPLOITATIVE,0.735,4,,
XXX2r_dWU3A,https://www.youtube.com/watch?v=XXX2r_dWU3A,Kids Try to Build a Fishing Boat!,kidsdianashow,2042531,random,0.994,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.49,CLEAN,0.35,2,,
zTZTL7pKCTA,https://www.youtube.com/watch?v=zTZTL7pKCTA,THE OFFICIAL JOHNSON FAM LABOR and DELIVERY!,johnsonsfam,4695884,high_conf_clean,0.0,NO,1.0,YES,0.305,NO,0.268,NO,0.331,NO,1.0,YES,0.484,CLEAN,0.699,2,,
k6-7hYQqW4k,https://www.youtube.com/watch?v=k6-7hYQqW4k,What Reese Got For Christmas | The LeRoys,theleray,110458,random,0.751,YES,0.5,ABSTAIN,0.305,NO,0.268,NO,1.0,YES,0.374,NO,0.533,EXPLOITATIVE,0.435,2,,
THnpepUFr20,https://www.youtube.com/watch?v=THnpepUFr20,EMERGENCY School Kits for all our KIDS! 2025,ohanaadventure,126125,high_conf_exploit,0.981,YES,0.707,YES,0.305,NO,0.268,NO,0.945,YES,0.998,YES,0.701,EXPLOITATIVE,0.686,4,,
bbV02xEXoBs,https://www.youtube.com/watch?v=bbV02xEXoBs,Four Square Volleyball,thatyoutub3family,52092,random,0.0,NO,0.238,NO,0.305,NO,0.268,NO,0.331,NO,0.374,NO,0.253,CLEAN,0.495,0,,
2UjJ7hi7Sgk,https://www.youtube.com/watch?v=2UjJ7hi7Sgk,Her Special Day! Surprising Alyssa and Dallin | 24 hour trip to Utah,brockandboston,75662,random,0.0,NO,0.5,ABSTAIN,0.305,NO,0.999,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.467,CLEAN,0.398,1,,
W0h2TVxTH3g,https://www.youtube.com/watch?v=W0h2TVxTH3g,DECORATING GIRLS ROOM!,thesacconejolys,24604,low_confidence,0.0,NO,0.504,YES,0.305,NO,0.268,NO,0.501,YES,0.374,NO,0.325,CLEAN,0.353,2,,
tXhGmbtCDcg,https://www.youtube.com/watch?v=tXhGmbtCDcg,CUTEST BROTHER MOMENT EVER!!!,kkandbabyj,344191,high_conf_clean,0.001,NO,0.92,YES,0.305,NO,0.268,NO,0.331,NO,0.999,YES,0.471,CLEAN,0.672,2,,
EI6rU9ayylw,https://www.youtube.com/watch?v=EI6rU9ayylw,Most Tickets From The Arcade Wins! Family Activity Wars!,thatyoutub3family,35749,high_conf_exploit,0.985,YES,0.5,ABSTAIN,1.0,YES,1.0,YES,0.876,YES,0.374,NO,0.789,EXPLOITATIVE,0.662,4,,
D6QqQtJpEd0,https://www.youtube.com/watch?v=D6QqQtJpEd0,Esmé was NOT HAPPY about this! (Got Roasted!) Autumn & Halloween Shopping in Dubai!,inghamfamily,28926,high_conf_exploit,0.04,NO,1.0,YES,1.0,YES,0.268,NO,1.0,YES,0.5,ABSTAIN,0.635,EXPLOITATIVE,0.731,3,,
UaaVZhLGUDM,https://www.youtube.com/watch?v=UaaVZhLGUDM,THANKSGIVING MYSTERY WHEEL OF SLIME CHALLENGE!,onyxfamily,35889,random,1.0,YES,0.887,YES,0.305,NO,1.0,YES,0.67,YES,0.374,NO,0.706,EXPLOITATIVE,0.626,4,,
Bs1sjEPnxoo,https://www.youtube.com/watch?v=Bs1sjEPnxoo,NAVEY’s First Trick or Treat!! Adley & Niko run their Bluey Costumes across the neighborhood 4 candy,aforadley,23326332,low_confidence,0.398,NO,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.934,YES,0.5,ABSTAIN,0.555,EXPLOITATIVE,0.179,1,,
mukGoZK7Eo8,https://www.youtube.com/watch?v=mukGoZK7Eo8,Amanda the Adventurer IN OUR HOUSE After Midnight (ON A SCHOOL NIGHT!) (FGTeeV Gameplay),fgteev,34891797,high_conf_exploit,0.995,YES,0.707,YES,0.868,YES,0.268,NO,0.934,YES,0.374,NO,0.691,EXPLOITATIVE,0.621,4,,
CSG8lkXvJ6A,https://www.youtube.com/watch?v=CSG8lkXvJ6A,Stuff Happens! Ranking Painful Events! Family Game Night!,theadventurers,37703,high_conf_exploit,0.998,YES,0.895,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.744,EXPLOITATIVE,0.685,4,,
fKR12T8OgYI,https://www.youtube.com/watch?v=fKR12T8OgYI,Is Game Master Caught In The World’s Biggest Egg?! Giant Hatchimals Egg!!!,trinityandbeyond,7338718,high_conf_exploit,0.998,YES,0.895,YES,1.0,YES,0.268,NO,1.0,YES,0.374,NO,0.756,EXPLOITATIVE,0.75,4,,
056CpT4k2yU,https://www.youtube.com/watch?v=056CpT4k2yU,REAL LIFE ROUTINE | Sister Life | Annie Rose Ft. Lily Kate,annierose,164305,random,0.623,YES,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.5,ABSTAIN,0.521,EXPLOITATIVE,0.041,1,,
676P4xM2Dqg,https://www.youtube.com/watch?v=676P4xM2Dqg,Hoping For the Best! - Ollie's Broken Leg Update,dailybumps,347773,high_conf_exploit,0.0,NO,1.0,YES,0.5,ABSTAIN,0.268,NO,0.331,NO,0.999,YES,0.516,EXPLOITATIVE,0.633,2,,
-IeiIa7ijoA,https://www.youtube.com/watch?v=-IeiIa7ijoA,She Messed It Up... | Reuniting with Taylor and Kesley + Going Back To Utah Vlog,brockandboston,83299,low_confidence,0.0,NO,0.707,YES,0.5,ABSTAIN,0.268,NO,0.5,ABSTAIN,0.374,NO,0.391,CLEAN,0.355,1,,
II6bp21XA_o,https://www.youtube.com/watch?v=II6bp21XA_o,AVA sees how EVERLEIGH ROSE SOUTAS WINS FIRST PLACE AT DANCE COMPETITIONS!! Foreverandforava,everleighrose,621947,high_conf_exploit,0.995,YES,0.765,YES,0.868,YES,1.0,YES,0.331,NO,0.374,NO,0.722,EXPLOITATIVE,0.641,4,,
