id,title,channel_short_name,viewCount,performative,emotional_bait,narrative_conflict,challenge_format,commercial_content
qecVjvtamEw,THEY TURNED THE HOUSE INTO A GIANT BUBBLE BATH! **NO BUENO**,acefamily,1094488,1,1,0,0,0
kO5pNNTh9IU,OUR DOG ACE IS MISSING!!!,acefamily,866440,0,0,1,0,0
piqblGap92s,LOOK WHAT THEY DID TO ME... (TERRIBLE IDEA),acefamily,784381,1,1,1,0,0
1fHiDkBvRSk,CONGRATULATIONS DAD...,acefamily,826285,0,0,0,0,0
ike-P6qFAzs,THE DAY AFTER THE FIGHT!,acefamily,1437326,0,0,1,0,0
IkgFaBwItRc,IT'S FIGHT DAY!!!,acefamily,941067,0,1,1,0,0
bS4blcjlALc,CATHERINE WANTS TO FIGHT SOMEONE SEPTEMBER 10TH!!!,acefamily,606022,1,1,1,0,0
jVKfMSCaJA4,CATHERINE'S BIRTHDAY SPECIAL... **SURPRISING HER WITH A HELICOPTER**,acefamily,751526,0,1,1,0,0
0KqGn9YMDcg,OUR WEDDING IS CANCELED BECAUSE OF THIS...,acefamily,925816,0,1,1,0,0
vzaWr2XS8mY,THE KIDS CHANGED THE COLOR OF THE FAMOUS PINK TESLA!!!,acefamily,913193,0,1,1,0,0
oJDg3W0GA2E,YOU WON’T BELIEVE WHAT WE DID TO PULL HER TOOTH OUT…,acefamily,816105,0,1,1,0,0
N1PXjVdmMs4,WHY I NEED TO WIN...,acefamily,645265,1,1,0,0,1
tPmiRarJ2QI,THIS BROUGHT US TO TEARS....,acefamily,1153443,0,1,0,0,0
ov0OMhigk8U,IT'S CANCELED....**CAN'T BELIEVE IT**,acefamily,817649,0,1,0,0,0
0diE1tpFUps,I'VE NEVER SEEN CATHERINE IN THIS MUCH PAIN .... **DISLOCATED BACK**,acefamily,1711343,0,1,0,0,0
uS8a7KTaQxk,CATHERINE IS LEAVING US!!!,acefamily,1288532,0,1,0,0,0
_U2DvVpfDSA,OUR 2 YEAR OLDS BIRTHDAY PARTY WAS RUINED... **REALLY SAD**,acefamily,1498642,0,1,0,0,0
bWtEksCAGOA,TEACHING MY 6 YEAR OLD HOW TO DRIVE... **SHE CRASHED**,acefamily,960583,0,1,1,0,0
kcjWmj5sriM,"THAT'S IT, IM LEAVING...",acefamily,1581169,0,1,1,0,0
gsd7aOZwmJo,NEW PUPPY SURPRISE!!! **ADORABLE**,acefamily,1054999,0,1,1,0,0
cq1hI0Mmyic,ELLE'S 6TH BIRTHDAY PARTY SPECIAL!!! **EMOTIONAL**,acefamily,1973338,0,1,1,0,0
JDi3tldp97g,THE BEST BIRTHDAY SURPRISE SO FAR!!! **BRAND NEW CAR**,acefamily,1409022,0,1,1,0,0
W2CQG3A2-gk,YOU WON'T BELIEVE HOW MUCH MONEY THEY MADE FROM THEIR LEMONADE STAND!?!?,acefamily,909181,1,1,0,0,1
cPFQS-umd3k,WE GOT INTO A CAR ACCIDENT!!!,acefamily,1122091,0,1,0,0,0
W6IVxL1xtXw,OUR MORNING ROUTINE WITH THREE KIDS!!!,acefamily,2044038,0,0,0,0,0
C9GanXviuds,VISITED THE MOST EXPENSIVE PENTHOUSE IN LOS ANGELES...,acefamily,1021604,0,1,0,0,1
hYSZlrbEcpA,OUR OFFICIAL WEDDING DATE!!!,acefamily,1753263,0,0,0,0,0
hT9YmV6ccwE,THE ACE FAMILY'S NEW INTRO VIDEO!!! **AND SONG**,acefamily,1941289,1,1,0,0,0
VZIdo8reUb0,THIS SURPRISE WAS HORRIFYING...,acefamily,1123683,0,1,0,0,0
yDRwahq_iOw,CAN YOU GUESS WHAT YOUTUBE FAMILY IS MOVING IN!?!?,acefamily,1954123,0,1,0,0,0
RtLeQNGvKJ4,ELLE SNUCK OUR VLOG CAMERA INTO SCHOOL...AND FILMED THIS!,acefamily,1611872,0,1,0,0,0
xJiY3Zlpm78,THE END OF THE ACE FAMILY ON YOUTUBE...,acefamily,2173823,0,1,0,0,0
WV5b4a9yoak,WHICH BROTHER KNOWS US BETTER?!?!,acefamily,1363660,1,1,0,0,0
8M_VIlXFpSg,IT'S POSITIVE!!!,acefamily,2638611,0,0,0,0,0
MbmD5ZJGzGs,SHE ENDED UP TAKING A PREGNANCY TEST...,acefamily,1609763,0,1,1,0,0
8A2AoCg__d0,OUR BIGGEST ARGUMENT ON CAMERA...,acefamily,1731451,1,1,1,0,0
cuxi0cUGezo,INSANE GAME OF HIDE N SEEK IN OUR NEW HOUSE!!!,acefamily,1174591,1,1,1,0,0
KgXZB3p4T1M,WE LOST AN ACE FAMILY MEMBER... **THIS WAS HARD TO FILM**,acefamily,2811025,1,1,1,1,0
miJN6tghYcQ,WE KICKED HIM OUT OF OUR HOUSE...,acefamily,1343523,0,1,1,0,0
9zMxb17DMUM,CONFRONTING MY DAUGHTER ABOUT A BOY!!! **SHE WAS SHOOK**,acefamily,1619498,0,1,1,0,0
cIwO_6jHPq0,I PUT PERIOD BLOOD ON MY HUSBANDS FACE!!! **HE FREAKED OUT**,acefamily,2284953,1,1,1,0,0
Y3ODF7TwtoM,WHO IS THE BETTER COOK??? OUR CHEF IS THE JUDGE!!! **AUSTIN BURNED HIS HAND**,acefamily,2840308,0,1,1,0,0
FqBKxIAeWcc,SURPRISING MY FAMILY WITH A BRAND NEW WHIP!,acefamily,1634893,0,1,1,0,0
IC87dy1Nj5Q,WE FOUND A SECRET DOOR IN OUR NEW HOUSE!,acefamily,2228633,0,1,0,0,1
JEQLyFFDAMQ,WHO DOES OUR 5 YEAR OLD KNOW BETTER?!?! **GENIUS KID**,acefamily,2185380,0,1,0,0,1
Wh2DrG1bE9I,THE ACE FAMILY CHRISTMAS SPECIAL 2021!!!,acefamily,3397969,0,0,0,0,0
Ksk_K5PgMZM,OUR DOG FINALLY CAME HOME...AND LOOK WHAT HAPPENED!!!,acefamily,1613827,0,1,0,0,0
u5JF_Y5mZBI,"""I GOT PULLED OVER BY THE POLICE...I NEED YOU TO ACT PREGNANT"" *HILARIOUS*",acefamily,2132389,0,1,0,0,0
RsdGGeDWl_Q,OUR NEW HOUSE TOUR! *EXCLUSIVE*,acefamily,4615843,0,1,0,0,0
xkhq3T6aw6Q,WE HAVE TO LET OUR DOG GO...,acefamily,1631029,0,1,0,0,0
v_9jZ8R9VRA,LAST DAY AT THE ACE FAMILY HOUSE! **BYE FOREVER**,acefamily,3156669,0,1,0,0,0
Ud5xlPGK09w,OUR HOUSE STORY...,acefamily,5069300,0,1,0,0,0
6vCKDCzQiCY,ELLE LOSES HER FIRST TOOTH! *EMOTIONAL REACTION*,acefamily,1324538,1,1,0,0,0
nym4bePhOOw,THE ACE FAMILY HALLOWEEN SPECIAL!,acefamily,1733907,0,0,0,0,0
STpi_bjI9v4,ALAÏA'S 3rd BIRTHDAY PARTY SPECIAL!!!,acefamily,2719203,0,1,0,0,0
VDZ7_PUKseA,REVEALING MY NEW BODY! (MOMMY MAKEOVER),acefamily,3921992,0,1,0,0,0
pb355BKsY4I,OUR NEW DOG GOT A MAKEOVER! **ADORABLE**,acefamily,2149025,0,0,0,0,0
xyhEPeoPYpE,DROPPING ELLE OFF AT SCHOOL IN A LAMBORGHINI!,acefamily,2031655,0,0,0,0,0
VgN0xS7yEg0,ALAIA'S FIRST DAY OF SCHOOL!!! (THE CUTEST BABY STUDENT),acefamily,1945214,0,1,0,0,0
gJMyBTkZZdg,OUR NEW DOG BIT OUR BABY! **SCARY MOMENT**,acefamily,3056641,0,1,0,0,0
Cgogkk9zZ0Y,WELCOMING THE FIRST ACE FAMILY DOG!!!,acefamily,3057012,0,0,0,0,0
Nwx5v9CDDW4,ELLE CALLS FROM SCHOOL CRYING... **SAD DAY**,acefamily,5620405,0,1,1,0,0
DEYkgx750NI,ELLE'S OFFICIAL FIRST DAY OF SCHOOL!,acefamily,3305707,0,0,0,0,0
iSPVv0YaKZY,CATHERINE'S 31st BIRTHDAY SPECIAL!,acefamily,2641918,0,0,0,0,0
DRiQ-Om-DWs,I BROKE A BONE... *BAD NEWS*,acefamily,1350734,0,0,0,0,0
c0vqKd78GPw,THE ACE FAMILY BREAKUP,acefamily,3539284,0,0,1,0,0
gtYZ_lA9ne0,This Celebrity DMed Me And This Was Catherine's Reaction!,acefamily,1509724,0,0,0,1,0
y-FgSKUffBQ,Letting Our Tesla DECIDE What We EAT For 24 Hours!  (SELF DRIVE),acefamily,3009061,0,0,0,1,0
hvdLCxatzUM,24 HOURS AS A MERMAID CHALLENGE!!! **HAWAII VACATION**,acefamily,1773460,0,0,0,1,0
PMsG-lKEmPk,OUR KIDS REACT TO THEIR BIRTH VIDEOS!!! **TOO CUTE**,acefamily,2691679,0,0,0,1,0
EUmH_kK5C4k,SPIN THE WHEEL CHALLENGE...SHE REALLY DID IT!!! (OMG),acefamily,1936469,0,0,0,1,0
CUdONzxaTu8,HUGE TEDDY BEAR PRANK ON STEEL BOY!!!,acefamily,2561285,1,1,0,0,0
c4dYLxq-jYM,HOW WELL DO WE KNOW OUR DAUGHTERS???,acefamily,3457767,0,0,0,0,0
YdcuFdIthA4,LAST PERSON STANDING...,acefamily,1742832,0,0,0,0,0
kTbNhNtTqMA,THE KIDS FILMED THE ENTIRE VLOG BY THEMSELVES!!!,acefamily,2166839,1,1,0,1,0
UIGrQbtZueQ,STEEL BOYS 1ST BIRTHDAY PARTY SPECIAL!!!,acefamily,4259509,0,0,0,0,0
ZvAgUj_p31U,THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,acefamily,6814769,0,0,0,0,0
narePQAJw80,GOODBYE...,acefamily,3428170,0,0,0,0,0
w-YcuwZerdk,ELLE'S 5TH BIRTHDAY PARTY SPECIAL! **EMOTIONAL**,acefamily,4973681,0,1,0,0,0
K5byYX4k2TY,SOMETHING I HAVE TO SAY...,acefamily,2971479,0,0,0,0,0
ARlIjH0ij7c,LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT!!! **FAMILY EDITON ON A GOLF CART**,acefamily,5068890,0,0,0,0,0
yYkBER4fM-I,WE'RE MOVING TO MIAMI...,acefamily,2196402,-1,0,0,0,0
GBnDOueMKJ0,TELLING MY DAD I'M PREGNANT WITH BABY #4!!!,acefamily,4404146,1,1,1,0,0
saMsJ-v2hUw,TRANSFORMING MY DAUGHTERS INTO ME FOR THE DAY!!! **TOO ADORABLE**,acefamily,4014876,1,0,0,0,0
YEY_XYAqVag,THIS IS PAINFUL...,acefamily,2114774,0,0,0,0,0
YhboA2oo8pw,TRANSFORMING MY SON INTO ME FOR THE DAY!!! **HILARIOUS FAMILY REACTION**,acefamily,3802273,1,0,0,0,0
f5wnRAnZv_4,THEY DID NOT EXPECT THE REAL EASTERN BUNNY TO SHOW UP...,acefamily,2208086,0,0,0,0,0
EKDcjU2k_8Y,ONLY 9 MONTHS OLD...,acefamily,2520142,0,0,0,0,0
lpSUrHPxSsQ,IT'S BEEN OVER A YEAR... *EMOTIONAL*,acefamily,2969033,0,1,0,0,0
ZTaX6wJMuKQ,LOOK WHAT THEY DID TO THEIR BABY BROTHER...,acefamily,3066415,0,0,0,0,0
ZpbZhfxmSTI,SHE REALLY ATE AN EDIBLE! (HER FIRST TIME),acefamily,3991944,0,1,0,0,0
xO1_JJnh1vs,WHO WANTS TO BUY THE OLD ACE FAMILY HOUSE!?!?,acefamily,3120649,0,1,0,0,0
EOgOEQJBdsU,WE SURPRISED EACH OTHER FOR VALENTINES DAY...,acefamily,3116265,0,1,0,0,0
5JoMNyynQqQ,THE ACE FAMILY'S NEW INTRO VIDEO!!!,acefamily,3216834,0,0,0,0,0
htb7k7weNBw,THESE ARE MY SEXIEST OUTFITS!!!,acefamily,2824987,0,1,0,0,0
2wmJOZNzeDE,MY HUSBANDS REACTION TO GETTING MY LIPS DONE!!!,acefamily,3178140,0,1,0,0,0
BX_A9MLgBvU,WHY WE WON’T HAVE ANOTHER BABY...,acefamily,3779453,0,0,0,0,0
fIZ7gGz7ARk,BYE LA...WE'RE MOVING TO MEXICO!!!,acefamily,4724604,0,0,0,0,0
puxjOc92kG8,TATTOOING MY SON'S NAME ON MY FACE!!!,acefamily,2676359,1,0,1,0,0
m5kOHTttWEk,GOOD BYE...OUR LAST VIDEO ON YOUTUBE!,acefamily,2975541,1,0,0,0,0
RItR1fugq4c,THE ACE FAMILY CHRISTMAS SPECIAL 2020!!!,acefamily,4818210,1,1,0,0,0
FiFfD2HyvOo,SURPRISING MY WIFE WITH THIS...MERRY CHRISTMAS BEBE!!!,acefamily,3552314,0,0,0,0,0
wg2WRKEkI7w,SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,acefamily,3427462,0,0,0,0,0
7tI9t5aopao,NEVER GOING ON OMEGLE AGAIN!,acefamily,2962688,0,0,0,0,0
GFoLacjWdF0,THE ACE FAMILY'S NEW INTRO VIDEO!!!,acefamily,3849907,0,0,0,0,0
6PShU7Nf0qk,EVERY COUPLE SHOULD DO THIS...,acefamily,3542949,0,0,0,0,0
vXTTbV1jH98,HERE IT IS...,acefamily,2968554,0,0,0,0,0
_uSu93Ig1I8,HOW WELL DO YOU KNOW ME!?!?,acefamily,3834603,0,0,0,0,0
0WaW951rGAs,THEY DIDN'T THINK I WOULD ACTUALLY DO IT...,acefamily,3863038,0,0,0,0,0
LhDW7n4TAAM,CATHERINE TRIED TO CUT OUR SON'S HAIR...AND RUINED IT!!!,acefamily,3801907,0,0,0,0,0
Qc9yiDQmTsI,I DROPPED THE BABY... *SORRY CATHERINE*,acefamily,5083635,0,0,0,0,0
PQrJ4F6dcC4,A DAY IN THE LIFE WITH ELLE,acefamily,3537573,0,0,0,0,0
2dLE4Nn6-ug,WE WENT TO THERAPY...,acefamily,4632937,1,1,0,0,0
iCJsYBtFJzs,ALAÏA'S 2nd BIRTHDAY PARTY SPECIAL!!!,acefamily,6235806,1,1,0,0,0
d56cdV8yZNQ,A DAY IN THE LIFE WITH CATHERINE,acefamily,7182248,0,0,0,0,0
fcz31UkJk4k,THE ACE FAMILY HOUSE FOR SALE???,acefamily,3395145,0,0,0,0,0
paWPTGavBZw,THEY'RE OBSESSED WITH HIM...,acefamily,4638523,0,1,0,0,0
dnW6CqFWO1I,SHE COULDN'T WAIT ANY LONGER...BABY NUMBER 4!???,acefamily,4765661,0,1,0,0,0
j3L1TED78Kw,SURPRISING CATHERINE WITH THE MOST EXPENSIVE GIFT YET!,acefamily,3749455,1,1,0,0,0
squqHIoFdJ4,THIS SHOWED UP AT THE ACE FAMILY HOUSE...,acefamily,3799754,0,1,0,0,0
AmtrhZPo7No,REACTING TO OUR 4 YEAR OLD DAUGHTER'S TIKTOKS! (SHOCKING),acefamily,12716584,0,1,0,0,0
-hAaThmKnaM,CATHERINE'S 30TH BIRTHDAY SPECIAL!,acefamily,4882884,0,1,0,0,0
4RdQ6wSDCfE,HAPPY EARLY BIRTHDAY BABE...,acefamily,3938106,0,0,0,0,0
AMXT1ok5UBg,THIS IS THE END.,acefamily,4782084,0,0,0,0,0
IwefQteSuQQ,"""DID YOU REALLY PUT YOUR BREAST MILK IN MY CEREAL???""",acefamily,7425602,0,1,0,0,0
0fa1kA5bnW4,OUR NEW FAMILY BUSINESS...,acefamily,4353807,0,0,0,0,1
ebiHgUlEXy4,WE FOUND A NEW HOME! (HOUSE TOUR),acefamily,8010707,0,0,0,0,1
TtSVsRHHWj0,Recreating VIRAL TikTok challenge...,acefamily,3836502,0,0,0,0,0
fkrqg_Odmho,AUSTIN'S GETTING LIFE CHANGING SURGERY....,acefamily,4602120,1,0,0,1,0
DkIQXD3EAI0,DON'T COME TO THE ACE FAMILY HOUSE...,acefamily,6039001,0,0,0,0,0
7jYlu2o4aKY,THIS BROUGHT US TO TEARS...,acefamily,5748518,0,0,0,0,0
dIAMibmpgSg,BABYSITTING NEWBORN BROTHER ALONE...YOU WON'T BELIEVE WHAT THEY DID!!! **HIDDEN CAMERA**,acefamily,7256272,0,1,0,0,0
vz0YY2DmAx4,STEELS FIRST OFFICIAL PHOTOSHOOT!!! **THE CUTEST NEWBORN PHOTOS**,acefamily,7606433,0,1,0,0,0
jCVZZ-wPMBk,BABY NAME REVEAL!!! **IS THE ACE FAMILY NAME CHANGING?**,acefamily,10018456,1,0,0,0,0
Jvr_w9-1bKE,ELLE AND ALAÏA MEET THEIR NEWBORN BROTHER!!! **ADORABLE**,acefamily,11378063,1,0,0,0,0
JQZLV4qJ0yo,HE'S FINALLY HERE...EVERYONE MEET OUR BABY BOY!!!,acefamily,11390776,1,0,0,0,0
tJvCygyNH4I,THE ACE FAMILY OFFICIAL LABOR AND DELIVERY!!!,acefamily,14906864,1,0,0,0,0
qOYx4EkgkuY,CATHERINE'S IN LABOR!!!,acefamily,15369476,1,0,0,0,0
TiaAa3jB2Q4,ON THE WAY...,acefamily,5951553,1,0,0,0,0
kLCfnBuNS3w,THE ACE FAMILY BABY MOMMA DANCE! (TRYING TO GO INTO LABOR),acefamily,6764522,1,0,0,0,0
q-bNNtl3oPI,WE JUST FOUND THIS OUT...,acefamily,4768457,1,0,0,0,0
oSQfrreuXRg,ELLE'S 4TH BIRTHDAY PARTY SPECIAL!,acefamily,9464160,1,0,0,0,0
RfS0GKrZCgU,I CAME HOME TO THIS...,acefamily,6380824,1,0,0,0,0
yJ-6k8VZIAQ,SURPRISING AUSTIN FOR HIS 28TH BIRTHDAY! **EMOTIONAL**,acefamily,7231665,1,1,0,0,0
y33_PFRM86w,CATHERINE MIGHT BE HAVING BABY BOY EARLY.,acefamily,5557780,0,0,0,0,0
nleIHdsoZgo,SHE SAID THIS WAS THE BEST SURPRISE SO FAR... **HAPPY MOTHER'S DAY**,acefamily,7321342,0,1,0,0,0
cKoJJMyMmG0,"""I TOLD YOU I WASN'T FEELING WELL""...",acefamily,7561813,0,0,0,0,0
QvXxzzm6ke0,THEY GOT INTO THEIR FIRST FIGHT!,acefamily,6786084,0,0,1,0,0
1l3w377zKeA,THIS REALLY HAPPENED...,acefamily,4386100,0,0,0,0,0
M2AsFsUk2G4,WE'RE LEAVING...,acefamily,6232308,0,0,0,0,0
siQITupIIvk,WE DID NOT WANT TO DO THIS!,acefamily,7798303,0,0,0,0,0
fopD_Rtgpqg,WE HAVE A PROBLEM...CATHERINE CAN'T WALK.,acefamily,11576131,0,0,0,0,0
l8y0krN3hc4,WE’VE NEVER SEEN THIS BEFORE...,acefamily,4477597,0,0,0,0,0
JQ1oXaYSIic,WE MADE OUR OWN PREGNANCY BELLY CAST!,acefamily,6248616,1,0,0,0,0
P7Pba2-j5AQ,OUR NEW ADDRESS GOT LEAKED ON TIKTOK.,acefamily,5120352,0,0,0,0,0
kW3t54n4I5M,CATHERINE WAS IN SHOCK TO FIND THIS OUT...,acefamily,5414987,0,0,0,0,1
alOwWr7NsIk,OUR MORNING ROUTINE IN QUARANTINE.,acefamily,9188844,0,0,0,0,0
2g4VL8jCvp8,FOR OUR SON...,acefamily,5085224,0,0,0,0,0
hO-EmlH70ns,PREPARING FOR HOME WATER BIRTH...,acefamily,7501397,0,0,0,0,0
92SyEub5d8g,THIS WAS A HORRIBLE IDEA!!! **CAUGHT**,acefamily,4577956,0,0,0,0,1
rc7-MQJeEuU,THE ULTIMATE YOGA CHALLENGE.,acefamily,4011817,1,1,0,0,0
Ecz5cEtpxpE,THEY DID NOT EXPECT THIS SURPRISE!!!,acefamily,4542349,0,1,0,0,0
QYPKXRD_zyM,YOU WON’T BELIEVE WHO OUR SON LOOKS LIKE... **4D ULTRASOUND**,acefamily,4161313,0,1,0,0,0
hqp7K4ipr1s,CATHERINE CRIED WATCHING THIS VIDEO... (LYRIC VIDEO FOR ONLY ONE),acefamily,3003747,0,1,0,0,0
QVCKPGiiwUg,ONLY ONE ( OFFICIAL MUSIC VIDEO ),acefamily,6519829,0,1,0,0,0
02xf1i0qPr8,BEHIND THE SCENES OF THE ACE FAMILY NEW MUSIC VIDEO!!! ( ONLY ONE ),acefamily,2485090,0,1,0,0,0
v7XzmFagRz4,DADDY PRANKS KIDS WITH HUGE TEDDY BEAR!!! **THEODORE IS BACK**,acefamily,5126177,0,1,0,0,0
vWtvdjK2Mwo,THE ACE FAMILY'S NEW INTRO VIDEO!!! **AND SONG**,acefamily,6502575,0,1,0,0,0
ntET6hy6DQ0,WE WEREN'T PREPARED FOR THIS...,acefamily,3697572,0,1,0,0,0
lIe_NQlhmuY,WEARING A BUTT IMPLANT TO SEE HOW MY HUSBAND REACTS!!! **HILARIOUS**,acefamily,7524949,0,1,0,0,0
SVdFMZnHgEU,WE CAUGHT ELLE DOING THIS!!! **ONLY 3 YEARS OLD**,acefamily,5216335,0,1,0,0,0
l3_sEhYBErw,SURPRISING MY PREGNANT WIFE FOR VALENTINES DAY!!!,acefamily,5325176,0,1,0,0,0
7xuGI7xO_cQ,WIFE SURPRISES ME WITH VALENTINES DAY OUTFITS!!! **UNBELIEVABLE**,acefamily,3623612,1,1,0,0,0
QFjDUpMQPRM,CAN'T BELIEVE WE WALKED IN ON THIS...,acefamily,7490850,0,1,0,0,0
Hvd8RNd2rwU,SAYING GOODBYE...,acefamily,3947934,0,0,0,0,0
jsdib-z2E3M,WE CAN'T KEEP THIS A SECRET ANY LONGER!!!,acefamily,4600402,0,1,0,0,0
XI9Sx528pk4,HUSBAND TRIES TO BE PREGNANT FOR THE DAY!!! **HILARIOUS**,acefamily,7047180,1,1,0,0,0
sNJwDC1XhVI,PICKING OUR BABY’S NAME OUT OF A HAT!!!,acefamily,5680306,0,0,0,0,0
J24JMmT2b5c,WE CAN’T BELIEVE THIS IS OUR SON'S DUE DATE!!!,acefamily,6187618,0,0,0,0,0
98_xoxVjwOQ,WE GOT MARRIED... (THE TRUTH),acefamily,7858405,0,0,0,0,0
lUHqs3iPq5A,SURPRISING MY HUSBAND WITH THE GENDER OF OUR BABY!!!,acefamily,11819135,0,1,0,0,0
SwazWU-GnOA,OUR UNBORN SON...,acefamily,10459875,0,0,0,0,0
rgw_I9Z05No,OUR FIRST TWO PREGNANCIES..... **EXCLUSIVE FOOTAGE**,acefamily,5078200,0,0,0,0,0
9H7JV-nHMAE,ELLE GOT IN TROUBLE FOR THIS...,acefamily,6326649,0,0,1,0,0
5YxwIRHUMik,CATHERINE SURPRISES HUSBAND WITH HER FIRST TATTOO.,acefamily,4956149,0,0,0,0,0
aDZSAvmiP7o,WIFE SMASHES THE WRONG MYSTERY BOX...,acefamily,4579259,0,0,0,0,0
26x_uWD8uz0,THE ACE FAMILY HOLIDAY PHOTOSHOOT!!! **ADORABLE**,acefamily,3717683,1,1,0,0,0
FN_kt5UBIRw,WE SOLD OUR YOUTUBE DIAMOND PLAY BUTTON!?!?,acefamily,2853135,0,0,0,1,0
X5Tg_FInCg0,"ANYTHING MY WIFE CAN CARRY, ILL BUY IT CHALLENGE!!! **IMPRESSIVE**",acefamily,4851320,1,1,0,0,0
QXY8H9iZrfo,SURPRISING ELLE WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTION**,acefamily,5845052,0,1,0,0,0
