title,viewCount,channel_short_name,cluster
LOOK WHAT THEY DID TO ME... (TERRIBLE IDEA),784381.0,acefamily,12
CONGRATULATIONS DAD...,826285.0,acefamily,12
THE DAY AFTER THE FIGHT!,1437326.0,acefamily,12
IT'S FIGHT DAY!!!,941067.0,acefamily,12
CATHERINE WANTS TO FIGHT SOMEONE SEPTEMBER 10TH!!!,606022.0,acefamily,5
CATHERINE'S BIRTHDAY SPECIAL... **SURPRISING HER WITH A HELICOPTER**,751526.0,acefamily,5
OUR WEDDING IS CANCELED BECAUSE OF THIS...,925816.0,acefamily,12
THE KIDS CHANGED THE COLOR OF THE FAMOUS PINK TESLA!!!,913193.0,acefamily,5
YOU WON’T BELIEVE WHAT WE DID TO PULL HER TOOTH OUT…,816105.0,acefamily,12
WHY I NEED TO WIN...,645265.0,acefamily,12
THIS BROUGHT US TO TEARS....,1153443.0,acefamily,12
IT'S CANCELED....**CAN'T BELIEVE IT**,817649.0,acefamily,12
I'VE NEVER SEEN CATHERINE IN THIS MUCH PAIN .... **DISLOCATED BACK**,1711343.0,acefamily,5
CATHERINE IS LEAVING US!!!,1288532.0,acefamily,12
OUR 2 YEAR OLDS BIRTHDAY PARTY WAS RUINED... **REALLY SAD**,1498642.0,acefamily,4
TEACHING MY 6 YEAR OLD HOW TO DRIVE... **SHE CRASHED**,960583.0,acefamily,5
"THAT'S IT, IM LEAVING...",1581169.0,acefamily,12
NEW PUPPY SURPRISE!!! **ADORABLE**,1054999.0,acefamily,1
ELLE'S 6TH BIRTHDAY PARTY SPECIAL!!! **EMOTIONAL**,1973338.0,acefamily,5
THE BEST BIRTHDAY SURPRISE SO FAR!!! **BRAND NEW CAR**,1409022.0,acefamily,4
YOU WON'T BELIEVE HOW MUCH MONEY THEY MADE FROM THEIR LEMONADE STAND!?!?,909181.0,acefamily,3
WE GOT INTO A CAR ACCIDENT!!!,1122091.0,acefamily,12
OUR MORNING ROUTINE WITH THREE KIDS!!!,2044038.0,acefamily,4
VISITED THE MOST EXPENSIVE PENTHOUSE IN LOS ANGELES...,1021604.0,acefamily,12
OUR OFFICIAL WEDDING DATE!!!,1753263.0,acefamily,4
THE ACE FAMILY'S NEW INTRO VIDEO!!! **AND SONG**,1941289.0,acefamily,5
THIS SURPRISE WAS HORRIFYING...,1123683.0,acefamily,12
CAN YOU GUESS WHAT YOUTUBE FAMILY IS MOVING IN!?!?,1954123.0,acefamily,5
ELLE SNUCK OUR VLOG CAMERA INTO SCHOOL...AND FILMED THIS!,1611872.0,acefamily,5
THE END OF THE ACE FAMILY ON YOUTUBE...,2173823.0,acefamily,5
WHICH BROTHER KNOWS US BETTER?!?!,1363660.0,acefamily,5
IT'S POSITIVE!!!,2638611.0,acefamily,12
SHE ENDED UP TAKING A PREGNANCY TEST...,1609763.0,acefamily,1
OUR BIGGEST ARGUMENT ON CAMERA...,1731451.0,acefamily,12
INSANE GAME OF HIDE N SEEK IN OUR NEW HOUSE!!!,1174591.0,acefamily,9
WE LOST AN ACE FAMILY MEMBER... **THIS WAS HARD TO FILM**,2811025.0,acefamily,5
WE KICKED HIM OUT OF OUR HOUSE...,1343523.0,acefamily,12
CONFRONTING MY DAUGHTER ABOUT A BOY!!! **SHE WAS SHOOK**,1619498.0,acefamily,5
I PUT PERIOD BLOOD ON MY HUSBANDS FACE!!! **HE FREAKED OUT**,2284953.0,acefamily,12
WHO IS THE BETTER COOK??? OUR CHEF IS THE JUDGE!!! **AUSTIN BURNED HIS HAND**,2840308.0,acefamily,3
SURPRISING MY FAMILY WITH A BRAND NEW WHIP!,1634893.0,acefamily,12
WE FOUND A SECRET DOOR IN OUR NEW HOUSE!,2228633.0,acefamily,12
WHO DOES OUR 5 YEAR OLD KNOW BETTER?!?! **GENIUS KID**,2185380.0,acefamily,1
THE ACE FAMILY CHRISTMAS SPECIAL 2021!!!,3397969.0,acefamily,4
OUR DOG FINALLY CAME HOME...AND LOOK WHAT HAPPENED!!!,1613827.0,acefamily,12
"""I GOT PULLED OVER BY THE POLICE...I NEED YOU TO ACT PREGNANT"" *HILARIOUS*",2132389.0,acefamily,1
OUR NEW HOUSE TOUR! *EXCLUSIVE*,4615843.0,acefamily,4
WE HAVE TO LET OUR DOG GO...,1631029.0,acefamily,12
LAST DAY AT THE ACE FAMILY HOUSE! **BYE FOREVER**,3156669.0,acefamily,4
OUR HOUSE STORY...,5069300.0,acefamily,12
ELLE LOSES HER FIRST TOOTH! *EMOTIONAL REACTION*,1324538.0,acefamily,5
THE ACE FAMILY HALLOWEEN SPECIAL!,1733907.0,acefamily,4
ALAÏA'S 3rd BIRTHDAY PARTY SPECIAL!!!,2719203.0,acefamily,4
REVEALING MY NEW BODY! (MOMMY MAKEOVER),3921992.0,acefamily,1
OUR NEW DOG GOT A MAKEOVER! **ADORABLE**,2149025.0,acefamily,1
DROPPING ELLE OFF AT SCHOOL IN A LAMBORGHINI!,2031655.0,acefamily,5
ALAIA'S FIRST DAY OF SCHOOL!!! (THE CUTEST BABY STUDENT),1945214.0,acefamily,4
OUR NEW DOG BIT OUR BABY! **SCARY MOMENT**,3056641.0,acefamily,1
WELCOMING THE FIRST ACE FAMILY DOG!!!,3057012.0,acefamily,4
ELLE CALLS FROM SCHOOL CRYING... **SAD DAY**,5620405.0,acefamily,5
ELLE'S OFFICIAL FIRST DAY OF SCHOOL!,3305707.0,acefamily,5
CATHERINE'S 31st BIRTHDAY SPECIAL!,2641918.0,acefamily,4
I BROKE A BONE... *BAD NEWS*,1350734.0,acefamily,12
THE ACE FAMILY BREAKUP,3539284.0,acefamily,5
This Celebrity DMed Me And This Was Catherine's Reaction!,1509724.0,acefamily,5
Letting Our Tesla DECIDE What We EAT For 24 Hours!  (SELF DRIVE),3009061.0,acefamily,3
24 HOURS AS A MERMAID CHALLENGE!!! **HAWAII VACATION**,1773460.0,acefamily,9
OUR KIDS REACT TO THEIR BIRTH VIDEOS!!! **TOO CUTE**,2691679.0,acefamily,1
SPIN THE WHEEL CHALLENGE...SHE REALLY DID IT!!! (OMG),1936469.0,acefamily,9
HUGE TEDDY BEAR PRANK ON STEEL BOY!!!,2561285.0,acefamily,11
HOW WELL DO WE KNOW OUR DAUGHTERS???,3457767.0,acefamily,5
LAST PERSON STANDING...,1742832.0,acefamily,12
THE KIDS FILMED THE ENTIRE VLOG BY THEMSELVES!!!,2166839.0,acefamily,5
STEEL BOYS 1ST BIRTHDAY PARTY SPECIAL!!!,4259509.0,acefamily,4
THIS IS WHAT REALLY HAPPENED!!! **OFFICIAL VIDEO**,6814769.0,acefamily,12
GOODBYE...,3428170.0,acefamily,12
ELLE'S 5TH BIRTHDAY PARTY SPECIAL! **EMOTIONAL**,4973681.0,acefamily,5
SOMETHING I HAVE TO SAY...,2971479.0,acefamily,12
LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT!!! **FAMILY EDITON ON A GOLF CART**,5068890.0,acefamily,3
WE'RE MOVING TO MIAMI...,2196402.0,acefamily,12
TELLING MY DAD I'M PREGNANT WITH BABY #4!!!,4404146.0,acefamily,1
TRANSFORMING MY DAUGHTERS INTO ME FOR THE DAY!!! **TOO ADORABLE**,4014876.0,acefamily,1
THIS IS PAINFUL...,2114774.0,acefamily,12
TRANSFORMING MY SON INTO ME FOR THE DAY!!! **HILARIOUS FAMILY REACTION**,3802273.0,acefamily,1
THEY DID NOT EXPECT THE REAL EASTERN BUNNY TO SHOW UP...,2208086.0,acefamily,5
ONLY 9 MONTHS OLD...,2520142.0,acefamily,1
IT'S BEEN OVER A YEAR... *EMOTIONAL*,2969033.0,acefamily,12
LOOK WHAT THEY DID TO THEIR BABY BROTHER...,3066415.0,acefamily,1
SHE REALLY ATE AN EDIBLE! (HER FIRST TIME),3991944.0,acefamily,3
WHO WANTS TO BUY THE OLD ACE FAMILY HOUSE!?!?,3120649.0,acefamily,4
WE SURPRISED EACH OTHER FOR VALENTINES DAY...,3116265.0,acefamily,4
THE ACE FAMILY'S NEW INTRO VIDEO!!!,3216834.0,acefamily,2
THESE ARE MY SEXIEST OUTFITS!!!,2824987.0,acefamily,6
MY HUSBANDS REACTION TO GETTING MY LIPS DONE!!!,3178140.0,acefamily,12
WHY WE WON’T HAVE ANOTHER BABY...,3779453.0,acefamily,1
BYE LA...WE'RE MOVING TO MEXICO!!!,4724604.0,acefamily,12
TATTOOING MY SON'S NAME ON MY FACE!!!,2676359.0,acefamily,12
GOOD BYE...OUR LAST VIDEO ON YOUTUBE!,2975541.0,acefamily,12
THE ACE FAMILY CHRISTMAS SPECIAL 2020!!!,4818210.0,acefamily,4
SURPRISING MY WIFE WITH THIS...MERRY CHRISTMAS BEBE!!!,3552314.0,acefamily,4
SURPRISING OUR KIDS WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTIONS**,3427462.0,acefamily,4
NEVER GOING ON OMEGLE AGAIN!,2962688.0,acefamily,12
THE ACE FAMILY'S NEW INTRO VIDEO!!!,3849907.0,acefamily,2
EVERY COUPLE SHOULD DO THIS...,3542949.0,acefamily,5
HERE IT IS...,2968554.0,acefamily,12
HOW WELL DO YOU KNOW ME!?!?,3834603.0,acefamily,12
THEY DIDN'T THINK I WOULD ACTUALLY DO IT...,3863038.0,acefamily,12
CATHERINE TRIED TO CUT OUR SON'S HAIR...AND RUINED IT!!!,3801907.0,acefamily,5
I DROPPED THE BABY... *SORRY CATHERINE*,5083635.0,acefamily,1
A DAY IN THE LIFE WITH ELLE,3537573.0,acefamily,5
WE WENT TO THERAPY...,4632937.0,acefamily,12
ALAÏA'S 2nd BIRTHDAY PARTY SPECIAL!!!,6235806.0,acefamily,4
A DAY IN THE LIFE WITH CATHERINE,7182248.0,acefamily,5
THE ACE FAMILY HOUSE FOR SALE???,3395145.0,acefamily,4
THEY'RE OBSESSED WITH HIM...,4638523.0,acefamily,5
SHE COULDN'T WAIT ANY LONGER...BABY NUMBER 4!???,4765661.0,acefamily,1
SURPRISING CATHERINE WITH THE MOST EXPENSIVE GIFT YET!,3749455.0,acefamily,4
THIS SHOWED UP AT THE ACE FAMILY HOUSE...,3799754.0,acefamily,5
REACTING TO OUR 4 YEAR OLD DAUGHTER'S TIKTOKS! (SHOCKING),12716584.0,acefamily,1
CATHERINE'S 30TH BIRTHDAY SPECIAL!,4882884.0,acefamily,4
HAPPY EARLY BIRTHDAY BABE...,3938106.0,acefamily,1
THIS IS THE END.,4782084.0,acefamily,12
"""DID YOU REALLY PUT YOUR BREAST MILK IN MY CEREAL???""",7425602.0,acefamily,3
OUR NEW FAMILY BUSINESS...,4353807.0,acefamily,4
WE FOUND A NEW HOME! (HOUSE TOUR),8010707.0,acefamily,4
Recreating VIRAL TikTok challenge...,3836502.0,acefamily,9
AUSTIN'S GETTING LIFE CHANGING SURGERY....,4602120.0,acefamily,12
DON'T COME TO THE ACE FAMILY HOUSE...,6039001.0,acefamily,5
THIS BROUGHT US TO TEARS...,5748518.0,acefamily,12
BABYSITTING NEWBORN BROTHER ALONE...YOU WON'T BELIEVE WHAT THEY DID!!! **HIDDEN CAMERA**,7256272.0,acefamily,1
STEELS FIRST OFFICIAL PHOTOSHOOT!!! **THE CUTEST NEWBORN PHOTOS**,7606433.0,acefamily,1
BABY NAME REVEAL!!! **IS THE ACE FAMILY NAME CHANGING?**,10018456.0,acefamily,5
ELLE AND ALAÏA MEET THEIR NEWBORN BROTHER!!! **ADORABLE**,11378063.0,acefamily,5
HE'S FINALLY HERE...EVERYONE MEET OUR BABY BOY!!!,11390776.0,acefamily,1
THE ACE FAMILY OFFICIAL LABOR AND DELIVERY!!!,14906864.0,acefamily,4
CATHERINE'S IN LABOR!!!,15369476.0,acefamily,1
ON THE WAY...,5951553.0,acefamily,12
THE ACE FAMILY BABY MOMMA DANCE! (TRYING TO GO INTO LABOR),6764522.0,acefamily,1
WE JUST FOUND THIS OUT...,4768457.0,acefamily,12
ELLE'S 4TH BIRTHDAY PARTY SPECIAL!,9464160.0,acefamily,4
I CAME HOME TO THIS...,6380824.0,acefamily,12
SURPRISING AUSTIN FOR HIS 28TH BIRTHDAY! **EMOTIONAL**,7231665.0,acefamily,5
CATHERINE MIGHT BE HAVING BABY BOY EARLY.,5557780.0,acefamily,1
SHE SAID THIS WAS THE BEST SURPRISE SO FAR... **HAPPY MOTHER'S DAY**,7321342.0,acefamily,1
"""I TOLD YOU I WASN'T FEELING WELL""...",7561813.0,acefamily,12
THEY GOT INTO THEIR FIRST FIGHT!,6786084.0,acefamily,5
THIS REALLY HAPPENED...,4386100.0,acefamily,12
WE'RE LEAVING...,6232308.0,acefamily,12
WE DID NOT WANT TO DO THIS!,7798303.0,acefamily,12
WE HAVE A PROBLEM...CATHERINE CAN'T WALK.,11576131.0,acefamily,5
WE’VE NEVER SEEN THIS BEFORE...,4477597.0,acefamily,12
WE MADE OUR OWN PREGNANCY BELLY CAST!,6248616.0,acefamily,1
OUR NEW ADDRESS GOT LEAKED ON TIKTOK.,5120352.0,acefamily,12
CATHERINE WAS IN SHOCK TO FIND THIS OUT...,5414987.0,acefamily,5
OUR MORNING ROUTINE IN QUARANTINE.,9188844.0,acefamily,12
FOR OUR SON...,5085224.0,acefamily,12
PREPARING FOR HOME WATER BIRTH...,7501397.0,acefamily,1
THIS WAS A HORRIBLE IDEA!!! **CAUGHT**,4577956.0,acefamily,12
THE ULTIMATE YOGA CHALLENGE.,4011817.0,acefamily,9
THEY DID NOT EXPECT THIS SURPRISE!!!,4542349.0,acefamily,12
YOU WON’T BELIEVE WHO OUR SON LOOKS LIKE... **4D ULTRASOUND**,4161313.0,acefamily,1
CATHERINE CRIED WATCHING THIS VIDEO... (LYRIC VIDEO FOR ONLY ONE),3003747.0,acefamily,5
ONLY ONE ( OFFICIAL MUSIC VIDEO ),6519829.0,acefamily,5
BEHIND THE SCENES OF THE ACE FAMILY NEW MUSIC VIDEO!!! ( ONLY ONE ),2485090.0,acefamily,5
DADDY PRANKS KIDS WITH HUGE TEDDY BEAR!!! **THEODORE IS BACK**,5126177.0,acefamily,11
THE ACE FAMILY'S NEW INTRO VIDEO!!! **AND SONG**,6502575.0,acefamily,5
WE WEREN'T PREPARED FOR THIS...,3697572.0,acefamily,12
WEARING A BUTT IMPLANT TO SEE HOW MY HUSBAND REACTS!!! **HILARIOUS**,7524949.0,acefamily,12
WE CAUGHT ELLE DOING THIS!!! **ONLY 3 YEARS OLD**,5216335.0,acefamily,5
SURPRISING MY PREGNANT WIFE FOR VALENTINES DAY!!!,5325176.0,acefamily,1
WIFE SURPRISES ME WITH VALENTINES DAY OUTFITS!!! **UNBELIEVABLE**,3623612.0,acefamily,4
CAN'T BELIEVE WE WALKED IN ON THIS...,7490850.0,acefamily,12
SAYING GOODBYE...,3947934.0,acefamily,12
WE CAN'T KEEP THIS A SECRET ANY LONGER!!!,4600402.0,acefamily,12
HUSBAND TRIES TO BE PREGNANT FOR THE DAY!!! **HILARIOUS**,7047180.0,acefamily,1
PICKING OUR BABY’S NAME OUT OF A HAT!!!,5680306.0,acefamily,1
WE CAN’T BELIEVE THIS IS OUR SON'S DUE DATE!!!,6187618.0,acefamily,4
WE GOT MARRIED... (THE TRUTH),7858405.0,acefamily,12
SURPRISING MY HUSBAND WITH THE GENDER OF OUR BABY!!!,11819135.0,acefamily,1
OUR UNBORN SON...,10459875.0,acefamily,1
OUR FIRST TWO PREGNANCIES..... **EXCLUSIVE FOOTAGE**,5078200.0,acefamily,1
ELLE GOT IN TROUBLE FOR THIS...,6326649.0,acefamily,5
CATHERINE SURPRISES HUSBAND WITH HER FIRST TATTOO.,4956149.0,acefamily,5
WIFE SMASHES THE WRONG MYSTERY BOX...,4579259.0,acefamily,5
THE ACE FAMILY HOLIDAY PHOTOSHOOT!!! **ADORABLE**,3717683.0,acefamily,4
WE SOLD OUR YOUTUBE DIAMOND PLAY BUTTON!?!?,2853135.0,acefamily,9
"ANYTHING MY WIFE CAN CARRY, ILL BUY IT CHALLENGE!!! **IMPRESSIVE**",4851320.0,acefamily,9
SURPRISING ELLE WITH REALLY BAD CHRISTMAS GIFTS!!! **UNEXPECTED REACTION**,5845052.0,acefamily,5
WE DID NOT SEE THIS COMING...,3792460.0,acefamily,12
THE ACE FAMILY'S NEW CHRISTMAS INTRO VIDEO!!!,4525419.0,acefamily,4
OUR REACTIONS TO OUR NEW MUSIC VIDEO!!!,3334375.0,acefamily,5
GIDDY UP ( OFFICIAL MUSIC VIDEO ),20437829.0,acefamily,5
REVEALING ELLE AND ALAÏAS NEW BEDROOM!!! **EXTREME ROOM MAKEOVER**,7762505.0,acefamily,5
BEHIND THE SCENES OF THE ACE FAMILY MUSIC VIDEO!!! (GIDDY UP),3801822.0,acefamily,5
THE DAY HAS COME...,3750770.0,acefamily,12
REVEALING OUR NEW SONG!!! **CATHERINE'S REACTION**,4976682.0,acefamily,5
REVEALING OUR NEW SONG... **SNEAK PEAK**,3530873.0,acefamily,5
SURPRISING OUR ASSISTANT WITH BRAND NEW TEETH!!! **VERY EMOTIONAL**,3863005.0,acefamily,12
ELLE CUT HER OWN HAIR OFF!!! **CATHERINE FREAKS OUT**,9673511.0,acefamily,5
CATHERINE LEFT US...,7736847.0,acefamily,5
HUSBAND SURPRISES ME THESE HALLOWEEN COSTUMES... **HILARIOUS**,4830168.0,acefamily,4
AUSTIN AND ELLE RATE MY HALLOWEEN COSTUMES!!!,8197824.0,acefamily,5
WELCOME TO THE ACE FAMILY PUMPKIN PATCH!!! **INSANE**,4786344.0,acefamily,4
ALAÏA'S FIRST BIRTHDAY PARTY SPECIAL!!!,8775775.0,acefamily,4
ELLE AND ALAÏA GET CAUGHT DOING WHAT!!! **HIDDEN CAMERA**,7400143.0,acefamily,5
ALAÏA'S OFFICIAL BIRTHDAY PHOTOSHOOT!!! **ADORABLE**,6311598.0,acefamily,5
WHO DOES OUR BABY LOVE MORE?!?! **YOU WOULD NEVER GUESS**,7263754.0,acefamily,1
TAKING A PREGNANCY TEST ON CAMERA!!!,10663530.0,acefamily,1
I WORE A SCANDALOUS OUTFIT TO SEE HOW MY HUSBAND WOULD REACT!!!,11916361.0,acefamily,12
WORKING AT A RESTAURANT FOR 24 HOURS!!!,8715612.0,acefamily,12
WE CAN’T BELIEVE THIS HAPPENED!!!,3870084.0,acefamily,12
WE WILL NEVER FORGET THIS DAY!!! **CAUGHT ON CAMERA**,9026010.0,acefamily,12
YOU WON'T BELIEVE WHAT ELLE AND ALAÏA DID TO THE NEW HOUSE!!! **CATHERINE FREAKS OUT**,10494686.0,acefamily,5
REVEALING OUR LITTLE SURPRISE...,7462731.0,acefamily,12
HIDE 'N' SEEK IN THE NEW ACE FAMILY HOUSE!!!,17122837.0,acefamily,2
THE ACE FAMILY'S NEW INTRO VIDEO!!!,9537284.0,acefamily,2
I GOT RID OF AUSTIN'S JET SKI!!! **HIS REACTION**,7400857.0,acefamily,12
THE ACE FAMILY OFFICIAL HOUSE TOUR!!! **FINALLY**,23527604.0,acefamily,4
BIRTHDAY SURPRISE SHE WILL NEVER FORGET!!! **BEST BIRTHDAY SURPRISE EVER**,11689024.0,acefamily,4
LEAVING OUR KIDS FOR THE FIRST TIME!!! **SAYING GOODBYE**,8781103.0,acefamily,12
BABY GENDER REVEAL SURPRISE!!!,7346063.0,acefamily,1
WE CAN'T BELIEVE AUSTIN DID THIS TO OUR NEW HOUSE...,9574725.0,acefamily,12
OUR FIRST NIGHT AT THE NEW ACE FAMILY HOUSE!!! **FINALLY**,10358292.0,acefamily,4
THIS SURPRISE WILL CHANGE OUR LIFE FOREVER!!!!,6863622.0,acefamily,4
ELLE REVEALS HER NEW PLAYROOM!!! **NEW HOUSE**,6276251.0,acefamily,5
FUN ADVENTURE TO VEGAS!!!,6147694.0,acefamily,4
LAST TO LEAVE THE SQUARE WINS!!! **CHALLENGE**,11790270.0,acefamily,9
THE ACE FAMILY MORNING ROUTINE!!!,15405280.0,acefamily,4
WELCOMING A NEW MEMBER OF THE FAMILY!!!,10847658.0,acefamily,4
THE GIRLS TRANSFORM INTO THEIR PARENTS!!! **HILARIOUS**,14684547.0,acefamily,5
I DID MY MAKEUP HORRIBLY TO SEE HOW MY HUSBAND WOULD REACT!!!,15234322.0,acefamily,12
WHO CAN GAIN THE MOST WEIGHT IN 24 HOURS!!! **EATING CHALLENGE**,17489692.0,acefamily,3
THE TRUTH ABOUT OUR NEW HOUSE...,6457513.0,acefamily,12
JUNE 29TH - THE GREATEST DAY OF OUR LIFE!!! **THE ACE FAMILY BASKETBALL CHARITY EVENT**,12486916.0,acefamily,4
TODAY IS THE BIG DAY!!! **BEHIND THE SCENES**,6646815.0,acefamily,12
SPYING ON ELLE IN PUBLIC!!! **ADORABLE**,8323821.0,acefamily,5
WE'RE MOVING IN!!! **FINALLY**,8790774.0,acefamily,12
SPYING ON MY HUSBAND IN PUBLIC!!! **GONE COMPLETELY WRONG**,20165619.0,acefamily,12
SNEAK PEAK OF THE NEW ACE FAMILY HOUSE.,6168924.0,acefamily,4
SPYING ON MY WIFE IN PUBLIC!!! **EXPOSED**,14640842.0,acefamily,12
"IF YOU GUESS THE PRICE, I'LL BUY IT FOR YOU!!! **NOT A GOOD IDEA**",10871912.0,acefamily,12
BABY VS LEMON!!! **WHOEVER MAKES A FACE FIRST LOSES**,9808716.0,acefamily,1
LETTING THE PERSON IN FRONT OF US DECIDE WHAT WE EAT FOR 24 HOURS!!!,22504791.0,acefamily,3
SURPRISING CATHERINE WITH HER FAVORITE PERSON IN THE WORLD!!! **JENNIFER LOPEZ**,10646060.0,acefamily,5
THIS BOY ASKED ELLE ON A DATE!!! **AUSTIN FREAKED OUT**,14160305.0,acefamily,5
ELLE'S 3RD BIRTHDAY PARTY SPECIAL!!!,11168584.0,acefamily,5
SOMEONE OFFERED TO BUY THE NEW ACE FAMILY HOUSE...SHOULD WE SELL IT???,5600187.0,acefamily,12
THE BEST BIRTHDAY PARTY SURPRISE!!!,5183888.0,acefamily,4
SURPRISING MY HUSBAND WITH HIS DREAM CAR FOR HIS BIRTHDAY!!!,11453478.0,acefamily,4
I CAN'T BELIEVE CATHERINE REALLY DID THIS!!!,4610016.0,acefamily,5
AUSTIN PROPOSED TO ME AGAIN!!! (MOTHER'S DAY SURPRISE),7046559.0,acefamily,5
CATHERINE IS GETTING SURGERY!?!?,5113243.0,acefamily,5
CHOOSING MY WEDDING DRESS!!!,8052767.0,acefamily,4
WE CAN'T BELIEVE THIS HAPPENED TO OUR NEW HOUSE!!!,6936164.0,acefamily,12
ELLE'S REACTION TO HER FIRST MCDONALD'S HAPPY MEAL!!!,7570789.0,acefamily,5
WE FINALLY GET TO REVEAL THE BIG ANNOUNCEMENT!!!,3789241.0,acefamily,12
WE'VE DECIDED TO HAVE ANOTHER BABY...,7644313.0,acefamily,1
HUSBAND TRIES TO SPEAK SPANISH!!! **HILARIOUS**,7566821.0,acefamily,12
BABY GETS HER EARS PIERCED!!! (EMOTIONAL DAY),6762699.0,acefamily,1
I LOST MY ENGAGEMENT RING!!! **HE FREAKED OUT**,9259141.0,acefamily,12
MOVING INTO OUR NEW HOUSE!?!?,9099103.0,acefamily,12
WE TOOK OUR KIDS TO COACHELLA!!!,8757770.0,acefamily,4
ELLE MEETS HER FIRST SCHOOL TEACHERS!!! (THE CUTEST STUDENT),7486064.0,acefamily,5
CATHERINE CRASHED HER BRAND NEW CAR!!!,6561989.0,acefamily,5
CATHERINE GOT SURGERY!?!? **THE TRUTH**,8190054.0,acefamily,5
MEET THE NEW ACE FAMILY'S CHEF!!!,6601854.0,acefamily,3
ELLE SURPRISING HER BEST FRIEND WITH A BIRTHDAY GIFT!!! **ADORABLE**,7226282.0,acefamily,5
THIS IS SOMETHING WE FINALLY GET TO SHARE WITH YOU!!!,5814900.0,acefamily,12
WE'RE OFFICIALLY BACK!!!,7503590.0,acefamily,12
"THE ACE FAMILY SECRET PROJECT!!!! - ""WELCOME TO OUR LIFE""",5738689.0,acefamily,4
"THE TRUTH ABOUT THE ACE FAMILY - ""WELCOME TO OUR LIFE""",9095001.0,acefamily,5
"THE REAL LIFE OF THE ACE FAMILY - ""WELCOME TO OUR LIFE""",12791941.0,acefamily,5
THE ACE FAMILY DOCUMENTARY - OFFICIAL TRAILER,10771628.0,acefamily,5
