channel,category,is_family,n_videos,slope,slope_p,slope_significant,early_mean,late_mean,drift_early_to_late,mean_exploit
ehbee,family,1,1150,0.018732961274256665,0.08171595308417527,False,0.0756116013055913,0.08424642471497391,0.008634823409382611,0.07992901301028262
emmachamberlain,adult,0,308,-0.034538684274229146,0.0659713363452387,False,0.05319974362623377,0.036325531186363634,-0.016874212439870133,0.044762637406298704
everleighrose,family,1,159,0.00495198570961709,0.8140361558100665,False,0.04365310314177215,0.0440116246705,0.0003585215287278537,0.04383349133232704
familyfizz,family,1,1457,0.03649988186993133,1.6110833420786102e-05,True,0.0205003036651728,0.04146839824677641,0.02096809458160361,0.03099154659584475
familyfunpack,family,1,3447,0.017990084092922576,0.0053865469135773985,True,0.007863461523068485,0.030606306837397915,0.022742845314329428,0.019238183113409052
grahamstephan,adult,0,1510,0.04520705905998962,9.800436273336496e-13,True,0.036710516193602646,0.060606796313171785,0.023896280119569138,0.04865865625338722
gregdoucette,adult,0,4348,0.06109417043608485,1.431625924808736e-51,True,0.055552518729436985,0.08736273857129714,0.03181021984186016,0.07145762865036706
halfasinteresting,adult,0,561,-0.020770216224457155,0.06176769280238722,False,0.04412103803442857,0.031130943948540924,-0.012990094085887648,0.037614413367522276
itsyeboi,family,1,587,0.0014502477986466883,0.8984170539690227,False,0.08707606357143345,0.0871378910335374,6.182746210395274e-05,0.08710702996642249
jacksepticeye,adult,0,5309,0.02738844253352747,1.1506228769631189e-13,True,0.055897871609525245,0.06937969675229001,0.013481825142764768,0.06264005389508571
jakepaul,adult,0,1605,-0.056675251656223745,1.0707456752276994e-11,True,0.11342538050570822,0.07048245947879202,-0.0429429210269162,0.0919405421352324
jamescharles,adult,0,698,0.058057655501239015,9.968204703361767e-08,True,0.05093131438386818,0.07797581951154728,0.0270445051276791,0.06445356694770774
jeffnippard,adult,0,617,0.03690351610257883,0.00014380661812228015,True,0.00355357716827922,0.023249064025889967,0.019695486857610748,0.013417281283354943
jeffreestar,adult,0,436,0.04184023105205839,0.0003120994503881784,True,0.03240680545642202,0.05845888406853211,0.02605207861211009,0.04543284476247707
jordanmatter,family,1,571,0.15010641392766907,1.6607774257507814e-22,True,0.07917421619852631,0.1594971125583916,0.0803228963598653,0.11940599966423819
kara_and_nate,adult,0,1046,0.06380952967844802,4.054859156012581e-15,True,-0.06499092302072657,-0.03232132022554494,0.03266960279518163,-0.048656121623135755
kkandbabyj,family,1,2345,-0.11125099123905662,3.999444475805921e-41,True,0.11789549542906998,0.06575257765483376,-0.052142917774236214,0.09181291864903626
kurzgesagt,adult,0,357,0.05711824281077301,3.0278572822254244e-05,True,0.02669707096758427,0.054272846840279325,0.027575775872695055,0.040523580438767505
linustechtips,adult,0,7168,0.05288619124486865,8.748655376049247e-80,True,0.019149224385124723,0.051567463397220424,0.0324182390120957,0.035358343891172574
markiplier,adult,0,5719,0.007096564683004951,0.0365234724220633,True,0.06902763203106506,0.07109028435850595,0.002062652327440892,0.07005913852808918
markwiens,adult,0,1597,0.015215473085434536,0.006749536906464413,True,-0.07043738162176691,-0.06485795213658323,0.005579429485183682,-0.06764592003212273
mattdavella,adult,0,467,0.044478536951140624,0.0001717444817536106,True,0.03753783243060086,0.0648487203148718,0.027310887884270933,0.051222517152055676
mkbhd,adult,0,1813,0.06385280069798256,8.922632660337135e-35,True,0.03129220970837197,0.0645800158594322,0.03328780615106023,0.04794529309447877
mrbeast,adult,0,970,0.0011724050949841562,0.8903402117020836,False,0.07307731434391752,0.0735632125323505,0.00048589818843297605,0.07332026343813401
mrwhosetheboss,adult,0,1900,0.0995194993037837,6.316731261057221e-70,True,0.03389472897453263,0.0882242314305,0.05432950245596737,0.06105948020251632
natacha_oceane,adult,0,230,0.04734040087413261,0.007382265888362448,True,-0.007898017651565219,0.014721386511304347,0.022619404162869568,0.0034116844298695643
nikkietutorials,adult,0,944,0.05378323766401616,3.847688537537402e-12,True,0.010636269294427967,0.03538311016633475,0.024746840871906782,0.023009689730381356
peterMcKinnon,adult,0,818,0.005296673357330993,0.5784138324028526,False,0.06980177511933985,0.07502241109755502,0.005220635978215163,0.07241209310844743
pewdiepie,adult,0,4617,0.033046209403453645,2.95673912183094e-17,True,0.07289602064911786,0.09270799949728453,0.01981197884816667,0.08280415561996837
piersonwodzynski,family,1,656,-0.02709855225947915,0.022687830929746113,True,0.08050494975182744,0.060224503353606705,-0.020280446398220735,0.07036472655271707
piperrockelle,family,1,816,-0.010398235172636064,0.376478481449882,False,0.13467359239660295,0.11877459336186273,-0.01589899903474022,0.12672409287923284
prestonplayz,adult,0,1179,0.02244664969207896,0.006763688647237354,True,0.09982798166731749,0.1169203563777966,0.017092374710479113,0.10838141769715862
rebeccazamolo,family,1,1171,0.08971150145571226,1.4450257857250716e-21,True,0.08445757452403589,0.11922101601796928,0.034763441493933386,0.10185413875584201
roomieofficial,adult,0,869,-0.046250818499710356,1.380431448281241e-07,True,0.08142205792118203,0.0465749563687816,-0.03484710155240042,0.06397845702901382
ryansworld,family,1,3685,0.006922758862732766,0.13444457555033626,False,0.05664066799083334,0.0530401320937439,-0.0036005358970894394,0.05483991150281818
simoneGiertz,adult,0,196,-0.06071550067144087,0.0035435334366795343,True,0.07927148247959184,0.03905767817612245,-0.040213804303469394,0.059164580327857146
smartereveryday,adult,0,395,-0.009567906046718169,0.439682036991579,False,0.05291871679766498,0.046555189292777785,-0.006363527504887195,0.04972889794711392
sonnysidevlog,adult,0,898,0.08135119942845476,8.185698488644309e-25,True,-0.017736300729220493,0.0242382922664588,0.041974592995679294,0.0032509957686191527
tannerites,family,1,1409,0.0864714118264118,4.9693673718776e-22,True,0.06292551756100852,0.09795038144115319,0.03502486388014467,0.08045037848045634
theleray,family,1,1896,0.015488581055557489,0.03178712359386011,True,0.010867918268386076,0.02663934471172574,0.01577142644333966,0.018753631490055905
thesacconejolys,family,1,2852,0.04202419495467478,2.309471759900391e-09,True,0.07218432153652174,0.08551751040532748,0.013333188868805745,0.07885091597092463
thesuperherobuddy,family,1,4121,-0.02199107303676084,1.3454613836928388e-07,True,0.085436761533167,0.07497882142209315,-0.010457940111073843,0.08020652261811648
theweisslife,family,1,1818,0.045966792372869665,4.835929194097261e-07,True,0.009678551173520353,0.04590773172822882,0.036229180554708466,0.02779314145087458
tomscott,adult,0,737,0.02284442766525846,0.020002779654060582,True,0.02674037216733696,0.03939222627582655,0.012651854108489593,0.0330748825690095
twosetviolin,adult,0,1692,0.020673369939883047,0.005107198374080114,True,0.005948571556312057,0.016612226048888887,0.01066365449257683,0.011280398802600473
unspeakable,adult,0,1115,-0.002710103493457175,0.7405478735702493,False,0.09625538639378994,0.10112694639672042,0.004871560002930472,0.09869335095131032
veritasium,adult,0,499,0.0639645135936501,3.039638197721767e-09,True,0.019422739387309238,0.04987583964332,0.03045310025601076,0.03467980364382766
vladandniki,family,1,1014,-0.03720685917878619,3.0372693124422342e-05,True,0.05795716837717949,0.03755380558896647,-0.020403362788213024,0.047755486983072984
wendover,adult,0,277,0.009377622315361264,0.5377476079548271,False,-0.003792882788405793,0.0035850562878417262,0.007377939076247519,-9.059567072202041e-05
